id;cswidth;csheight
506;4.1;1.73
422;4.46;4.46
416;5.26;5.26
471;3.52;0.6
463;16.27;12.96
572;10.95;3.02
213;4.73;4.73
497;1.71;4.49
415;4.02;5.79
162;10.07;6.03
606;9.93;2.09
240;8.64;5.01
202;6.39;5.73
135;2.95;2.95
278;3.9;3.9
566;12.82;2.74
106;15.61;2.65
287;21.72;3.23
166;17.34;3.14
130;14.29;1.66
571;11.13;3.66
110;19.68;2.96
227;7.19;2.79
487;11.81;3.6
9;13.51;1.4
472;16.49;1.53
123;20.56;1.42
531;18.17;1.2
81;9.95;2.44
569;9.46;0.99
238;2.77;2.77
578;3.82;3.82
427;3.71;3.71
440;8.12;2.02
417;4.16;0.92
544;7.51;1.05
32;3.01;2.2
269;2.3;3.57
333;0.73;0.59
359;1.73;2.0
28;1.08;1.08
41;2.47;2.47
0;1.56;0.96
610;1.97;1.97
456;3.32;1.18
44;2.25;2.25
230;5.2;3.4
465;1.67;1.37
100;6.22;2.8
524;7.75;3.16
195;11.52;1.5
356;6.65;3.09
349;8.24;1.45
101;5.28;5.28
117;10.81;0.95
480;5.36;0.44
394;3.39;3.39
22;4.25;6.93
214;5.34;10.23
210;5.19;5.19
51;3.63;1.76
6;2.11;2.11
401;9.98;0.47
18;6.09;1.82
350;8.37;4.29
387;4.09;4.09
442;4.03;3.12
574;4.97;0.42
57;1.76;1.76
23;2.4;0.29
541;4.19;0.2
221;4.71;2.44
64;13.7;2.59
602;3.27;3.27
479;11.85;1.3
334;8.41;1.72
580;7.22;0.85
248;12.38;1.68
499;4.81;3.43
160;11.5;1.1
194;6.58;2.56
504;13.51;2.46
579;9.19;1.99
198;8.57;0.82
540;15.71;0.79
108;7.51;0.8
282;1.19;1.08
483;11.7;0.37
594;3.19;3.19
73;3.73;0.94
533;2.79;1.78
563;6.37;11.04
242;2.47;2.47
611;1.73;0.28
249;5.53;2.05
589;1.41;1.41
314;3.14;3.14
489;13.53;3.71
290;12.14;0.77
555;4.81;4.81
104;4.09;1.4
239;2.24;0.76
365;5.65;1.48
550;3.39;1.21
196;6.08;6.08
583;7.05;1.94
542;1.89;1.89
188;2.19;0.27
454;2.8;1.94
485;0.71;0.79
336;3.52;1.01
575;1.78;1.66
285;2.11;0.62
444;2.46;0.73
305;5.38;0.94
220;10.37;0.4
517;2.59;2.59
413;1.12;0.66
183;3.8;2.18
481;0.77;0.52
547;1.75;2.33
428;5.65;5.65
358;5.9;1.26
457;2.24;0.5
289;4.24;1.21
374;8.29;8.29
558;20.85;5.91
247;25.37;13.91
502;5.03;5.03
170;7.01;7.01
250;7.98;7.98
211;3.59;3.59
433;9.72;2.05
99;2.61;2.61
601;0.98;0.53
47;2.57;2.57
309;2.34;2.34
398;5.86;5.77
360;6.92;4.9
402;3.96;1.0
355;1.58;2.67
519;4.27;2.08
82;2.18;0.73
56;14.16;4.66
92;1.2;1.71
131;2.03;2.03
132;2.3;2.3
509;2.45;2.12
172;4.78;6.05
65;1.45;1.45
546;2.89;0.63
94;5.83;5.83
145;0.72;2.26
3;1.46;0.82
80;3.84;0.12
347;3.99;12.88
396;9.63;3.03
216;2.37;1.79
552;1.62;1.46
529;6.72;8.26
61;3.15;2.2
219;2.75;2.72
173;1.79;4.36
103;8.64;8.64
229;5.87;1.6
49;2.38;0.58
72;4.06;0.2
197;2.9;1.0
329;2.04;1.88
31;4.67;4.67
118;13.25;4.07
598;4.25;4.0
236;1.87;2.49
450;6.84;6.84
310;4.8;4.8
260;12.44;4.45
604;7.71;2.28
319;8.57;2.49
30;15.58;6.01
129;6.0;4.96
121;2.28;3.38
84;2.87;2.87
225;3.85;3.85
275;5.85;1.55
584;7.6;3.66
381;2.46;2.46
97;7.62;1.39
588;2.95;2.95
325;5.61;3.27
244;16.03;3.28
207;12.58;0.73
5;2.87;2.87
493;7.12;4.74
264;4.83;4.83
178;5.08;5.08
453;14.62;1.15
476;10.88;1.39
296;3.02;1.6
331;3.77;3.77
192;3.99;1.57
409;7.92;2.03
468;3.6;3.6
372;8.1;1.01
564;6.84;1.2
494;2.97;0.66
284;11.44;1.72
605;1.97;4.39
581;4.16;1.31
191;4.52;4.52
