id;fulladdress
506;Cong.ballymaglancy.BmlMain1.1.0
506;Cong.ballymaglancy.BmlMain1.-
506;Cong.ballymaglancy.BmlEntrance1.2.0
422;Cong.ballymaglancy.BmlMain1.1.1
422;Cong.ballymaglancy.BmlMain1.-
311;Cong.ballymaglancy.BmlMain1.1.2
311;Cong.ballymaglancy.BmlMain1.-
527;Cong.ballymaglancy.BmlMain1.1.3
527;Cong.ballymaglancy.BmlMain1.-
416;Cong.ballymaglancy.BmlMain1.1.4
416;Cong.ballymaglancy.BmlMain1.-
416;Cong.ballymaglancy.BmlEntrance1.2.5
416;Cong.ballymaglancy.BmlEntrance2.3.12
270;Cong.ballymaglancy.BmlMain1.1.5
270;Cong.ballymaglancy.BmlMain1.-
471;Cong.ballymaglancy.BmlMain1.1.6
471;Cong.ballymaglancy.BmlMain1.-
463;Cong.ballymaglancy.BmlMain1.1.7
463;Cong.ballymaglancy.BmlMain1.-
572;Cong.ballymaglancy.BmlMain1.1.8
572;Cong.ballymaglancy.BmlMain1.-
213;Cong.ballymaglancy.BmlMain1.1.9
213;Cong.ballymaglancy.BmlEntrance2.3.7
430;Cong.ballymaglancy.BmlMain1.1.10
430;Cong.ballymaglancy.BmlMain1.-
159;Cong.ballymaglancy.BmlMain1.1.11
116;Cong.ballymaglancy.BmlMain1.-
116;Cong.ballymaglancy.BmlMain1.1.12
497;Cong.ballymaglancy.BmlMain1.1.13
497;Cong.ballymaglancy.BmlMain1.-
415;Cong.ballymaglancy.BmlMain1.1.14
415;Cong.ballymaglancy.BmlMain1.-
369;Cong.ballymaglancy.BmlMain1.1.15
369;Cong.ballymaglancy.BmlMain1.-
462;Cong.ballymaglancy.BmlMain1.1.16
462;Cong.ballymaglancy.BmlMain1.-
162;Cong.ballymaglancy.BmlMain1.-
162;Cong.ballymaglancy.BmlMain1.1.17
606;Cong.ballymaglancy.BmlMain1.1.18
606;Cong.ballymaglancy.BmlMain1.-
432;Cong.ballymaglancy.BmlMain1.1.19
432;Cong.ballymaglancy.BmlMain1.-
39;Cong.ballymaglancy.BmlMain1.-
39;Cong.ballymaglancy.BmlMain1.1.20
240;Cong.ballymaglancy.BmlMain1.-
240;Cong.ballymaglancy.BmlMain1.1.21
202;Cong.ballymaglancy.BmlMain1.-
202;Cong.ballymaglancy.BmlMain1.1.22
404;Cong.ballymaglancy.BmlMain1.1.23
404;Cong.ballymaglancy.BmlMain1.-
473;Cong.ballymaglancy.BmlMain1.1.24
473;Cong.ballymaglancy.BmlMain1.-
391;Cong.ballymaglancy.BmlMain1.1.25
391;Cong.ballymaglancy.BmlMain1.-
135;Cong.ballymaglancy.BmlMain1.-
135;Cong.ballymaglancy.BmlMain1.1.26
246;Cong.ballymaglancy.BmlMain1.-
246;Cong.ballymaglancy.BmlMain1.1.27
470;Cong.ballymaglancy.BmlMain1.1.28
470;Cong.ballymaglancy.BmlMain1.-
470;Cong.ballymaglancy.BmlStreamSplit1.4.1
553;Cong.ballymaglancy.BmlMain1.1.29
553;Cong.ballymaglancy.BmlMain1.-
278;Cong.ballymaglancy.BmlMain1.-
278;Cong.ballymaglancy.BmlMain1.1.30
278;Cong.ballymaglancy.BmlStreamSplit1.4.12
136;Cong.ballymaglancy.BmlMain1.-
136;Cong.ballymaglancy.BmlMain1.1.31
586;Cong.ballymaglancy.BmlMain1.1.32
586;Cong.ballymaglancy.BmlMain1.-
566;Cong.ballymaglancy.BmlMain1.1.33
566;Cong.ballymaglancy.BmlMain1.-
321;Cong.ballymaglancy.BmlMain1.-
321;Cong.ballymaglancy.BmlMain1.1.34
279;Cong.ballymaglancy.BmlMain1.1.35
274;Cong.ballymaglancy.BmlMain1.-
274;Cong.ballymaglancy.BmlMain1.1.36
551;Cong.ballymaglancy.BmlMain1.-
551;Cong.ballymaglancy.BmlMain1.1.37
514;Cong.ballymaglancy.BmlMain1.-
514;Cong.ballymaglancy.BmlMain1.1.38
106;Cong.ballymaglancy.BmlMain1.-
106;Cong.ballymaglancy.BmlMain1.1.39
287;Cong.ballymaglancy.BmlMain1.-
287;Cong.ballymaglancy.BmlMain1.1.40
166;Cong.ballymaglancy.BmlMain1.-
166;Cong.ballymaglancy.BmlMain1.1.41
503;Cong.ballymaglancy.BmlMain1.-
503;Cong.ballymaglancy.BmlMain1.1.42
70;Cong.ballymaglancy.BmlMain1.-
70;Cong.ballymaglancy.BmlMain1.1.43
130;Cong.ballymaglancy.BmlMain1.-
130;Cong.ballymaglancy.BmlMain1.1.44
571;Cong.ballymaglancy.BmlMain1.-
571;Cong.ballymaglancy.BmlMain1.1.45
110;Cong.ballymaglancy.BmlMain1.1.46
227;Cong.ballymaglancy.BmlMain1.-
227;Cong.ballymaglancy.BmlMain1.1.47
487;Cong.ballymaglancy.BmlMain1.-
487;Cong.ballymaglancy.BmlMain1.1.48
9;Cong.ballymaglancy.BmlMain1.-
9;Cong.ballymaglancy.BmlMain1.1.49
472;Cong.ballymaglancy.BmlMain1.-
472;Cong.ballymaglancy.BmlMain1.1.50
294;Cong.ballymaglancy.BmlMain1.-
294;Cong.ballymaglancy.BmlMain1.1.51
434;Cong.ballymaglancy.BmlMain1.-
434;Cong.ballymaglancy.BmlMain1.1.52
421;Cong.ballymaglancy.BmlMain1.-
421;Cong.ballymaglancy.BmlMain1.1.53
123;Cong.ballymaglancy.BmlMain1.-
123;Cong.ballymaglancy.BmlMain1.1.54
531;Cong.ballymaglancy.BmlMain1.-
531;Cong.ballymaglancy.BmlMain1.1.55
388;Cong.ballymaglancy.BmlMain1.-
388;Cong.ballymaglancy.BmlMain1.1.56
81;Cong.ballymaglancy.BmlMain1.-
81;Cong.ballymaglancy.BmlMain1.1.57
561;Cong.ballymaglancy.BmlMain1.-
561;Cong.ballymaglancy.BmlMain1.1.58
561;Cong.ballymaglancy.BmlEnd1.5.0
525;Cong.ballymaglancy.BmlMain1.-
525;Cong.ballymaglancy.BmlMain1.1.59
569;Cong.ballymaglancy.BmlMain1.-
