from_id;to_id
680;81
680;538
680;107
680;860
81;232
81;400
689;323
689;172
689;86
689;136
323;180
180;776
776;742
742;67
67;425
425;695
695;214
214;374
374;723
723;724
724;614
614;895
895;733
733;12
12;300
300;275
275;286
286;753
753;644
644;745
745;260
260;376
376;279
279;393
393;408
408;925
925;661
661;623
623;818
818;377
377;528
377;898
257;301
301;230
230;113
113;725
725;271
271;833
833;767
767;731
731;492
492;730
730;720
720;172
727;763
727;355
727;110
763;151
151;34
246;174
246;319
246;11
174;355
319;110
313;765
313;849
313;699
765;500
500;478
478;932
932;101
101;327
327;739
739;443
443;89
89;175
175;893
175;192
893;815
815;542
542;595
542;153
595;551
551;276
276;643
643;514
514;806
806;167
167;636
636;794
794;528
384;749
384;858
384;453
384;248
384;939
384;711
384;544
749;583
583;824
824;655
655;156
156;403
403;905
905;476
476;170
170;898
858;207
207;567
567;353
353;564
564;849
453;584
584;430
430;382
382;516
516;108
108;236
236;464
464;513
513;562
562;560
562;103
560;505
560;521
505;791
791;194
194;557
557;787
787;889
889;150
150;231
231;510
510;449
449;287
287;934
934;250
250;881
881;198
198;350
350;11
854;746
854;445
854;909
746;629
629;457
457;535
457;240
535;890
890;809
809;843
843;280
280;573
573;445
909;77
77;338
338;247
338;421
247;477
477;530
530;699
604;878
878;36
36;312
312;131
131;455
455;538
538;875
24;40
24;400
24;123
40;117
117;548
117;154
548;232
107;123
860;822
822;224
224;415
121;747
121;807
121;696
747;469
469;780
780;169
169;561
169;93
561;142
142;261
142;456
142;620
807;439
439;801
801;261
261;187
152;789
152;611
152;788
789;882
882;783
783;590
590;679
679;834
834;210
210;916
916;696
356;474
356;143
356;389
474;777
777;461
461;22
22;465
465;388
388;343
343;496
496;596
596;664
664;709
709;502
502;716
716;434
434;336
336;186
186;894
894;249
249;518
518;640
640;630
630;7
7;69
69;611
143;144
144;678
678;788
678;482
84;389
84;906
39;609
39;940
39;531
39;365
39;559
39;104
609;631
631;626
626;650
650;913
650;116
913;828
828;66
66;294
294;569
569;635
635;360
360;359
359;597
597;845
845;848
848;328
328;681
681;456
605;21
605;612
605;238
21;868
21;483
868;554
554;612
554;433
238;920
920;386
386;28
28;741
741;547
547;190
190;910
910;750
750;99
99;396
396;450
450;691
691;545
545;825
825;618
618;466
466;385
385;281
281;853
853;565
565;509
509;487
487;297
297;314
314;769
769;424
424;308
308;407
407;799
799;159
159;79
79;181
181;202
202;625
625;592
592;268
268;70
70;774
774;665
665;295
295;177
177;145
145;490
490;504
504;940
531;256
256;484
484;365
484;836
861;233
861;352
861;405
233;459
459;6
6;277
277;178
178;493
493;566
566;86
176;9
9;109
109;352
428;76
76;652
652;325
325;311
311;585
585;405
755;506
755;116
506;798
798;304
304;702
702;553
702;624
553;132
553;486
132;568
568;46
568;546
46;902
902;129
129;124
124;454
454;480
480;185
480;532
185;298
298;639
248;581
581;212
212;42
42;588
588;927
588;27
927;146
27;754
521;656
656;781
240;427
427;409
409;773
773;149
149;771
771;599
771;114
599;318
318;732
732;917
917;786
786;225
225;470
470;937
937;850
850;416
416;130
130;435
435;134
134;653
653;841
653;863
841;714
714;94
94;802
802;392
802;907
114;686
686;44
44;647
647;701
647;148
148;378
378;855
855;862
862;600
600;399
399;827
827;570
570;578
570;10
578;805
805;539
539;637
637;872
872;556
556;305
10;527
527;92
92;444
444;48
48;204
204;669
669;366
366;349
349;830
830;58
58;125
125;638
638;549
549;223
223;462
462;383
383;846
846;138
138;137
137;867
867;885
885;251
251;795
795;195
195;262
262;766
766;205
766;857
205;436
436;228
228;219
228;796
796;364
857;196
196;303
863;431
431;784
784;259
259;322
322;316
316;563
563;25
25;757
907;282
282;59
59;32
32;35
32;471
35;380
380;810
810;523
523;800
800;71
71;633
633;870
870;869
471;164
164;296
296;804
804;491
804;413
413;728
728;440
440;778
369;534
534;467
467;33
33;744
744;603
603;126
126;448
448;162
162;708
708;683
683;613
613;446
446;837
837;357
357;586
586;348
348;60
60;642
642;682
682;736
736;924
924;390
390;88
88;420
420;87
87;922
922;460
460;768
768;283
283;503
503;429
429;264
264;38
38;912
38;764
912;829
829;710
710;871
871;289
289;255
255;37
37;367
367;243
243;411
411;690
690;703
703;371
371;700
700;90
90;914
914;73
73;772
772;864
864;740
740;218
218;252
252;479
479;677
677;370
370;522
522;341
341;671
671;627
627;541
541;234
234;673
673;820
820;213
213;346
346;201
201;320
764;915
915;840
840;197
197;874
874;80
80;526
526;381
875;208
875;41
154;368
153;111
111;402
111;621
402;826
826;65
65;272
65;519
519;191
191;98
98;657
657;851
851;274
274;726
726;790
2;387
387;658
658;498
498;558
558;258
258;340
340;339
621;628
628;904
904;406
421;182
182;873
873;326
326;552
552;344
344;594
594;52
52;610
52;891
610;574
574;324
324;141
141;608
608;738
738;537
537;468
468;379
468;410
379;831
831;785
785;97
97;235
235;704
704;161
704;299
704;342
342;536
536;808
808;722
722;74
74;329
329;288
288;666
666;171
171;524
524;437
410;936
936;221
221;856
856;823
823;95
95;451
891;575
575;619
619;147
147;4
4;267
267;540
540;674
674;756
756;897
897;887
887;64
64;309
309;68
68;911
911;533
911;91
533;475
475;515
515;481
481;811
811;576
576;761
761;306
306;792
792;632
632;290
290;816
816;160
160;803
803;839
839;782
782;222
222;61
61;1
61;797
1;335
1;713
335;832
832;865
832;23
865;115
115;105
105;472
472;880
880;883
797;707
707;375
375;866
23;901
901;14
91;239
239;43
43;886
886;876
876;200
906;760
482;926
926;572
572;473
572;497
473;758
93;512
512;507
483;423
483;648
423;817
648;672
648;501
501;5
433;188
188;62
62;291
291;112
112;56
112;697
56;29
187;511
511;330
330;307
307;321
321;748
748;391
391;667
667;918
918;96
96;770
770;775
775;458
458;50
458;269
50;751
751;361
361;0
0;193
269;419
419;53
53;543
543;292
292;317
292;128
317;847
317;158
847;168
168;923
923;119
119;601
601;729
729;598
598;270
270;85
85;721
721;47
620;550
550;215
550;158
128;577
577;688
688;3
3;155
155;645
155;302
645;331
331;705
705;718
705;127
127;641
302;743
743;135
135;432
432;719
719;579
719;15
579;844
844;813
813;193
15;253
15;698
698;935
935;120
120;395
395;622
622;122
122;884
884;463
463;55
463;715
55;879
879;106
879;373
106;495
495;49
49;675
675;63
373;140
715;57
57;16
16;587
587;762
762;933
933;684
933;18
684;859
859;358
358;489
489;602
602;347
347;157
18;931
931;819
819;332
332;555
555;646
646;179
179;835
835;75
75;351
351;634
634;227
227;919
919;852
852;662
662;244
662;82
244;693
693;263
82;102
102;417
417;759
759;397
559;166
166;337
337;72
337;441
72;838
838;908
441;273
273;525
525;929
929;394
929;265
265;173
265;165
265;899
265;362
173;442
173;333
362;245
245;485
245;517
485;118
118;183
183;447
447;676
447;363
447;685
685;241
241;229
241;507
836;315
836;580
836;670
315;812
580;266
266;717
670;520
670;310
310;216
310;199
310;51
