from_id;to_id
835;1219
835;1040
1219;1300
1300;416
416;927
927;1287
1287;1171
1287;53
1171;1168
53;1058
1168;903
903;357
357;12
12;410
410;753
753;664
753;594
664;1316
594;372
1316;152
152;1062
1062;862
862;336
336;602
336;1205
336;193
602;633
1205;448
1205;1373
633;1152
633;561
633;906
1152;11
561;242
11;515
515;763
763;541
448;275
372;1283
1283;705
705;1321
705;302
1321;272
302;673
302;1063
302;395
272;120
120;1236
1236;22
22;945
945;1134
1058;1178
1058;214
214;331
331;781
781;993
993;7
7;165
165;450
450;227
227;358
227;569
358;751
569;1404
717;1091
717;941
941;36
36;177
177;1276
1276;1043
1043;1202
1202;590
590;1333
1333;652
652;1232
1232;672
1232;282
672;1015
1015;545
545;282
282;1341
1341;65
65;383
383;964
964;1144
1144;1231
1231;56
56;868
868;1348
1348;983
983;953
953;347
347;1155
1155;735
735;559
559;1327
1327;950
950;476
476;1027
1027;881
881;413
413;1025
1025;949
949;1154
1154;442
442;436
436;848
848;1112
1112;585
585;1079
1079;986
986;286
286;726
726;345
345;557
557;1012
1012;798
798;352
352;75
75;135
135;888
888;1191
1191;1237
1237;957
957;741
741;833
833;91
91;288
288;1006
1006;946
946;180
180;1070
1070;266
266;139
139;365
365;621
621;491
491;299
299;249
249;184
184;1290
1290;1268
1268;1165
1165;859
859;1194
1194;665
665;425
425;1273
1273;1249
1249;186
186;1162
1162;766
766;194
194;1011
1011;1267
1267;974
974;989
989;616
616;982
982;963
963;494
494;769
769;830
830;94
94;733
733;961
961;1094
1094;468
468;240
240;1354
1354;1248
1248;555
555;276
276;121
495;722
495;19
722;368
722;1375
19;469
368;1147
1375;44
1375;780
469;1222
1222;1250
1222;843
1250;679
843;1257
679;887
887;1133
1133;1332
1332;928
928;725
725;16
16;150
150;947
947;327
327;1312
1312;97
1312;131
97;958
958;1356
1356;251
251;1164
1164;591
591;1322
1322;1119
1119;810
810;747
747;875
875;418
875;1140
875;419
875;493
418;646
418;130
419;100
493;1158
646;262
130;138
262;939
939;657
657;933
933;128
933;737
933;1225
933;408
128;261
1225;326
261;1294
1294;1007
1007;1260
1260;1022
1022;90
90;811
811;914
914;1065
1065;802
1065;730
802;456
456;210
210;872
1147;1228
1228;853
853;461
461;880
880;8
8;1346
1346;1411
1411;10
10;1362
1362;544
544;985
985;507
507;287
287;4
4;301
301;1143
1143;922
922;510
510;954
954;460
460;1107
1107;677
677;511
511;1099
1099;689
689;1137
689;1385
1137;21
1385;641
21;1020
1020;808
808;106
106;267
267;915
915;92
92;1049
1049;80
80;675
675;488
488;898
898;549
549;625
625;740
740;908
908;1199
908;350
1199;298
350;1355
298;799
799;626
626;1272
1272;919
919;959
959;866
866;268
268;409
409;98
98;706
706;102
1211;967
1211;1235
1211;622
967;1218
1235;38
142;1295
142;33
142;666
1295;1325
33;1208
33;813
33;1187
1325;260
1218;116
116;325
325;1101
1101;1209
1209;466
466;492
492;504
504;15
15;1077
1077;74
74;1215
1215;829
1215;668
1215;1018
829;78
1018;99
78;749
749;696
696;1230
696;233
1230;44
1210;375
1210;290
375;553
375;1148
375;1367
290;1139
553;271
1148;1084
1367;1388
1139;5
5;525
525;1374
1374;1170
1170;1117
1117;1326
1326;293
1326;60
1326;759
293;698
759;34
698;1262
1262;444
1262;538
444;1151
1151;76
76;271
1084;274
274;981
981;909
909;349
349;527
527;215
215;660
660;619
619;446
619;1330
446;1401
1330;38
1401;886
1229;285
1229;584
584;972
972;1207
1207;1313
1313;595
595;678
678;593
593;801
593;1342
801;795
795;1008
1008;389
389;386
386;406
406;655
655;1150
1150;1087
1087;85
85;884
884;112
112;23
23;563
563;828
563;1266
828;222
1266;230
222;475
