id;fulladdress
1063;Lathkill.Lathkill.boulderpot.11/6
408;Lathkill.Lathkill.boulderpot.11/4
708;Lathkill.Lathkill.boulderpot.11/3
1253;Lathkill.Lathkill.boulderpot.11/2
31;Lathkill.Lathkill.boulderpot.11/1
125;Lathkill.Lathkill.boulderpot.1/20
1031;Lathkill.Lathkill.boulderpot.1/19
79;Lathkill.Lathkill.boulderpot.1/18
1006;Lathkill.Lathkill.boulderpot.1/17
248;Lathkill.Lathkill.boulderpot.1/16
1295;Lathkill.Lathkill.boulderpot.1/15
390;Lathkill.Lathkill.boulderpot.1/14
1122;Lathkill.Lathkill.boulderpot.1/13
1188;Lathkill.Lathkill.boulderpot.1/12
80;Lathkill.Lathkill.boulderpot.1/11
1167;Lathkill.Lathkill.boulderpot.1/10
806;Lathkill.Lathkill.boulderpot.1/9
50;Lathkill.Lathkill.boulderpot.1/8
293;Lathkill.Lathkill.boulderpot.1/7
1235;Lathkill.Lathkill.boulderpot.1/6
0;Lathkill.Lathkill.boulderpot.1/5
586;Lathkill.Lathkill.boulderpot.1/4
754;Lathkill.Lathkill.boulderpot.1/3
640;Lathkill.Lathkill.boulderpot.1/2
278;Lathkill.Lathkill.boulderpot.1/1
1125;Lathkill.Lathkill.boulderpot.1/0
447;Lathkill.Lathkill.boulderpot.2/1
417;Lathkill.Lathkill.boulderpot.2/3
622;Lathkill.Lathkill.boulderpot.3/2
229;Lathkill.Lathkill.boulderpot.4/1
1400;Lathkill.Lathkill.boulderpot.4/2
1250;Lathkill.Lathkill.boulderpot.4/4
1035;Lathkill.Lathkill.boulderpot.5/2
1206;Lathkill.Lathkill.boulderpot.6/2
295;Lathkill.Lathkill.boulderpot.7/1
1315;Lathkill.Lathkill.boulderpot.7/2
631;Lathkill.Lathkill.boulderpot.7/3
139;Lathkill.Lathkill.boulderpot.7/4
813;Lathkill.Lathkill.boulderpot.7/5
367;Lathkill.Lathkill.boulderpot.7/6
1152;Lathkill.Lathkill.boulderpot.7/7
1239;Lathkill.Lathkill.boulderpot.7/8
45;Lathkill.Lathkill.boulderpot.7/9
235;Lathkill.Lathkill.boulderpot.7/10
418;Lathkill.Lathkill.boulderpot.7/12
1182;Lathkill.Lathkill.boulderpot.8/1
629;Lathkill.Lathkill.boulderpot.8/3
368;Lathkill.Lathkill.boulderpot.9/2
1186;Lathkill.Lathkill.boulderpot.10/2
594;Lathkill.Lathkill.boulderpot.1/21
294;Lathkill.Lathkill.boulderpot.1/22
526;Lathkill.Lathkill.boulderpot.12/2
869;Lathkill.Lathkill.boulderpot.11/8
497;Lathkill.Lathkill.boulderpot.1/23
608;Lathkill.Lathkill.boulderpot.1/24
181;Lathkill.Lathkill.boulderpot.1/25
374;Lathkill.Lathkill.boulderpot.1/26
626;Lathkill.Lathkill.boulderpot.1/27
589;Lathkill.Lathkill.boulderpot.1/28
76;Lathkill.Lathkill.boulderpot.1/29
997;Lathkill.Lathkill.boulderpot.1/30
100;Lathkill.Lathkill.boulderpot.1/31
332;Lathkill.Lathkill.boulderpot.1/33
561;Lathkill.Lathkill.boulderpot.13/1
164;Lathkill.Lathkill.boulderpot.13/3
976;Lathkill.Lathkill.cascade.2
311;Lathkill.Lathkill.cascade.1
178;Lathkill.Lathkill.cascade.3
105;Lathkill.Lathkill.cascade.4
715;Lathkill.Lathkill.cascade.5
391;Lathkill.Lathkill.cascade.5a
852;Lathkill.Lathkill.cascade.6
41;Lathkill.Lathkill.cascade.7
19;Lathkill.Lathkill.cascade.7a
1322;Lathkill.Lathkill.cascade.7b
354;Lathkill.Lathkill.cascade.2a
6;Lathkill.Lathkill.cascade.2b
433;Lathkill.Lathkill.cascade.2c
406;Lathkill.Lathkill.cascade.2d
194;Lathkill.Lathkill.cascade.2e
473;Lathkill.Lathkill.cascade.2d1
1169;Lathkill.Lathkill.cascade.2d2
352;Lathkill.Lathkill.cascade.2b1
948;Lathkill.Lathkill.cascade.2b2
766;Lathkill.Lathkill.cascade.2b3
395;Lathkill.Lathkill.cascade.2b4
1263;Lathkill.Lathkill.cascade.2b5
121;Lathkill.Lathkill.critchlow-cave.critchlow1.4
905;Lathkill.Lathkill.critchlow-cave.critchlow1.3
158;Lathkill.Lathkill.critchlow-cave.critchlow1.5
413;Lathkill.Lathkill.critchlow-cave.critchlow1.6
