id;x;y;z
1063;416401.69;366512.29;218.76
408;416403.04;366510.18;217.0
708;416404.11;366512.01;216.84
1253;416405.92;366511.14;218.37
31;416409.36;366507.6;219.55
125;416410.45;366508.46;219.48
1031;416414.85;366503.8;220.06
79;416414.35;366502.89;224.14
1006;416414.21;366500.46;225.97
248;416414.6;366499.32;230.05
1295;416413.18;366501.32;230.72
390;416413.15;366500.93;233.43
1122;416413.45;366501.77;234.93
1188;416412.89;366501.96;236.98
80;416412.44;366501.56;238.38
1167;416412.19;366500.74;239.85
806;416413.47;366500.52;240.94
50;416411.75;366500.06;245.84
293;416412.06;366501.59;248.66
1235;416412.66;366502.17;250.05
0;416412.95;366503.35;250.67
586;416411.91;366501.27;251.38
754;416412.71;366500.12;251.47
640;416412.69;366500.58;252.55
278;416412.84;366499.58;253.86
1125;416413.0;366499.0;258.0
447;416415.11;366502.47;250.3
417;416414.74;366499.87;251.2
622;416415.12;366501.49;249.9
229;416411.76;366502.39;249.01
1400;416409.57;366503.93;248.34
1250;416407.11;366505.65;248.34
1035;416408.49;366502.74;249.24
1206;416412.66;366500.76;251.19
295;416411.3;366505.18;234.12
1315;416411.17;366505.33;232.5
631;416409.49;366504.4;231.84
139;416408.78;366503.17;231.27
813;416409.23;366503.95;227.67
367;416408.02;366503.07;227.64
1152;416408.25;366498.72;227.8
1239;416409.5;366494.75;225.09
45;416410.42;366493.18;224.76
235;416409.98;366491.15;223.88
418;416407.94;366491.78;224.03
1182;416410.52;366505.57;231.73
629;416412.21;366507.51;231.6
368;416411.91;366504.03;232.1
1186;416407.89;366507.7;233.46
594;416409.55;366509.34;218.7
294;416407.68;366513.81;218.86
526;416407.36;366514.57;214.95
869;416403.14;366514.22;218.9
497;416405.09;366515.41;219.01
608;416404.32;366517.13;217.58
181;416403.53;366518.72;217.35
374;416403.19;366519.08;215.97
626;416403.44;366519.39;216.26
589;416402.99;366520.78;211.43
76;416401.78;366522.99;212.09
997;416401.45;366522.39;209.49
100;416402.24;366524.08;207.55
332;416401.99;366523.17;206.13
561;416404.16;366521.72;208.42
164;416405.96;366519.2;208.12
976;415728.0;366407.0;239.6
311;415728.0;366407.0;249.0
178;415728.53;366403.66;241.1
105;415729.5;366400.04;241.3
715;415727.84;366399.2;240.91
391;415729.11;366396.49;241.17
852;415727.44;366402.49;238.75
41;415727.44;366402.49;235.3
19;415726.43;366405.78;235.91
1322;415728.68;366397.85;235.14
354;415722.7;366413.32;233.6
6;415718.38;366419.97;229.91
433;415715.37;366425.4;228.81
406;415712.66;366430.96;229.25
194;415709.48;366434.74;228.99
473;415713.79;366427.48;227.62
1169;415713.79;366427.48;221.82
352;415724.3;366421.67;227.03
948;415724.58;366422.0;224.57
766;415727.2;366420.78;224.37
395;415727.2;366420.78;220.37
1263;415729.2;366420.78;220.37
121;417106.6;365932.68;211.2
905;417108.66;365926.12;211.8
158;417101.41;365938.57;211.2
413;417100.61;365937.37;210.5
214;417098.49;365938.48;210.5
955;417096.02;365942.36;210.74
60;417095.28;365944.16;210.32
221;417092.5;365946.9;210.32
1412;417090.31;365950.94;210.16
500;417088.7;365956.08;209.02
945;417084.18;365958.44;209.02
1370;417084.28;365962.14;209.02
742;417081.9;365964.84;209.02
1210;417081.2;365969.59;209.02
479;417090.37;365971.61;207.02
1334;417097.02;365969.11;207.02
836;417099.14;365966.34;206.78
135;417103.03;365967.26;206.78
1026;417105.05;365968.31;207.1
398;417108.11;365964.96;206.78
659;417112.47;365964.92;207.39
1211;417116.39;365969.66;206.64
288;417117.18;365971.05;206.64
1111;417117.18;365971.05;207.34
1208;417115.99;365991.02;207.34
179;417108.78;365999.19;206.96
1337;417111.22;366006.45;206.15
1257;417108.56;366013.99;205.87
1012;417113.17;366019.18;205.02
723;417119.0;366023.64;204.64
412;417118.78;366028.96;205.19
1221;417116.9;366032.03;205.07
1269;417118.68;366033.16;205.07
1371;417118.08;366036.76;205.07
145;417114.28;366040.51;205.26
451;417114.28;366040.51;206.26
386;417110.15;366044.58;206.26
588;417111.35;366045.95;205.93
658;417110.41;366046.98;205.93
1126;417107.22;366047.81;205.93
232;417103.75;366053.07;205.93
9;417097.54;366059.19;206.7
1015;417095.01;366060.34;206.7
492;417090.14;366062.17;206.7
470;417083.26;366073.89;207.17
308;417083.31;366078.82;207.0
1402;417079.35;366081.87;207.0
1120;417072.9;366085.99;207.0
91;417068.83;366091.71;207.0
639;417067.79;366102.73;207.0
487;417070.01;366108.36;207.0
931;417064.6;366112.04;207.23
1150;417056.87;366112.36;207.23
1019;417048.05;366119.32;206.84
1388;417042.97;366120.33;207.29
817;417035.3;366125.77;207.95
131;417028.96;366128.5;207.71
1281;417015.93;366125.8;207.71
1084;417003.83;366128.44;207.49
1326;416996.88;366125.67;207.75
959;416989.19;366123.94;207.75
537;416988.84;366122.31;207.21
1073;416982.09;366117.64;207.21
799;416978.18;366112.51;206.76
297;416969.93;366107.61;206.42
808;416967.48;366106.1;206.17
246;416965.44;366106.81;205.83
655;416957.4;366112.71;205.31
1318;416951.64;366112.14;205.0
1317;416947.27;366113.75;204.84
1068;416942.98;366116.91;204.37
582;416942.3;366118.38;205.64
443;416942.3;366118.38;205.24
206;416939.36;366119.86;205.24
662;416939.61;366120.61;206.17
358;416937.79;366119.18;206.17
483;416935.56;366118.82;206.82
1232;416935.9;366121.28;207.08
359;416934.9;366121.49;208.11
803;416931.97;366118.84;208.17
58;416930.17;366118.89;208.24
1365;416927.05;366121.32;208.03
1222;416923.48;366121.87;207.06
580;416922.89;366120.96;206.69
654;416920.01;366122.23;204.87
985;416906.5;366126.83;204.37
138;416898.8;366132.38;204.37
1030;416896.62;366135.58;204.84
862;416896.02;366135.98;206.56
936;416894.82;366138.65;206.2
800;416891.18;366143.12;205.9
87;416890.85;366144.24;205.79
1244;416890.08;366144.91;204.99
350;416886.03;366148.53;204.99
190;416885.27;366150.84;205.56
769;416883.28;366155.26;205.47
94;416882.77;366155.54;206.36
1079;416880.62;366159.4;207.14
1389;416879.21;366163.69;206.9
1135;416877.94;366164.15;206.79
1299;416877.94;366164.15;205.49
1406;416874.1;366165.45;205.49
1044;416873.3;366165.89;205.82
508;416868.67;366166.61;207.52
674;416865.79;366168.62;206.1
122;416861.2;366170.45;205.84
203;416854.43;366174.33;205.71
475;416853.72;366176.5;205.91
895;416850.79;366179.85;205.83
889;416849.3;366181.05;208.27
538;416089.97;365920.12;263.64
485;416088.89;365921.7;262.54
1282;416089.26;365922.79;261.93
1055;416089.26;365922.79;259.78
544;416090.44;365919.2;259.38
1138;416090.44;365919.2;259.67
1340;416090.44;365919.2;252.27
402;416091.7;365918.78;252.08
811;416095.53;365916.22;251.44
973;416097.15;365913.66;251.59
1227;416099.16;365910.82;250.92
300;416105.01;365905.13;249.63
1028;416108.3;365901.25;249.98
1363;416090.88;365918.46;259.35
1158;416096.2;365913.37;257.92
914;416095.97;365915.98;256.16
1195;416085.75;365926.34;259.68
734;416093.67;365921.89;264.08
1368;416093.67;365921.89;259.44
64;416093.98;365922.68;259.62
24;414455.87;367317.24;271.03
1027;414456.84;367314.97;269.23
156;414383.01;367416.84;234.61
11;414375.95;367425.87;235.61
1387;414384.68;367414.85;235.71
1202;414391.76;367405.11;234.87
755;414397.41;367400.02;234.47
302;414399.65;367399.9;234.94
623;414400.51;367399.04;235.86
1005;414400.51;367399.04;236.62
690;414409.77;367389.77;236.39
896;414413.13;367386.64;237.12
1151;414415.04;367384.45;235.76
1179;414415.04;367384.45;236.06
515;414419.28;367377.4;236.06
1306;414419.94;367374.74;235.97
917;414421.25;367370.92;235.97
289;414423.09;367368.48;235.97
82;414425.14;367368.45;236.18
404;414427.05;367367.51;236.22
171;414427.05;367367.51;237.13
265;414428.5;367365.73;238.62
454;414429.69;367363.96;238.55
774;414431.26;367361.35;238.71
853;414433.47;367359.75;238.52
1153;414435.5;367357.85;237.1
1076;414436.69;367356.21;236.74
1136;414436.69;367356.21;237.35
1346;414438.53;367356.5;238.39
324;414439.75;367354.48;239.24
876;414442.92;367351.63;239.02
1199;414446.18;367350.56;237.56
546;414449.06;367346.75;237.14
763;414449.06;367346.75;240.19
726;414449.06;367344.88;241.76
1228;414452.76;367342.47;241.53
903;414452.88;367339.01;243.61
1380;414456.7;367335.81;245.04
802;414469.14;367330.53;239.85
1051;414474.9;367326.79;239.01
464;414481.65;367318.15;238.62
493;414488.21;367308.43;238.83
683;414474.15;367310.15;238.34
890;414465.87;367314.01;238.65
1330;414458.33;367312.95;238.92
69;414448.59;367310.88;237.52
597;414449.6;367307.37;237.71
909;414446.68;367309.81;237.91
292;414443.65;367308.65;238.72
1310;414440.11;367313.02;245.92
1249;414444.55;367309.91;253.44
635;414443.2;367311.64;254.11
486;414441.55;367313.82;254.17
200;414439.72;367315.2;255.39
885;414442.29;367312.54;258.08
694;414444.1;367308.48;261.3
821;414444.1;367308.48;268.23
1011;414374.64;367426.97;235.76
926;414377.82;367430.77;235.84
1294;414376.05;367433.83;235.54
567;414376.05;367433.83;237.49
62;414376.19;367435.83;239.42
591;414373.39;367435.03;240.15
571;414373.87;367436.49;241.74
604;414373.87;367436.49;243.57
739;414369.33;367436.57;243.57
1002;414372.85;367434.28;245.44
1141;414372.85;367434.28;246.96
491;414374.69;367432.44;249.07
445;414376.68;367429.49;251.04
1362;414376.68;367429.49;252.33
1413;414378.21;367427.6;252.24
1212;414378.21;367427.6;253.66
541;414378.21;367424.21;255.1
894;414379.3;367420.66;255.1
1115;414380.07;367415.78;256.15
946;414377.72;367415.28;256.57
336;414377.72;367415.28;259.54
1215;414381.62;367406.53;261.06
612;414381.92;367402.27;262.2
663;414389.74;367394.98;265.07
982;414387.33;367384.54;264.32
429;414387.33;367384.54;271.32
1131;414384.77;367386.2;273.01
173;414382.0;367388.0;274.84
789;414382.0;367388.0;290.0
940;414443.29;367573.67;231.22
621;414442.42;367578.16;231.22
891;414438.13;367576.6;230.91
176;414425.41;367575.49;230.01
43;414421.47;367575.69;229.74
857;414417.11;367574.36;229.42
1021;414409.81;367574.23;228.91
666;414404.52;367572.81;228.52
552;414390.61;367571.35;227.55
258;414386.49;367570.25;227.25
1198;414380.77;367569.45;226.84
262;414377.3;367570.99;226.58
152;414374.21;367569.35;226.33
1042;414363.56;367568.79;226.15
1196;414358.04;367565.86;226.15
260;414353.17;367565.94;226.4
784;414350.87;367562.27;226.1
1271;414346.19;367557.25;226.1
1106;414344.42;367548.91;226.1
1328;414345.68;367544.19;226.1
995;414346.38;367537.52;226.1
921;414342.96;367529.05;226.1
344;414342.56;367521.44;226.1
1403;414346.51;367506.72;226.1
1029;414348.36;367496.21;226.1
1321;414346.78;367489.38;226.1
518;414346.53;367482.06;226.1
565;414352.7;367479.19;226.1
956;414356.0;367474.8;226.1
1;414359.09;367467.17;226.1
1204;414363.55;367463.01;226.1
1254;414366.44;367458.72;226.1
1168;414367.49;367452.09;226.1
1374;414370.17;367444.31;226.1
910;414371.23;367438.3;226.1
56;414372.76;367434.31;226.1
1127;414373.49;367428.39;226.1
989;414372.79;367425.96;226.1
679;414373.52;367422.54;225.92
1393;414380.06;367420.66;226.51
1404;414375.66;367423.52;225.59
147;414375.66;367423.52;235.82
874;414459.6;367315.18;271.25
341;414460.66;367312.12;272.12
838;414463.38;367312.29;272.35
1289;414471.04;367303.16;274.89
1262;414471.61;367295.1;276.46
90;414483.09;367287.65;277.42
888;414489.97;367268.74;277.07
1219;414493.08;367258.55;277.44
984;414502.04;367246.66;278.74
1155;414507.57;367237.45;277.23
502;414450.29;367340.82;242.37
1308;414446.27;367346.15;245.52
215;414442.4;367349.51;250.74
73;414439.62;367354.15;251.71
198;414432.42;367362.22;251.74
481;414429.24;367365.41;255.14
319;414487.37;367309.67;238.83
1154;414487.37;367309.67;296.07
132;414488.39;367298.12;239.91
578;414490.89;367294.8;240.87
693;414493.89;367291.1;239.24
238;414497.01;367283.75;241.23
141;414501.06;367277.74;242.25
1414;414503.93;367276.28;241.74
827;414505.51;367273.18;242.04
51;414508.42;367266.65;241.42
189;414511.36;367262.6;242.76
192;414512.61;367261.59;244.89
628;414516.53;367255.99;245.49
96;414519.09;367252.83;248.44
856;414524.79;367238.7;248.71
1109;414528.7;367231.67;251.32
620;414530.6;367227.19;255.71
317;414532.45;367222.61;258.44
780;414536.88;367219.02;261.35
700;414498.85;367261.13;241.03
428;414494.25;367257.13;241.03
1071;414494.13;367296.37;243.24
651;414496.43;367292.37;245.59
1273;414499.18;367289.53;245.73
649;414499.23;367286.88;246.44
1216;414500.85;367284.8;247.19
28;414463.14;367309.59;240.6
360;414464.1;367308.96;239.64
781;414468.87;367312.83;235.65
351;414476.44;367312.96;229.73
423;414482.54;367310.62;230.19
1267;414482.95;367308.06;230.24
794;414477.85;367302.4;230.37
1409;414458.9;367304.81;245.3
184;414464.5;367298.37;245.15
960;414454.59;367302.54;238.69
566;414458.87;367299.66;238.33
1218;414431.22;367323.73;237.91
783;414429.81;367325.14;237.91
1286;414382.15;367383.72;272.85
1381;414396.24;367382.32;265.29
765;414374.46;367419.31;259.54
1352;414372.98;367436.06;235.27
1197;414366.9;367435.64;235.27
379;414374.43;367425.1;225.59
877;414374.43;367425.1;289.59
562;414351.87;367563.02;226.18
459;414351.87;367563.02;279.18
712;414444.27;367578.83;231.45
1070;414440.05;367584.43;235.02
266;414350.0;367580.85;226.4
728;414350.0;367596.09;226.4
211;414347.88;367611.18;226.4
103;414348.14;367626.42;226.4
183;414344.97;367641.32;226.4
226;414349.94;367655.73;226.4
556;414353.1;367670.64;226.4
7;414358.57;367684.87;226.4
610;414366.05;367694.45;226.4
364;414364.34;367703.28;226.4
706;414355.81;367715.91;226.4
127;414351.11;367730.4;226.4
444;414343.84;367741.18;226.4
1074;414339.38;367755.76;226.4
72;414332.94;367769.57;226.4
1347;414327.23;367783.7;226.4
393;414320.31;367797.28;226.4
1288;414311.79;367809.91;226.4
1290;414303.35;367821.11;226.4
1010;414301.37;367849.39;226.4
366;414306.56;367878.81;226.4
250;414300.45;367901.62;226.4
480;414292.72;367918.2;226.4
1390;414286.41;367927.91;226.4
1338;414278.64;367940.84;226.4
701;414271.59;367949.25;226.4
267;414248.6;368003.4;226.4
116;414242.42;368016.66;226.4
419;414237.14;368027.99;226.4
195;414225.99;368045.82;226.4
1100;414216.07;368074.64;226.4
1080;414207.38;368092.45;226.4
954;414199.32;368103.55;226.4
718;414182.72;368129.11;226.4
490;414171.8;368157.57;226.4
53;414157.35;368179.81;226.4
828;414132.87;368187.29;226.4
749;414340.87;367567.02;226.4
1040;414298.5;367567.02;226.4
277;414298.5;367567.02;279.4
555;414369.9;367441.21;243.16
12;414369.9;367441.21;242.6
420;414370.18;367443.01;242.41
1364;414369.43;367449.13;243.06
738;414368.58;367450.49;243.06
1185;414365.0;367454.33;243.98
879;414366.9;367459.84;242.2
154;414368.2;367464.37;241.28
861;414367.82;367466.78;241.37
737;414364.64;367467.52;241.65
1304;414364.64;367467.52;243.94
1291;414365.79;367464.8;244.46
241;414367.91;367462.6;244.46
223;414369.15;367460.16;244.46
1177;414363.38;367468.77;243.5
230;414360.02;367474.15;245.69
614;414358.78;367476.58;244.11
933;414354.06;367485.09;245.65
457;414354.67;367485.08;245.65
396;414353.57;367489.2;245.8
204;414350.18;367494.22;246.54
119;414349.28;367497.02;246.54
681;414348.73;367499.38;246.25
253;414346.39;367501.34;246.25
747;414341.94;367496.56;246.25
1264;414345.96;367502.96;246.19
67;414348.86;367504.99;246.44
381;414347.35;367509.94;246.62
925;414349.68;367512.82;246.42
740;414353.51;367515.21;246.19
744;414356.46;367519.13;246.44
448;414355.99;367524.49;246.44
814;414359.77;367526.09;246.3
1132;414363.09;367528.88;246.3
494;414365.4;367535.98;246.04
863;414369.64;367534.93;245.81
584;414371.84;367538.32;245.81
831;414372.52;367540.44;245.81
1345;414375.39;367543.86;246.04
162;414374.9;367543.59;246.04
1277;414374.9;367543.59;249.14
27;414373.57;367541.2;249.0
543;414373.34;367537.91;248.94
1160;414374.62;367536.72;249.06
54;414376.6;367537.21;248.92
915;414379.07;367535.9;248.92
788;414380.71;367533.56;249.17
501;414375.28;367547.18;249.27
49;414376.52;367547.33;249.94
810;414378.49;367545.85;251.73
990;414342.13;367497.88;246.25
276;414342.82;367494.3;246.25
1329;414343.67;367491.7;246.25
770;414343.24;367488.99;246.25
142;414342.77;367485.98;246.25
107;414342.19;367482.37;246.25
104;414366.71;367470.4;243.31
256;414368.16;367473.36;243.19
550;414369.05;367472.86;243.1
30;414371.41;367470.06;242.97
521;414373.96;367469.23;242.97
1241;414375.12;367470.82;243.22
136;414374.85;367474.62;243.35
528;414378.23;367478.94;243.54
656;414388.25;367483.4;243.54
527;414392.07;367484.35;243.61
967;414395.96;367487.28;243.61
382;414399.67;367491.0;243.61
476;414402.9;367492.87;243.8
1107;414411.04;367499.69;243.8
1156;414413.63;367501.95;243.56
624;414414.29;367504.1;243.76
843;414424.08;367506.73;243.76
269;414437.16;367503.94;243.76
818;414441.98;367503.27;243.59
724;414453.8;367500.32;242.95
851;414463.59;367500.49;242.61
1377;414468.1;367499.78;242.45
1164;414471.89;367500.94;242.38
128;414477.34;367500.17;242.19
618;414479.96;367500.82;242.62
1270;414478.5;367506.28;241.62
218;414476.18;367512.03;241.4
15;414473.79;367516.16;242.42
893;414473.05;367518.76;243.4
1252;414473.05;367518.76;242.64
394;414467.36;367526.89;241.95
101;414467.36;367526.89;243.02
1183;414466.59;367529.39;245.06
1159;414465.13;367533.4;242.29
309;414462.63;367536.71;241.02
18;414378.15;367547.23;249.27
804;414379.44;367550.0;249.27
667;414379.75;367551.8;249.27
575;414382.05;367554.44;249.27
1140;414384.92;367555.48;249.27
460;414387.07;367557.64;249.27
10;414390.63;367559.69;249.27
234;414392.59;367556.43;249.27
777;414412.03;367383.6;237.98
503;414430.65;367360.81;239.13
529;414449.69;367576.52;231.22
129;414462.44;367576.52;230.11
1180;414469.13;367578.07;230.11
1231;414474.52;367570.91;229.32
66;414476.54;367569.55;229.32
829;414477.02;367564.08;229.32
771;414483.44;367562.12;229.32
986;414486.69;367561.31;229.32
140;414490.62;367560.83;229.32
1023;414494.93;367563.12;229.32
409;414497.65;367562.78;229.32
1351;414500.96;367563.25;229.32
431;414499.02;367564.72;229.32
834;414500.09;367568.22;229.32
975;414506.19;367568.22;229.32
1113;414509.25;367570.21;229.32
859;414512.85;367570.91;229.32
1128;414517.9;367573.05;229.32
113;414519.68;367575.89;229.32
596;414520.21;367577.64;229.32
1242;416529.83;366006.58;206.28
397;416530.89;366003.76;206.8
1096;416527.65;366022.17;206.36
1001;416526.4;366028.22;206.59
1145;416529.14;366035.92;206.61
757;416527.22;366036.23;206.31
283;416520.51;366040.95;206.19
1052;416514.19;366045.39;205.94
805;416512.29;366047.45;206.0
323;416509.12;366048.26;205.89
98;416506.07;366050.67;206.1
1353;416504.81;366052.56;205.99
38;416503.95;366053.8;205.81
411;416503.81;366055.24;205.71
380;416498.51;366057.85;205.62
697;416496.15;366060.07;205.74
540;416495.9;366062.73;205.7
858;416495.89;366062.72;205.89
611;416495.88;366062.71;205.67
511;416491.08;366062.74;205.48
369;416487.03;366064.69;205.41
1303;416484.5;366065.15;205.28
809;416483.24;366064.32;205.02
1059;416483.24;366064.31;206.2
166;416483.16;366063.28;206.82
245;416483.15;366061.88;206.78
558;416483.13;366061.86;213.01
787;416483.78;366061.36;213.1
270;416482.46;366062.52;212.95
426;416483.44;366068.34;212.97
1341;416480.49;366071.02;212.97
63;416480.48;366071.0;217.59
233;416485.24;366068.76;217.64
1143;416485.23;366068.75;220.66
919;416482.22;366070.11;220.68
1366;416481.22;366072.38;220.25
1148;416478.13;366071.63;220.14
400;416477.38;366070.43;220.03
1356;416474.41;366066.72;219.62
615;416474.24;366064.83;219.63
1407;416470.62;366066.86;220.0
213;416467.11;366065.75;219.36
616;416466.11;366064.31;219.28
1410;416461.88;366064.26;219.28
244;416464.14;366061.99;224.52
199;416465.69;366057.7;226.54
254;416467.82;366052.38;228.98
685;416467.7;366051.83;229.41
167;416533.53;366005.29;206.22
630;416539.28;366005.35;208.28
514;416541.35;366005.88;208.97
55;416546.24;366001.49;208.51
133;416546.26;366001.5;209.31
1022;416546.38;366002.08;209.41
343;416551.17;366000.81;209.11
875;416552.51;366000.72;207.66
551;416552.27;366001.03;207.59
793;416559.69;365999.56;207.91
625;416563.76;365999.85;208.09
703;416569.46;365994.74;208.36
866;416576.03;365990.26;208.22
883;416576.47;365987.61;207.99
458;416577.85;365987.03;207.45
449;416579.88;365987.15;207.24
1213;416591.82;365978.86;207.99
463;416600.22;365975.23;207.68
962;416600.71;365972.56;207.72
287;416601.04;365971.9;208.69
772;416601.06;365971.9;208.83
576;416606.73;365967.41;209.15
996;416613.66;365959.58;209.79
478;416615.53;365956.34;210.15
748;416619.33;365954.0;210.53
1375;416619.2;365951.96;210.43
185;416620.32;365951.4;210.12
573;416623.49;365948.54;209.86
466;416630.02;365938.74;209.56
1207;416639.02;365929.01;209.22
236;416643.43;365924.83;210.45
923;416643.58;365923.32;210.07
251;416647.94;365918.16;209.36
439;416661.02;365911.38;208.86
536;416666.04;365908.56;209.26
1192;416667.46;365906.37;210.59
609;416671.55;365907.65;210.59
415;416673.27;365905.99;210.69
242;416677.39;365905.05;210.44
1033;416684.64;365909.43;209.71
322;416686.07;365910.67;209.11
568;416687.31;365919.57;209.5
678;416697.34;365925.55;210.1
822;416708.02;365937.44;208.89
78;416712.11;365936.69;209.76
474;416716.95;365938.18;210.15
264;416717.3;365940.01;211.4
675;416719.72;365940.28;212.81
696;416721.26;365938.84;214.76
1332;416718.97;365940.35;219.79
939;416716.57;365953.75;225.33
424;416713.89;365951.73;224.73
330;416713.96;365951.76;235.44
1200;416714.0;365952.54;235.69
1343;416714.05;365952.56;243.49
182;416715.74;365952.81;244.26
1018;416716.69;365955.08;248.27
934;416510.06;365961.16;210.25
563;416508.33;365961.52;209.31
1297;416506.6;365962.14;216.84
870;416502.9;365964.68;216.83
547;416505.13;365966.0;219.43
977;416505.97;365967.5;219.24
702;416505.91;365972.46;219.57
918;416500.92;365975.29;223.98
314;416500.91;365975.29;226.9
298;416502.44;365974.96;226.9
1243;416509.65;365962.05;208.14
261;416512.11;365965.3;208.11
1043;416514.46;365965.43;208.4
826;416515.9;365964.77;209.39
143;416515.92;365964.76;210.2
174;416514.77;365965.69;210.31
714;416515.4;365966.53;210.3
172;416515.53;365967.0;210.68
75;416515.81;365968.15;210.85
600;416516.46;365970.26;211.61
832;416516.48;365970.25;209.72
2;416514.67;365973.05;208.1
1092;416513.66;365974.22;208.08
1391;416511.01;365976.77;207.89
713;416510.3;365979.68;207.48
110;416510.11;365982.44;206.42
1103;416512.21;365984.26;206.52
1085;416511.98;365989.08;206.62
414;416516.81;365995.64;206.36
35;416523.93;366000.23;206.24
