from_id;to_id
39231;22916
39231;7932
39231;57232
22916;51793
22916;54093
7932;22708
57232;25665
57232;22655
51793;3454
54093;7442
17272;57570
17272;7651
17272;12262
17272;26175
57570;15075
57570;44641
7651;47741
12262;18602
26175;28127
15075;17588
44641;28951
34111;8382
34111;50080
34111;23448
34111;21626
8382;21006
8382;38583
50080;24347
50080;45370
23448;37440
21626;49824
21626;32195
21006;42324
38583;54695
52853;47371
52853;15758
52853;4374
47371;11845
47371;46659
15758;52626
15758;45230
4374;30569
11845;46135
46659;39607
52626;33979
45230;17787
42006;25964
42006;41925
42006;1281
25964;27153
25964;26323
41925;52820
1281;52820
27153;43303
26323;28149
335;19922
335;42189
335;9061
19922;19836
19922;45729
42189;30894
9061;2037
9061;23128
19836;56572
45729;56318
53786;534
53786;10731
53786;20233
534;38885
534;38855
10731;17162
20233;48115
38885;55709
38855;10282
24463;22626
24463;10532
24463;3391
22626;22372
22626;10473
10532;8530
3391;41350
22372;34149
10473;11617
31106;52515
31106;46763
31106;4291
52515;8865
52515;30286
46763;31928
4291;35160
8865;25558
30286;56031
15777;25129
15777;16222
15777;8486
25129;31386
25129;24804
16222;4821
16222;41125
8486;2010
31386;18793
24804;20753
4821;54092
4821;5197
4821;58000
41125;54092
5581;27463
5581;13176
5581;55126
27463;28871
27463;44481
13176;7305
55126;37296
28871;37296
44481;47815
24389;20966
24389;46407
24389;17181
20966;8522
20966;44622
46407;54450
17181;20308
8522;423
44622;14657
48950;26939
48950;32626
48950;9460
26939;980
26939;49765
26939;33761
32626;51262
9460;55377
980;27532
49765;12529
50306;26490
50306;2723
26490;57318
26490;38611
2723;12035
2723;187
57318;30935
38611;248
49777;54121
49777;53587
49777;10895
53587;35852
53587;48353
10895;25443
35852;58147
35852;3350
48353;42444
40637;50787
40637;13354
40637;17918
50787;44046
50787;815
13354;19722
17918;56724
44046;21426
815;1804
43860;22729
49836;49860
49836;9431
49836;8619
39476;33395
2337;43391
2337;16809
2337;43974
43391;7363
43391;9834
16809;31567
16809;35668
43974;19321
7363;42644
9834;25428
6232;38257
6232;28932
26283;51417
26283;37160
26283;20755
51417;52545
51417;49276
37160;13583
37160;56016
20755;25411
20755;29636
52545;31289
49276;24953
46417;9663
15190;56602
33624;9663
33624;11118
56602;41629
28793;44390
28793;37515
28793;14902
28793;4781
44390;38533
44390;1947
37515;1947
14902;28660
4781;20093
38533;14256
38533;29808
1947;53070
1947;43125
20316;41401
20316;52106
20316;23226
41401;44950
41401;17752
52106;55592
23226;10985
23226;11615
44950;34178
17752;11797
17752;29380
17752;33424
450;36236
24451;56262
24451;50934
24451;38777
36236;587
56262;33222
50934;47709
14250;38163
14250;48202
14250;20370
38163;48202
38163;12125
48202;32684
20370;36014
12125;20542
12125;21172
10483;16264
10483;16579
10483;58580
16264;24582
16264;44992
16579;34502
58580;37242
24582;29243
24582;12176
44992;16155
11672;45310
11672;17801
11672;38935
45310;19441
45310;51649
17801;47144
38935;11889
19441;44696
19441;21397
51649;47144
45967;24594
45967;51799
45967;51316
24594;19681
24594;21980
51799;21071
51799;29963
51316;21980
19681;19184
21980;52056
21071;52783
29963;50517
10989;22399
10989;7617
10989;55923
10989;42999
22399;36832
22399;31404
7617;32059
55923;47329
42999;10580
36832;47329
36832;47721
31404;40796
48033;34708
48033;37158
48033;45021
34708;43886
34708;33249
34708;30493
37158;56389
37158;57796
45021;38042
43886;49916
33249;17714
33249;38213
30493;38797
55978;3374
55978;39874
55978;31967
55978;43501
3374;12402
3374;54666
3374;43501
3374;1621
39874;16545
31967;37888
43501;5268
12402;40647
12402;44571
12402;29753
54666;51667
54666;36716
1621;20866
52536;30171
52536;9252
52536;43077
30171;3091
30171;15890
9252;5664
43077;58768
3091;49107
15890;44593
15890;32507
45259;34746
45259;52500
45259;30280
34746;29407
34746;5054
52500;30770
30280;28034
29407;16348
29407;52292
5054;44593
48929;2455
48929;38835
48929;13834
2455;35986
2455;50759
38835;1166
13834;35546
35986;40959
50759;51445
42791;12337
42791;7273
42791;16184
12337;3803
12337;32439
12337;40057
7273;6907
7273;52450
16184;15815
3803;57893
32439;11706
40057;3041
25929;39220
25929;45912
25929;13615
39220;58638
39220;31733
45912;58638
45912;5047
13615;43240
31733;4397
9172;25223
9172;57330
9172;57343
25223;37369
25223;57829
25223;4908
57330;12379
57343;30390
10413;34197
37369;2654
57829;3914
39856;14322
39856;12747
39856;18102
39856;31793
14322;42300
12747;45486
18102;801
32319;58075
32319;56740
32319;55394
32319;44003
58075;29247
56740;8302
56740;34989
56740;31954
55394;29724
44003;10028
44003;2439
29247;53818
2904;29541
2904;29374
2904;53725
29541;47035
29541;53023
29374;6023
53725;12030
47035;12030
53023;34642
10647;56786
10647;19782
10647;32492
56786;18292
56786;52732
19782;23784
32492;40153
18292;40153
52732;47414
17046;55885
17046;26358
17046;41370
55885;19685
55885;50203
26358;51319
41370;15827
19685;55263
50203;51319
23008;16186
23008;24307
23008;19217
23008;44888
23008;58687
16186;43499
16186;16341
24307;25368
19217;47886
44888;21383
58687;47194
58687;6598
43499;1424
16341;54733
3608;14021
3608;15428
3608;23958
14021;24796
14021;48575
14021;34304
15428;30060
23958;24813
24796;8188
48575;54090
34304;8188
37347;22756
37347;4303
37347;21345
4303;55705
4303;28299
21345;25450
23835;52487
13989;28443
13989;23950
28443;13228
23950;12902
50699;28678
50699;55628
28678;40078
28678;15934
55628;48405
55628;3445
40078;5077
15934;29945
38198;43458
38198;24151
43458;58152
43458;11411
24151;36424
58152;47575
11411;27718
55026;43385
55026;42569
55026;42505
43385;45944
43385;2662
43385;39154
42569;35737
42569;7107
42505;5864
45944;2364
2662;14913
39154;34488
35737;30651
35737;53578
54479;34488
9666;50533
4066;54259
4066;13549
4066;19843
4066;44573
54259;19843
54259;4319
54259;3252
13549;20631
44573;8249
4319;3252
3252;51274
37055;5055
37055;45638
37055;33687
5055;40111
5055;33100
45638;29602
33687;24790
40111;2519
33100;51697
33100;38111
33100;41557
247;53013
247;29602
247;44604
53013;32764
53013;16753
29602;44128
44604;30453
44604;52786
32764;32304
16753;5019
32684;20509
39058;44038
39058;50780
44038;18734
50780;27993
18734;41477
56050;9439
56050;37341
56050;32967
9439;46069
9439;26614
9439;50131
9439;5165
37341;42843
32967;14067
32967;16394
46069;50345
26614;50345
50131;47638
50131;33319
5165;16643
11049;27337
11049;32473
11049;17481
27337;23848
27337;26483
32473;50017
17481;44266
23848;32960
26483;36947
26246;14520
53942;41342
2477;40002
40002;34766
40002;52655
