id;cswidth;csheight
50306;5.28;5.28
46417;2.44;2.44
15190;1.75;0.49
33624;5.69;5.69
28793;4.48;4.48
14902;3.01;3.51
22756;18.83;30.11
23835;11.99;11.99
24222;1.04;1.04
50659;0.21;1.68
48675;10.38;13.38
58858;2.84;2.84
48111;0.6;0.65
19357;4.03;12.76
27806;9.88;1.18
9431;3.01;4.57
52118;2.63;2.63
45589;17.1;17.1
6902;7.66;7.66
24970;0.28;0.1
55832;1.53;1.53
27416;2.95;4.6
6128;0.48;1.55
43887;2.0;4.3
50335;1.48;3.18
35500;3.26;3.77
46974;3.53;4.02
34987;5.29;6.29
1977;4.04;1.86
36873;3.34;3.34
15966;3.41;3.41
22800;1.5;4.93
11454;3.07;3.07
49564;1.29;4.84
41909;3.9;1.7
15036;7.44;4.73
35904;7.34;2.91
56259;6.94;3.28
13619;10.08;0.13
57668;8.69;10.53
18896;9.18;3.3
27836;6.97;5.08
11187;2.69;2.69
23390;9.29;2.89
42844;6.58;1.1
52384;1.77;31.93
41478;4.32;9.58
58408;20.0;20.0
14843;1.54;1.54
54976;2.11;4.0
54953;5.49;5.99
56672;4.1;4.1
44619;3.93;5.12
3814;7.65;7.65
38054;0.17;3.97
54547;0.46;2.04
43912;3.09;3.85
39303;4.39;4.39
7645;10.48;3.56
55655;5.5;5.5
51591;18.7;18.7
19746;44.62;126.36
34772;3.03;3.03
42002;3.94;2.84
54603;3.23;3.92
39051;7.78;6.67
209;4.85;6.93
16244;3.18;13.76
26504;3.14;0.81
36128;1.92;1.92
39248;6.38;1.72
7704;1.64;5.73
17578;7.85;1.11
25417;3.67;2.26
56353;2.33;3.06
43507;3.65;4.58
4015;2.86;1.72
3329;1.85;3.74
21689;1.02;3.38
37131;2.83;13.33
123;3.08;4.34
6788;3.02;2.38
43738;3.54;9.35
9621;2.63;7.19
51810;2.59;5.5
32412;1.84;1.84
18717;4.26;4.26
50802;0.48;0.65
7231;1.66;0.75
52977;0.99;0.59
19064;0.2;0.84
28725;0.38;1.02
3696;0.29;1.18
38865;0.64;4.81
27326;0.83;7.14
58258;11.83;15.83
28403;3.16;3.16
41962;2.05;3.09
55362;2.11;2.11
17861;3.53;2.29
35178;5.61;2.98
51623;4.13;4.13
34288;6.19;9.41
57272;9.73;9.26
16691;4.04;3.75
248;4.98;4.98
35577;6.94;3.08
37397;1.87;1.87
2740;5.35;10.53
3946;1.91;0.95
19874;6.3;3.71
8805;3.5;6.13
17532;3.46;10.63
43072;0.86;0.86
17264;4.18;2.26
5177;4.29;1.24
16276;1.88;1.44
55834;2.09;1.03
708;1.92;1.28
56969;1.36;1.36
53115;2.37;5.11
8203;1.79;2.68
58492;0.05;1.4
29732;3.52;5.1
51281;4.24;4.24
19577;5.3;12.58
58906;0.78;10.92
26543;7.02;2.46
16635;2.19;2.19
16003;4.91;4.91
9312;1.09;1.64
42028;4.52;6.89
51287;2.23;2.23
7382;2.85;1.72
3705;7.44;8.22
18040;0.86;0.86
49053;1.31;0.75
14257;3.06;1.97
40735;4.42;1.63
14875;0.76;0.63
572;0.51;0.51
25736;2.58;3.96
8886;18.98;3.41
23521;3.59;1.12
34635;3.22;3.22
54042;8.22;8.22
3798;8.4;13.22
47795;4.32;14.53
54768;8.4;13.79
36485;3.54;3.54
19580;6.9;12.82
4486;3.46;4.53
50753;4.82;7.5
56228;4.27;4.27
20770;2.74;2.74
54830;12.3;7.28
56653;4.78;4.24
23830;6.51;6.55
24595;6.43;5.64
25364;4.09;1.26
10582;1.7;0.38
47033;0.16;1.01
32724;2.31;0.92
53777;0.38;1.18
18880;3.08;1.35
57780;1.28;1.98
45467;3.4;3.4
12454;4.61;3.53
10074;1.03;6.76
7094;11.32;2.48
24060;4.92;4.92
58704;2.07;1.89
38561;9.93;7.36
54466;8.05;3.57
24435;4.59;2.75
49648;2.43;3.04
44376;1.58;1.51
19738;2.39;2.39
4703;6.94;3.32
8706;7.41;8.83
947;4.94;4.94
58050;6.82;2.9
31728;9.88;3.56
58419;11.92;8.61
57200;1.91;3.03
57177;1.32;5.5
24695;7.91;4.61
30695;1.19;4.18
50024;9.26;3.13
9723;12.51;12.64
23371;9.51;10.67
27741;7.15;16.81
7728;6.61;15.04
20130;3.69;3.69
25592;6.99;3.24
14154;4.45;11.1
24262;3.4;6.35
12238;2.45;5.88
8941;6.44;10.95
40497;7.18;10.85
5310;12.2;5.0
31265;7.76;1.77
6504;8.25;1.78
20592;2.47;5.21
55183;2.75;2.1
25429;3.11;1.04
29876;2.33;0.76
38871;2.39;1.18
15305;6.28;3.83
3076;9.48;2.33
26442;3.7;1.89
19305;14.36;8.42
16794;4.73;6.9
16507;5.74;7.15
24079;7.6;7.09
20379;3.14;7.49
36353;4.78;3.06
3148;6.1;6.1
10174;4.02;14.66
37999;2.99;8.21
37664;4.94;12.29
54687;18.1;10.64
57742;1.55;4.65
35660;4.36;8.16
38701;7.65;5.08
35636;11.4;5.4
7915;10.57;10.43
58350;1.73;10.47
17376;6.31;8.87
19990;1.53;4.73
40975;0.25;1.58
6702;3.52;4.33
44208;2.6;5.06
26052;4.02;7.98
38253;2.24;10.44
35398;9.85;5.56
6337;7.47;7.47
22465;11.08;4.58
36037;11.21;11.21
11346;14.48;28.24
25343;6.78;8.67
12786;6.94;6.94
41410;7.27;7.27
3624;4.87;3.29
26883;102.63;11.05
35649;5.87;16.18
0;0.35;2.66
22804;16.61;57.54
12145;0.13;3.16
23802;9.74;24.4
33793;3.01;3.01
12925;5.83;11.39
39884;4.57;6.65
21072;3.93;10.69
23154;50.79;10.87
20110;6.15;2.02
28056;0.26;1.61
33882;1.24;1.15
26290;4.29;5.48
47554;4.04;5.63
43727;0.59;3.63
8766;1.39;1.34
16460;1.0;1.67
5229;7.79;2.38
17258;8.44;1.55
56329;0.76;2.09
37292;5.08;2.74
52805;0.31;1.93
57266;1.35;0.9
36283;2.72;2.03
44988;2.84;2.67
46476;1.73;3.5
9569;1.83;6.92
7560;2.27;2.27
179;4.09;11.27
26473;2.19;1.98
4046;4.31;12.99
55670;1.37;1.83
35114;4.12;4.12
23927;17.34;18.01
5399;43.28;43.75
48731;10.51;22.12
17169;10.17;22.12
54129;0.85;6.5
27519;13.36;13.36
15151;29.04;21.25
29430;13.62;16.49
16939;2.45;2.04
18456;6.39;11.13
54572;10.84;10.14
747;4.2;2.24
39245;4.43;21.35
19612;4.28;7.06
51370;9.65;7.93
24313;18.04;23.4
29297;4.3;4.3
56716;3.69;3.69
26326;4.5;3.18
1120;4.39;4.39
32132;2.39;7.9
33563;5.52;22.29
16496;0.43;5.9
21351;2.08;2.08
6053;3.99;3.99
38782;2.37;10.47
47742;3.8;4.19
45256;0.33;2.85
