id;cswidth;csheight
10244;0.45;3.98
24669;2.17;10.72
12393;0.2;3.47
51459;1.27;6.72
37188;0.4;1.72
39277;2.5;10.34
12715;1.33;1.72
29160;2.05;0.48
25093;0.65;5.27
55816;0.29;1.85
14881;2.06;2.06
58011;0.74;4.89
10928;0.32;4.61
31430;1.01;4.32
8950;5.46;4.55
54011;2.92;5.47
27407;0.16;6.02
37657;0.4;2.82
43823;2.05;1.15
35648;2.85;5.78
2889;0.94;4.71
50057;0.32;2.18
31654;2.32;12.47
46139;1.74;10.1
54336;1.33;11.5
54453;2.31;3.03
44288;3.15;5.67
17686;1.41;1.41
34093;4.71;9.09
13725;2.14;7.75
11721;1.76;16.58
19933;8.31;31.22
42636;2.27;6.29
9880;1.03;2.42
50953;1.77;6.83
38706;2.66;22.96
