from_id;to_id
18432;41194
18432;48955
10245;47168
10245;7843
10245;31205
32779;49452
32779;10741
57370;25197
57370;54778
10270;9818
6183;39499
6183;58112
6187;58210
6187;56710
6192;53713
6192;52829
32832;3945
32832;44112
32832;45556
47168;55254
47168;2411
43100;36339
43100;57966
97;41622
97;5393
97;49452
8295;2918
8295;8456
8295;31294
26728;58114
26728;22325
2159;18650
2159;24282
51311;13385
26740;33192
26740;1261
26751;10140
26751;37106
39040;12056
39040;35782
10382;9116
10382;2958
8338;50361
8338;13385
41108;28201
41108;19434
41108;52058
43161;19588
43161;18235
10405;47357
10405;19588
16555;47507
16555;37321
18609;28524
41164;18901
41164;40941
26830;58477
26830;45046
49369;19078
49369;33187
18650;29762
24793;4531
37088;8109
37088;47507
18656;7707
18656;31365
28904;35743
28904;36339
41194;19014
37106;14259
20730;49681
20730;1890
47357;1261
41220;20892
41220;50454
35121;1890
35121;17816
35121;21596
43315;18852
43315;12056
39223;31365
45368;39915
45368;39499
41288;52829
41288;32155
35149;34258
14671;55254
14671;44453
53587;49777
53587;35852
53587;48353
4444;44112
4444;376
35164;48772
35164;28219
348;19434
348;34127
14694;7737
14694;19679
2411;17399
2411;47584
37231;9943
37231;35549
35190;607
35190;23318
39286;26300
39286;45712
376;23386
8570;49666
35197;33328
35197;11428
2441;5614
2441;43561
43415;14259
43415;38470
20892;8660
33187;13711
53667;46466
53667;1884
45475;41503
45475;12960
45475;11236
18852;11236
33192;52562
39339;2958
33198;57319
33198;19409
53678;38056
53678;13327
4531;48955
57781;42581
57781;39915
37321;46652
53713;14222
8660;24179
18901;23437
8665;8050
8665;7035
33246;32155
33246;7707
10719;5608
10719;15227
10719;54738
47584;52562
31205;551
31209;9930
31209;51115
2541;52829
45556;42219
45556;36675
51700;46265
51700;2918
10741;20235
49666;48248
35341;1382
35341;42983
35341;26510
49681;34127
41503;32394
27172;21747
27172;31956
43561;58114
33328;21596
4658;54738
31294;54153
43584;48339
43584;30001
19014;45712
39496;11737
39496;31546
33356;19491
21074;30638
21074;44768
39506;15288
39506;29603
39506;34240
23132;34329
23132;30638
39517;56659
39517;31863
607;24282
25197;44026
57966;7462
49777;54121
49777;10895
33396;51115
33396;34086
8828;38425
8828;44733
19078;19370
10895;25443
45712;20105
51862;3350
51862;56659
41622;35782
10906;19679
10906;53147
12960;48517
41655;5393
41655;54023
6840;38539
23230;51100
23230;48339
53952;40816
53952;5614
45767;52058
45767;997
17117;46885
17117;5367
35549;23983
6900;15227
6900;17399
58112;21408
58112;26623
11014;48517
11014;11737
23308;13711
23308;48073
23318;45046
58147;35852
58147;30681
31546;7224
23386;25443
54107;58794
54107;11286
58210;9740
58210;28201
52084;19588
52084;21747
29561;12056
29561;15433
7035;48248
7035;24249
56201;48723
56201;34258
23437;55290
56218;50454
56218;1382
9116;44453
35743;13931
29603;3676
52134;3958
52134;38539
19370;44184
19370;28640
15288;19409
25529;44383
25529;19491
54207;3863
54207;9564
35782;48527
48073;38056
997;28378
44026;10083
35852;3350
13327;10083
11286;44184
13347;38470
7224;14220
29762;40941
29762;3958
3167;11416
58477;26087
38007;55290
38007;28219
38007;3863
11416;3947
11428;9918
46265;26510
50361;30563
31956;11595
56535;34086
56535;22001
48353;42444
42219;7843
50413;25918
5367;16378
9492;44733
9492;5602
23843;17816
23843;28524
58662;18235
58662;3947
34086;48723
30001;13931
25918;54778
40260;11961
40260;53175
11595;28415
52562;8050
56659;44383
42351;56710
42351;8109
46466;54738
46466;11961
48527;57319
15772;34258
58794;34240
42444;30681
42464;22001
26087;3945
5608;44768
9740;48778
34329;55290
38425;55290
7737;22325
42581;28640
9818;16378
24179;24249
20105;9943
32394;28415
48778;26623
26300;53147
9918;14222
9930;1884
28378;30563
38654;18429
20235;10140
46885;36675
40816;14220
51100;53175
6092;42983
6092;18429
