id;x;y;z
40960;410899.71;5282656.41;1430.16
8195;410916.23;5282676.27;1430.79
24579;410859.73;5282737.75;1664.57
49156;410901.23;5282647.41;1430.92
49157;410901.22;5282634.54;1428.9
49163;410903.52;5282669.05;1544.24
16399;410888.03;5282522.73;1432.3
24592;410969.99;5282763.88;1481.14
8210;411103.48;5282466.65;1423.61
49172;410896.04;5282586.05;1509.13
57369;410901.97;5282650.02;1431.33
24603;410940.96;5282705.85;1449.67
30;410834.21;5282747.21;1657.55
8231;410922.67;5282607.63;1431.82
40;410861.56;5282521.28;1406.34
16425;410900.01;5282644.53;1429.9
24616;411011.79;5282795.55;1460.78
16437;410977.83;5282767.01;1475.8
57;410882.17;5282513.2;1428.17
41027;410899.03;5282642.57;1430.25
8261;410927.63;5282690.04;1446.87
24646;410885.21;5282490.26;1424.79
32843;410911.92;5282558.33;1246.4
57421;411123.59;5282446.43;1426.1
49234;410910.2;5282597.79;1549.19
57426;410939.68;5282723.38;1449.97
32853;410901.65;5282650.38;1430.67
24666;410911.53;5282650.6;1614.52
41051;411013.48;5282502.3;1442.65
32865;410847.23;5282525.7;1395.86
8297;410901.04;5282639.98;1617.31
49257;410920.72;5282629.25;1435.03
16495;410900.69;5282639.4;1617.88
8305;410902.34;5282650.26;1431.0
49266;410903.62;5282651.09;1430.66
8308;411049.73;5282530.08;1466.21
117;410944.64;5282743.8;1469.07
41083;411075.29;5282466.13;1442.79
123;410912.35;5282627.9;1583.98
8317;410906.65;5282658.1;1435.85
57470;410995.96;5282788.13;1473.66
24712;410923.4;5282631.25;1435.4
41104;410901.66;5282654.51;1430.24
57516;410975.84;5282828.81;1464.92
41133;411026.14;5282798.51;1472.72
24752;410925.71;5282738.75;1683.56
180;411064.09;5282566.36;1439.37
57525;410921.43;5282596.32;1545.26
187;410918.62;5282648.51;1635.87
8384;410913.58;5282632.52;1572.08
16580;411027.62;5282796.24;1476.16
24775;410895.94;5282655.1;1429.04
49354;411114.24;5282331.56;1285.88
57553;410914.49;5282621.05;1576.05
209;410903.46;5282617.87;1571.22
8403;410902.38;5282653.89;1431.36
41173;410997.99;5282498.17;1443.97
213;411018.82;5282785.54;1465.52
8411;410899.15;5282607.66;1548.51
16606;410975.16;5282813.33;1469.08
223;410867.55;5282387.97;1417.46
41189;410953.51;5282621.73;1643.83
57574;411094.09;5282541.68;1434.53
16618;410961.18;5282759.33;1481.83
8435;410918.85;5282633.51;1435.91
248;410909.21;5282656.75;1603.59
253;411118.95;5282430.29;1336.32
254;410907.73;5282620.52;1611.33
8445;410904.94;5282622.24;1610.92
57606;410895.94;5282603.41;1422.99
266;410855.04;5282540.34;1395.64
8462;410911.0;5282668.39;1435.25
273;411153.78;5282431.32;1436.19
274;410908.74;5282660.04;1585.19
33042;410974.45;5282797.81;1485.03
33052;411130.1;5282423.74;1463.44
16670;410898.17;5282759.36;1676.02
33063;410901.03;5282646.3;1430.06
8488;410911.47;5282656.93;1603.17
57640;410896.28;5282532.81;1433.77
16682;410972.56;5282821.21;1469.48
16685;410899.52;5282657.27;1431.08
33069;411121.82;5282408.77;1306.2
16691;410907.03;5282657.67;1604.07
8499;410927.41;5282639.03;1652.27
315;411082.4;5282555.35;1442.3
16700;411032.99;5282520.17;1460.54
41283;410900.83;5282639.81;1429.88
57668;410941.44;5282599.28;1501.14
57669;410902.43;5282652.3;1430.96
8517;410863.91;5282345.29;1379.37
8519;410902.93;5282660.92;1593.45
8521;410931.0;5282632.64;1660.87
16715;410915.61;5282678.36;1436.59
49490;410973.25;5282766.41;1481.47
16725;410950.16;5282750.19;1474.37
33111;411094.97;5282542.93;1441.5
24920;410951.68;5282567.32;1513.05
8548;410902.68;5282652.24;1432.0
33125;410889.23;5282525.5;1432.35
361;410863.7;5282343.1;1378.87
8554;410961.91;5282615.71;1670.87
41322;410866.63;5282356.61;1386.87
368;410979.18;5282792.07;1480.55
16755;411114.51;5282436.47;1461.7
49537;410869.89;5282384.5;1426.59
41352;410916.34;5282622.36;1577.49
24969;410902.57;5282652.03;1431.0
33166;411011.59;5282790.75;1466.22
49552;410873.59;5282393.27;1423.86
41365;410964.83;5282781.38;1475.56
33176;410897.96;5282638.43;1658.76
