id;cswidth;csheight
532;0.8;0.7
563;0.71;0.53
322;0.58;0.91
205;1.27;1.27
244;1.2;0.7
319;0.51;2.4
567;1.1;2.0
135;1.54;0.34
396;1.91;2.15
359;1.0;1.2000000000000002
120;0.83;0.51
102;0.95;0.22
23;0.79;0.69
196;0.84;0.7
434;4.0;7.32
267;4.0;9.81
365;1.0;10.63
1;0.67;9.52
372;0.54;0.23
136;1.98;0.5
541;4.33;1.34
163;0.58;0.75
199;0.61;5.55
536;1.2;8.0
461;1.62;2.07
395;1.78;0.66
71;8.75;8.75
218;4.88;3.01
175;0.1;0.77
57;0.05;0.85
64;0.69;0.9
588;1.01;0.94
99;1.21;0.5
534;1.55;3.55
145;1.53;1.53
49;2.7;8.0
449;3.85;2.83
327;0.78;3.24
106;0.76;0.31
554;0.43;0.31
113;0.03;0.46
50;0.28;0.6
384;0.23;1.1
363;0.16;1.97
200;0.09;2.27
157;0.06;1.76
523;0.23;1.14
371;0.19;1.13
103;0.18;1.0
63;0.03;1.98
326;0.3;2.2
324;0.32;2.2
75;0.42;1.99
254;0.26;1.8
19;0.13;1.62
524;0.02;1.71
3;0.51;0.42
601;1.43;1.43
100;0.05;4.82
456;0.03;3.0
165;1.9;5.0
494;2.16;2.16
320;0.74;0.99
316;4.0;5.08
455;2.2;1.95
15;5.15;2.69
352;23.04;2.37
374;2.0;41.77
216;1.8;3.0
420;1.17;1.17
339;3.5;43.0
265;3.6;53.0
40;1.01;43.0
533;2.5;64.0
217;0.5;64.0
548;0.06;1.29
451;0.17;1.96
38;0.02;0.85
148;0.07;7.6
193;0.04;2.12
289;0.12;1.67
482;0.51;0.51
60;0.81;1.26
303;0.94;1.28
107;0.5;1.04
28;1.55;0.91
555;1.01;1.32
290;1.73;0.6
174;1.99;0.99
605;0.98;1.16
508;2.99;0.21
284;0.96;0.26
529;0.47;1.78
502;0.1;2.08
585;0.01;3.11
207;0.06;3.91
294;0.09;3.9
361;0.16;0.6
84;0.52;1.97
201;1.8;0.77
424;0.07;4.0
39;0.18;2.98
37;0.22;2.63
155;0.39;2.07
17;1.0;0.97
362;7.0;19.0
338;3.0;8.91
2;2.0;3.5
192;2.0;1.26
381;3.2;8.0
260;1.51;2.44
286;2.0;12.8
277;1.5;9.0
551;3.8;10.0
42;4.96;3.69
274;5.38;3.0
388;4.5;2.12
607;2.7;7.0
423;0.42;3.0
132;0.09;2.87
41;0.5;2.23
347;3.0;14.0
584;0.6;9.19
595;0.99;0.81
130;1.0;2.03
138;1.25;1.79
438;1.75;2.15
