id;fulladdress
532;CombeBryon.1.0
563;CombeBryon.1.1
322;CombeBryon.1.2
205;CombeBryon.1.3
205;CombeBryon.2.0
244;CombeBryon.1.4
319;CombeBryon.2.1
567;CombeBryon.2.2
135;CombeBryon.2.3
396;CombeBryon.2.4
359;CombeBryon.2.5
120;CombeBryon.2.6
102;CombeBryon.2.7
23;CombeBryon.2.8
196;CombeBryon.2.9
434;CombeBryon.2.10
267;CombeBryon.2.11
365;CombeBryon.2.12
1;CombeBryon.2.13
1;CombeBryon.2.14
372;CombeBryon.2.15
136;CombeBryon.2.16
541;CombeBryon.2.17
163;CombeBryon.2.18
199;CombeBryon.2.19
536;CombeBryon.2.20
461;CombeBryon.2.21
395;CombeBryon.2.22
71;CombeBryon.2.23
71;CombeBryon.3.0
71;CombeBryon.4.0
232;CombeBryon.3.1
232;CombeBryon.3.2
175;CombeBryon.3.3
57;CombeBryon.3.4
64;CombeBryon.3.5
218;CombeBryon.4.1
218;CombeBryon.4.2
588;CombeBryon.4.3
99;CombeBryon.4.4
534;CombeBryon.4.5
145;CombeBryon.4.6
145;CombeBryon.5.0
49;CombeBryon.4.7
327;CombeBryon.4.8
106;CombeBryon.4.9
554;CombeBryon.4.10
113;CombeBryon.4.11
50;CombeBryon.4.12
384;CombeBryon.4.13
363;CombeBryon.4.14
200;CombeBryon.4.15
157;CombeBryon.4.16
523;CombeBryon.4.17
371;CombeBryon.4.18
103;CombeBryon.4.19
63;CombeBryon.4.20
326;CombeBryon.4.21
324;CombeBryon.4.22
75;CombeBryon.4.23
254;CombeBryon.4.24
19;CombeBryon.4.25
524;CombeBryon.4.26
3;CombeBryon.4.27
601;CombeBryon.4.28
601;CombeBryon.7.0
100;CombeBryon.4.29
165;CombeBryon.4.30
494;CombeBryon.4.31
494;CombeBryon.9.0
494;CombeBryon.12.0
494;CombeBryon.13.0
449;CombeBryon.5.1
15;CombeBryon.5.2
352;CombeBryon.5.3
374;CombeBryon.5.4
216;CombeBryon.5.5
420;CombeBryon.5.6
420;CombeBryon.6.0
339;CombeBryon.5.7
40;CombeBryon.5.8
265;CombeBryon.6.1
533;CombeBryon.6.2
217;CombeBryon.6.3
456;CombeBryon.7.1
548;CombeBryon.7.2
451;CombeBryon.7.3
38;CombeBryon.7.4
148;CombeBryon.7.5
193;CombeBryon.7.6
289;CombeBryon.7.7
482;CombeBryon.7.8
482;CombeBryon.8.0
60;CombeBryon.7.9
107;CombeBryon.7.10
28;CombeBryon.7.11
555;CombeBryon.7.12
290;CombeBryon.7.13
174;CombeBryon.7.14
303;CombeBryon.8.1
605;CombeBryon.8.2
508;CombeBryon.8.3
320;CombeBryon.9.1
284;CombeBryon.9.2
529;CombeBryon.9.3
502;CombeBryon.9.4
585;CombeBryon.9.5
207;CombeBryon.9.6
294;CombeBryon.9.7
361;CombeBryon.9.8
84;CombeBryon.9.9
201;CombeBryon.9.10
424;CombeBryon.9.11
39;CombeBryon.9.12
37;CombeBryon.9.13
155;CombeBryon.9.14
17;CombeBryon.9.15
17;CombeBryon.10.0
362;CombeBryon.10.1
338;CombeBryon.10.2
2;CombeBryon.10.3
192;CombeBryon.10.4
381;CombeBryon.10.5
260;CombeBryon.10.6
286;CombeBryon.10.7
277;CombeBryon.10.8
551;CombeBryon.10.9
42;CombeBryon.10.10
274;CombeBryon.10.11
388;CombeBryon.10.12
607;CombeBryon.10.13
