id;x;y;z
532;567721.0;135868.0;1864.5
563;567718.88;135864.73;1864.36
322;567719.64;135863.8;1864.26
205;567726.25;135861.91;1859.44
244;567727.71;135867.4;1859.94
319;567726.52;135861.49;1859.44
567;567726.52;135861.49;1857.64
135;567729.22;135857.34;1853.91
396;567729.65;135856.69;1853.28
359;567729.65;135856.69;1849.78
120;567733.04;135852.36;1845.78
102;567735.1;135849.53;1842.95
23;567737.67;135846.37;1838.42
196;567740.01;135841.79;1832.29
434;567740.41;135840.56;1830.76
267;567740.41;135840.56;1822.13
365;567740.41;135840.56;1812.32
1;567741.21;135839.18;1812.32
372;567744.76;135835.12;1804.9
136;567749.85;135830.38;1796.9
541;567751.89;135829.8;1784.88
163;567755.11;135827.2;1781.41
199;567755.81;135823.22;1781.56
536;567755.81;135823.22;1775.66
461;567757.41;135820.23;1775.36
395;567759.76;135820.11;1772.12
71;567761.38;135816.29;1748.59
232;567761.6;135817.42;1755.09
175;567759.28;135821.62;1755.09
57;567752.79;135828.35;1756.74
64;567744.67;135835.42;1757.68
218;567764.6;135801.3;1738.24
588;567765.16;135797.29;1736.27
99;567765.38;135791.47;1731.55
534;567765.51;135787.72;1729.88
145;567766.69;135785.85;1728.71
49;567766.69;135785.85;1725.21
327;567770.51;135779.75;1725.21
106;567772.51;135775.83;1724.27
554;567772.79;135777.81;1724.2
113;567775.18;135778.55;1724.16
50;567780.27;135780.61;1724.35
384;567783.96;135778.22;1724.2
363;567785.63;135774.49;1723.91
200;567790.1;135770.48;1723.91
157;567792.92;135766.75;1724.32
523;567797.73;135762.11;1723.85
371;567798.7;135758.25;1724.27
103;567801.24;135755.44;1724.01
63;567802.93;135751.06;1723.76
326;567806.18;135744.98;1723.52
324;567811.76;135744.79;1723.13
75;567812.57;135748.06;1722.66
254;567817.97;135748.25;1722.66
19;567820.4;135745.47;1722.66
524;567823.97;135743.24;1721.76
3;567831.62;135736.38;1721.04
601;567836.05;135731.63;1717.29
100;567842.07;135725.64;1717.0
165;567843.84;135723.87;1716.91
494;567843.84;135723.87;1721.61
449;567765.5;135783.19;1732.58
15;567765.92;135781.81;1734.89
352;567765.14;135780.4;1732.83
374;567765.27;135776.69;1734.18
216;567765.27;135776.69;1782.88
420;567764.59;135774.73;1783.21
339;567764.59;135774.73;1825.71
40;567763.61;135771.9;1825.71
265;567764.59;135774.73;1729.94
533;567764.59;135774.73;1718.94
217;567763.76;135771.85;1718.94
456;567825.42;135741.18;1717.79
548;567822.66;135743.17;1717.91
451;567812.67;135753.49;1716.91
38;567811.11;135755.55;1717.18
148;567805.02;135761.62;1717.33
193;567796.51;135771.04;1717.77
