id;x;y;z
10;578280.0;236270.0;975.0
29;578272.04;236266.02;969.44
30;578272.04;236266.02;962.54
0;578272.04;236266.02;962.24
2;578274.31;236264.34;958.74
21;578272.23;236264.68;955.36
14;578271.71;236264.77;954.52
9;578269.62;236265.12;951.12
15;578269.12;236263.96;947.99
28;578268.21;236261.52;945.47
11;578269.84;236257.77;943.48
25;578271.15;236257.36;942.87
32;578272.66;236256.88;942.17
27;578272.66;236256.88;940.72
22;578274.83;236256.71;939.13
1;578274.83;236256.71;938.13
13;578274.83;236256.71;933.91
31;578275.89;236255.44;932.66
24;578276.99;236251.71;930.6
3;578278.26;236251.11;929.69
6;578278.26;236251.11;925.99
8;578279.75;236249.49;924.61
18;578282.34;236245.58;920.68
19;578282.73;236244.41;918.45
12;578286.33;236241.24;911.85
17;578287.29;236239.84;909.75
20;578290.24;236237.49;906.23
26;578290.39;236236.61;903.77
5;578290.79;236235.48;901.69
7;578291.55;236235.34;901.49
16;578272.66;236256.88;944.97
23;578273.31;236259.25;946.69
4;578273.31;236259.25;951.19
