id;idsql
82;1
0;2
131;3
131;57
9;4
9;5
92;6
92;7
96;8
96;38
96;42
60;9
30;10
48;11
34;12
29;13
81;14
14;15
14;41
28;16
115;17
40;18
69;19
38;20
38;87
33;21
33;31
50;22
23;23
23;24
127;25
47;26
47;29
83;27
106;28
61;30
36;32
97;33
62;34
42;35
31;36
24;37
4;39
87;40
116;43
111;44
77;45
86;46
37;47
1;48
49;49
12;50
16;51
63;52
63;60
2;53
102;54
113;55
10;56
79;58
79;63
59;59
100;61
20;62
15;64
70;65
78;66
94;67
74;68
22;69
22;75
123;70
98;71
71;72
43;73
80;74
53;76
118;77
118;82
64;78
13;79
117;80
8;81
85;83
3;84
51;85
121;86
105;88
126;89
17;90
112;91
128;92
91;93
18;94
68;95
68;105
90;96
54;97
130;98
32;99
72;100
65;101
122;102
122;143
93;103
76;104
107;106
19;107
5;108
55;109
35;110
35;113
108;111
129;112
119;114
119;149
26;115
95;116
95;117
6;118
66;119
103;120
101;121
39;122
120;123
57;124
25;125
45;126
73;127
73;136
88;128
124;129
84;130
41;131
56;132
67;133
27;134
110;135
75;137
7;138
114;139
114;141
52;140
58;142
11;144
44;145
104;146
89;147
46;148
21;150
99;151
125;152
109;153
