from_id;to_id
108;2
2;131
131;87
87;63
87;55
63;16
16;119
119;72
72;128
128;104
128;37
104;50
50;65
50;79
65;96
65;90
96;99
99;126
126;9
9;112
112;61
61;91
91;64
64;117
117;43
43;89
89;44
44;135
135;116
116;32
32;86
32;82
86;88
88;20
20;7
7;127
127;125
125;94
94;83
83;69
69;59
59;29
29;22
22;6
6;110
110;85
85;67
67;4
4;54
54;12
12;24
24;92
92;73
73;124
124;17
17;113
113;48
48;102
48;19
102;30
30;39
39;34
34;74
74;121
121;41
19;120
120;81
81;107
107;95
95;105
105;33
33;93
93;45
45;27
27;118
27;109
55;51
37;100
37;3
100;47
47;97
47;80
97;70
82;84
84;111
111;10
10;26
26;137
137;130
130;101
101;21
21;62
21;57
62;132
62;78
132;1
1;71
71;38
38;114
114;122
122;103
103;35
35;53
53;123
123;136
136;13
136;98
13;75
75;46
46;42
42;28
28;77
77;106
106;11
106;49
11;76
76;0
76;52
0;60
60;40
40;66
66;129
129;23
129;36
23;25
25;56
25;31
56;134
134;133
57;115
31;58
58;18
90;14
14;8
8;15
15;5
5;68
