id;cswidth;csheight
108;5.0;5.5
2;4.0;3.0
131;4.0;34.0
63;4.0;26.0
16;1.8;3.0
119;4.3;15.5
72;5.3;16.0
104;9.5;6.0
96;0.8;2.1
99;11.0;4.2
126;12.0;13.0
9;6.5;11.0
112;6.0;6.0
91;3.0;2.0
64;0.8999999999999999;0.6
117;0.5;0.4
44;4.0;16.0
135;5.0;30.0
116;0.7;3.0
86;5.0;8.0
88;5.0;5.0
20;1.0;2.0
7;1.5;3.5
127;2.0;3.0
125;3.0;11.0
94;2.0;3.0
83;1.5;4.0
69;2.0;3.5
59;1.5;1.2
29;1.5;2.3
22;1.5;1.2
6;1.0;1.8
110;1.0;2.1
85;0.5;2.5
67;1.5;3.0
4;1.5;3.2
54;1.4;2.1
12;1.8;3.55
24;0.8;1.0
92;1.5;2.4
73;1.0;2.4
124;2.0;2.0
17;1.0;1.5999999999999999
113;1.0;1.5999999999999999
102;1.0;1.0
30;0.8;2.0
39;0.8;2.0
34;0.8;2.0
74;0.72;1.7
121;1.0;1.0
41;0.7;0.9
19;1.0;2.5
120;0.6;3.0
81;0.5;2.2
107;0.3;1.8
95;0.6000000000000001;2.6
105;0.6;2.0
33;0.5;1.1
93;0.6;1.5
45;0.7;8.5
118;1.0;1.4
55;7.0;30.0
51;4.0;5.0
79;0.5;1.2
109;1.5;1.2
100;1.0;1.3
97;1.8;6.0
70;0.7;3.0
3;0.6;1.7
80;2.0;2.0
82;3.0;4.0
84;2.0;3.0
111;2.0;5.0
10;1.5;3.0
26;1.8;2.5
137;1.5;1.0
130;0.4;2.3
101;0.6;2.0
132;1.0;4.5
1;3.75;3.0
71;0.5;1.0
38;0.5;1.2
114;0.55;4.5
122;1.5;8.2
103;1.0;2.0
35;1.0;2.0
53;2.0;5.0
123;4.5;2.0
13;1.2;3.5
75;2.0;1.0
46;0.6;1.5
42;1.2;4.2
28;2.0;3.0
77;0.6;0.7
11;4.5;2.5
0;2.0;2.0
60;0.5;1.5
40;1.8;4.5
66;1.0;1.0
23;0.7;1.3
56;2.0;2.5
134;1.0;2.7
133;1.9;1.0
57;0.8;1.0
115;0.7;1.5
78;0.3;0.65
98;1.0;3.5
49;0.6;0.6
52;0.30000000000000004;0.5
36;0.4;0.6
31;5.0;3.0
58;1.0;1.5
18;1.5;1.5
90;1.0;1.3
14;0.6;0.4
8;1.0;1.5
15;3.0;2.7
68;0.6000000000000001;1.0
