id;x;y;z
108;580720.0;233470.0;920.0
2;580720.0;233470.0;917.5
131;580718.92;233469.77;917.5
87;580718.92;233469.77;887.4
63;580717.91;233476.83;878.9
16;580715.4;233478.64;874.47
119;580713.32;233478.9;874.47
72;580713.32;233478.9;858.57
128;580712.14;233486.22;855.58
104;580712.14;233486.22;842.58
50;580708.62;233491.81;842.58
65;580705.55;233491.69;841.69
96;580702.17;233496.68;839.85
99;580702.41;233500.31;837.57
126;580694.63;233510.96;827.99
9;580692.9;233511.39;826.88
112;580688.97;233517.19;824.74
61;580685.5;233519.43;821.74
91;580681.63;233521.47;821.28
64;580678.97;233523.94;820.17
117;580676.14;233526.56;820.17
43;580672.21;233532.35;820.17
89;580672.21;233532.35;821.17
44;580668.04;233525.07;822.5
135;580666.27;233529.39;832.51
116;580665.03;233532.97;837.36
32;580664.25;233534.89;836.48
86;580664.21;233534.98;836.48
88;580660.16;233541.42;829.39
20;580658.33;233542.65;827.66
7;580658.33;233542.65;825.16
127;580655.95;233545.19;825.53
125;580656.5;233550.56;825.53
94;580656.5;233550.56;822.13
83;580653.77;233553.38;821.37
69;580657.26;233559.46;819.75
59;580661.77;233568.0;816.79
29;580663.8;233567.72;816.79
22;580662.27;233570.24;815.54
6;580665.33;233571.68;814.64
110;580666.52;233573.74;816.78
85;580667.55;233575.78;819.5
67;580665.29;233579.38;819.5
4;580665.29;233579.38;818.5
54;580662.41;233582.79;817.39
12;580662.41;233582.79;814.49
24;580660.21;233585.06;813.58
92;580660.34;233586.63;813.0
73;580660.34;233586.63;810.72
124;580655.15;233590.66;808.84
17;580653.9;233594.73;811.4
113;580651.64;233591.49;812.68
48;580650.27;233589.85;814.68
102;580647.75;233593.7;815.0
30;580646.0;233593.69;817.16
39;580641.87;233596.68;814.34
34;580637.3;233597.97;812.79
74;580636.75;233596.89;812.79
121;580635.0;233596.97;812.79
41;580635.01;233594.24;810.24
19;580650.8;233588.77;814.68
120;580649.86;233587.13;812.66
81;580648.68;233586.81;810.03
107;580649.47;233583.12;807.58
95;580649.47;233583.12;805.58
105;580650.04;233580.5;801.6
33;580650.76;233577.15;801.6
93;580650.76;233577.15;792.95
45;580650.13;233576.37;792.95
27;580649.2;233575.4;791.35
118;580646.37;233576.9;788.94
55;580718.92;233469.77;888.4
51;580719.8;233468.2;888.4
79;580703.38;233500.14;840.84
109;580648.35;233584.77;797.22
37;580712.08;233488.8;849.18
100;580712.52;233493.07;846.8
47;580715.7;233495.22;845.1
97;580716.08;233494.92;845.22
70;580726.37;233486.92;848.72
3;580705.35;233499.95;838.25
80;580712.55;233498.24;844.48
82;580665.27;233539.76;841.82
84;580659.33;233543.6;848.89
111;580660.26;233545.1;849.53
10;580660.26;233545.1;843.43
26;580657.45;233544.07;837.02
137;580654.76;233539.72;830.92
130;580652.62;233535.84;827.82
101;580653.09;233533.65;828.02
21;580651.77;233529.77;822.16
62;580652.76;233530.53;822.16
132;580652.76;233530.53;818.16
1;580654.0;233531.05;817.04
71;580654.86;233529.45;815.71
38;580658.51;233524.26;813.4
114;580660.62;233523.0;812.97
122;580660.62;233523.0;805.47
103;580661.11;233522.13;805.47
35;580661.15;233521.13;805.47
53;580661.15;233521.13;797.17
123;580663.03;233519.87;796.11
136;580663.11;233517.74;792.43
13;580662.64;233514.37;789.57
75;580661.77;233511.81;788.85
46;580656.99;233508.56;786.74
42;580655.96;233506.62;786.74
28;580655.96;233506.62;784.24
77;580655.51;233506.09;783.84
106;580656.04;233504.13;783.3
11;580656.71;233502.48;782.1
76;580654.18;233500.35;779.86
0;580655.67;233498.64;779.25
60;580654.13;233495.73;778.97
40;580654.13;233495.73;774.97
66;580654.82;233495.0;774.97
129;580656.18;233493.55;774.76
23;580658.52;233495.45;776.1
25;580658.33;233493.64;775.78
56;580660.83;233493.73;775.81
134;580659.12;233494.39;773.63
133;580658.71;233491.02;771.51
57;580652.39;233534.27;823.38
115;580650.07;233537.02;821.3
78;580649.87;233534.09;824.81
98;580662.78;233515.37;792.43
49;580652.52;233501.66;781.29
52;580655.32;233499.04;778.86
36;580657.73;233494.81;774.76
31;580655.84;233489.63;775.78
58;580658.57;233488.48;775.78
18;580660.94;233487.48;772.71
90;580703.5;233490.08;843.88
14;580704.64;233486.39;844.92
8;580706.71;233480.44;844.92
15;580706.71;233480.44;847.22
5;580711.35;233473.33;855.7
68;580714.44;233468.6;861.36
