from_id;to_id
1059;1368
1059;660
1059;1281
1059;338
1368;2165
1368;581
1368;1281
660;1582
660;187
2165;1940
581;1940
581;1401
581;504
1706;1983
1706;1531
1706;1250
1706;1893
1983;1873
1983;76
1983;1750
1983;1906
1983;863
1983;10
1983;1374
1983;879
1983;199
1983;74
1983;28
1983;1758
1983;1795
1983;492
1983;332
1983;411
1983;1558
1983;2232
1983;1753
1983;1291
1983;1526
1983;235
1983;5
1983;984
1983;1356
1983;334
1983;831
1531;1667
1250;1118
1893;621
1873;1750
1873;1906
1873;909
1873;1883
1873;357
1873;324
1873;2014
1873;1517
1873;302
1873;1796
1873;979
76;1667
863;587
10;612
199;1654
199;955
1795;755
492;712
332;688
44;158
44;1715
44;1972
158;1495
158;1715
1972;916
1495;696
696;1160
696;236
1160;236
1160;785
236;1443
236;209
236;1433
236;1630
785;1119
1443;1757
209;143
1433;1790
934;1573
934;1464
934;2244
934;108
934;707
934;148
934;31
1573;282
1464;1782
2244;2066
282;1025
282;301
282;1963
1025;242
242;359
242;39
242;1978
242;448
242;1190
242;222
242;456
242;2073
242;658
359;2124
456;220
2124;555
2124;1161
2124;950
2124;1503
2124;1210
2124;488
2124;1560
2124;98
2124;1783
555;136
136;1554
136;1722
136;372
1554;699
699;1965
699;1600
699;1083
1965;927
927;19
927;1694
927;1131
927;497
927;2163
927;1127
927;1890
927;1005
19;1123
19;1013
19;1744
19;1665
19;2013
19;1587
19;51
19;1992
1123;844
1013;566
1013;1956
1013;1299
1013;443
1013;2031
1587;358
1587;305
1587;1874
1587;1116
1587;169
844;1403
844;2260
844;1624
844;613
1403;763
763;1498
763;969
1498;778
778;547
778;1953
547;2141
2141;2042
2141;2219
2042;2256
2256;1509
2256;1684
1509;142
1509;670
142;1749
142;1894
1749;585
585;989
585;2040
989;240
240;243
240;1206
240;1172
240;1197
240;1770
240;1727
243;1086
1086;1591
1086;832
1086;1565
1086;1679
1086;2147
1086;952
1591;663
663;291
663;1944
663;849
663;1989
663;852
663;1935
663;1470
663;1418
663;867
291;884
884;1864
884;1468
884;1588
884;1557
884;1475
884;343
884;2229
884;64
884;25
1864;250
25;975
250;92
250;1748
250;2123
250;382
250;1479
250;1613
250;876
92;251
2123;807
251;1331
251;2076
251;191
251;253
251;1274
251;1486
251;196
1331;1857
1857;622
1857;1701
1857;962
1857;381
1857;1386
622;734
734;2221
734;1410
734;339
734;1632
2221;853
1410;1760
1410;1280
1410;2155
1410;839
1410;97
853;1776
1776;580
580;535
535;2157
2157;2084
2084;466
466;1581
1581;1030
1030;714
714;2213
2213;176
176;304
304;1801
304;1219
304;1670
304;479
304;1271
304;614
304;2069
1801;1156
1156;2052
1156;1010
1156;1752
1156;400
1156;1729
2052;1530
1010;58
1782;423
423;1189
1189;818
818;904
904;940
940;77
77;467
467;2187
2187;632
632;257
257;1432
1432;2224
2224;2049
2049;380
380;799
799;615
615;1800
1800;2215
2215;691
691;918
918;1635
1635;78
78;933
933;1102
1102;724
724;417
417;469
469;1107
1107;1708
1708;62
62;313
313;1545
313;2028
1545;593
593;830
830;390
390;1361
1361;2223
2223;1599
1599;1689
1689;384
384;1405
1405;1355
1355;377
377;105
105;115
115;1245
1245;1643
1643;1209
1209;1860
1860;1217
1860;1110
1217;1032
1032;1933
1933;624
624;836
836;247
247;1322
247;1981
1322;198
198;2023
2023;1211
1211;1623
1623;153
153;1182
1182;495
495;1811
1811;392
392;1691
1691;1566
1566;2061
2061;460
460;386
460;122
386;1157
122;1629
1157;1621
1621;813
813;1332
1332;1553
1553;1725
1725;723
723;2064
2064;1603
1603;1125
1125;915
915;1938
1938;1362
1362;827
827;2192
2192;981
981;2046
2046;1696
2046;464
1696;1215
1215;1307
1307;2201
2201;139
139;1530
1530;1420
1530;1439
1420;2154
1420;1788
1420;706
1420;1754
1420;557
1420;1597
1420;433
1420;1772
1420;1220
1692;560
1692;2021
1692;1045
1692;1601
1692;1576
1692;1648
560;1057
560;2196
560;1851
2021;1023
1045;777
1045;6
1045;2211
1045;586
1045;1266
1045;61
1045;1969
1045;859
1045;899
1045;520
1648;1747
1057;1693
1057;1149
1057;260
1057;174
1693;897
1693;195
1693;1167
1693;1596
1693;1137
1693;2247
1693;2261
897;1934
1934;1919
1934;1270
1934;109
1919;594
594;166
594;84
166;241
241;1849
241;2126
241;1595
1849;1571
1571;1501
1571;2214
1571;1580
1501;454
454;164
454;942
454;1477
454;766
164;1155
1155;2106
1155;1733
1155;1958
2106;1462
2106;2194
2106;59
2106;1746
1462;1818
1818;1338
1338;1519
1519;565
1519;427
1519;749
1519;266
1519;2173
565;674
674;1686
1686;1287
1287;184
1287;618
1287;1235
184;1380
1380;2108
1380;1928
1380;1939
2108;1286
1286;809
1286;890
1286;270
1286;1792
1286;1618
809;510
510;735
510;1559
510;45
510;1422
735;1426
1426;1011
1426;1103
1426;1821
1426;1852
1011;948
1011;124
1103;55
948;743
743;1738
743;575
743;1022
743;2162
1738;1223
1223;902
1223;597
902;683
683;761
761;293
293;125
293;373
