id;x;y;z
1059;83462.36;15791.44;283.86
1368;83463.06;15794.77;286.24
660;83464.29;15790.19;281.22
1281;83459.75;15794.18;285.69
338;83461.95;15785.45;283.86
2165;83463.06;15797.98;286.12
581;83460.61;15796.04;285.38
1706;83480.11;15779.58;258.41
1983;83480.1;15779.67;247.1
1531;83487.38;15772.57;259.66
1250;83477.44;15780.21;258.97
1893;83485.1;15773.21;260.58
1873;83481.45;15790.16;248.33
76;83480.44;15766.52;250.58
1750;83483.53;15784.81;249.87
1906;83478.87;15792.64;250.78
863;83477.39;15778.18;246.89
10;83485.66;15797.93;246.27
1374;83473.17;15782.26;247.1
879;83483.4;15773.36;249.21
199;83480.1;15779.67;248.85
74;83482.09;15764.06;252.83
28;83485.61;15764.32;252.72
1758;83484.76;15768.57;251.73
1795;83483.24;15773.57;249.88
492;83482.02;15775.3;248.21
332;83481.96;15778.23;248.2
411;83482.74;15780.49;248.9
1558;83484.24;15786.23;249.77
2232;83481.46;15798.04;251.36
1753;83476.21;15788.1;249.94
1291;83474.33;15783.03;249.8
1526;83473.99;15782.88;249.48
235;83473.67;15774.03;249.56
5;83471.59;15771.8;249.78
984;83478.94;15769.11;249.95
1356;83480.16;15767.12;251.18
334;83483.58;15765.45;251.86
831;83476.05;15781.08;243.99
44;83585.3;15955.9;225.22
158;83590.06;15950.18;224.31
1715;83586.9;15955.8;225.31
1972;83582.11;15947.58;226.86
1495;83591.38;15943.16;224.67
696;83589.72;15932.69;225.51
1160;83591.09;15926.09;222.15
236;83601.79;15929.9;226.6
785;83590.57;15924.75;222.13
1443;83600.97;15931.46;226.79
209;83600.22;15928.4;227.02
1433;83601.79;15929.9;226.92
1630;83590.9;15926.88;222.26
909;83485.26;15787.26;249.39
1883;83487.77;15789.58;249.74
357;83495.62;15789.85;252.94
324;83495.88;15793.69;250.42
2014;83494.89;15798.0;249.42
1517;83491.55;15797.7;248.11
302;83489.32;15795.03;247.36
1796;83486.07;15798.08;249.14
979;83482.86;15797.97;250.76
934;83328.1;15604.0;248.6
1573;83325.48;15615.68;247.68
1464;83323.66;15592.63;244.71
2244;83328.1;15604.0;249.8
108;83327.59;15598.35;249.81
707;83327.55;15606.43;248.41
148;83327.17;15608.08;248.27
31;83326.11;15612.75;247.9
282;83325.49;15615.68;248.28
1025;83313.56;15616.9;248.3
301;83320.51;15616.17;248.28
1963;83315.53;15616.67;248.28
242;83313.56;15616.9;248.35
359;83306.78;15611.64;248.36
39;83305.62;15616.25;249.05
1978;83304.82;15616.19;249.12
448;83301.64;15615.93;249.4
1190;83295.69;15615.44;249.92
222;83287.74;15614.78;250.62
456;83283.77;15614.46;250.97
2073;83308.98;15613.35;248.35
658;83306.77;15611.63;248.35
2124;83306.78;15611.64;248.21
555;83311.25;15576.93;248.32
1161;83307.37;15606.68;248.21
950;83307.97;15601.71;248.21
1503;83308.57;15596.75;248.21
1210;83309.16;15591.78;248.21
488;83309.76;15586.82;248.21
1560;83310.35;15581.85;248.21
98;83310.38;15581.66;248.21
1783;83310.71;15578.88;248.21
136;83311.26;15576.94;248.98
1554;83301.64;15574.23;248.99
1722;83306.45;15575.57;248.98
372;83303.08;15574.62;248.98
699;83301.65;15574.23;248.94
1965;83296.89;15557.63;249.73
1600;83300.26;15569.43;249.16
1083;83298.87;15564.63;249.38
927;83296.89;15557.63;249.88
19;83257.13;15555.99;250.03
1694;83291.9;15557.38;249.88
1131;83286.9;15557.13;249.88
497;83281.91;15556.89;249.88
2163;83276.91;15556.64;249.88
1127;83271.92;15556.39;249.88
1890;83266.93;15556.14;249.88
1005;83261.93;15555.9;249.88
1123;83258.12;15542.03;250.05
1013;83261.63;15555.97;250.03
1744;83257.2;15554.49;250.03
1665;83257.42;15549.99;250.03
2013;83258.15;15535.01;250.03
1587;83258.29;15532.02;250.03
51;83257.47;15551.0;250.03
1992;83257.8;15546.01;250.03
844;83258.12;15542.03;250.25
1403;83261.85;15523.92;250.28
2260;83259.1;15537.13;250.25
1624;83260.09;15532.23;250.25
613;83261.07;15527.33;250.25
763;83261.85;15523.92;250.49
1498;83252.22;15522.18;250.5
969;83256.93;15523.02;250.49
778;83252.22;15522.19;250.57
547;83248.98;15531.01;250.58
1953;83250.48;15526.87;250.57
2141;83248.98;15531.02;250.68
2042;83244.02;15530.47;250.69
2219;83246.5;15530.74;250.68
2256;83244.02;15530.48;250.86
1509;83238.32;15524.06;250.87
1684;83241.37;15527.49;250.86
142;83230.23;15519.71;250.88
670;83233.92;15521.69;250.87
1749;83226.63;15512.02;250.88
1894;83228.53;15516.08;250.88
585;83226.63;15512.02;251.04
989;83218.79;15507.44;251.29
2040;83223.18;15510.0;251.14
240;83218.79;15507.44;251.36
243;83227.46;15478.77;253.02
1206;83220.2;15502.65;251.62
1172;83221.6;15497.86;251.88
1197;83223.01;15493.07;252.14
1770;83224.41;15488.28;252.41
1727;83225.82;15483.48;252.67
1086;83227.46;15478.78;253.22
1591;83212.88;15455.48;253.29
832;83224.8;15474.54;253.22
1565;83222.14;15470.31;253.22
1679;83219.48;15466.08;253.22
2147;83216.82;15461.85;253.22
952;83213.36;15456.34;253.22
663;83212.88;15455.48;253.7
291;83178.53;15454.02;253.8
1944;83207.89;15455.23;253.7
849;83203.4;15455.01;253.7
1989;83202.9;15454.98;253.7
852;83197.9;15454.74;253.7
1935;83192.91;15454.49;253.7
1470;83187.92;15454.24;253.7
1418;83182.92;15453.99;253.7
867;83178.93;15453.79;253.7
884;83178.53;15454.02;254.31
1864;83149.57;15446.22;254.39
1468;83169.85;15451.64;254.31
1588;83164.06;15450.06;254.31
1557;83159.24;15448.73;254.31
1475;83154.42;15447.41;254.31
343;83181.55;15442.51;255.83
2229;83183.56;15434.83;256.85
64;83184.19;15432.44;257.17
25;83186.07;15425.24;258.12
250;83149.57;15446.22;257.0
92;83144.92;15426.79;257.03
1748;83151.57;15440.36;257.32
2123;83152.54;15437.53;257.48
382;83148.39;15441.37;257.0
1479;83147.21;15436.51;257.0
1613;83146.03;15431.65;257.0
876;83144.85;15426.79;257.0
251;83144.92;15426.79;257.44
1331;83111.63;15408.59;259.25
2076;83140.55;15424.38;257.66
191;83136.17;15421.97;257.87
253;83131.8;15419.56;258.09
1274;83127.42;15417.15;258.31
1486;83123.05;15414.74;258.53
196;83118.67;15412.33;258.75
1857;83111.63;15408.59;259.45
622;83101.94;15392.17;262.01
1701;83109.1;15404.33;260.1
962;83106.58;15400.06;260.75
381;83104.05;15395.8;261.41
1386;83103.04;15394.09;261.67
734;83101.94;15392.18;261.56
2221;83091.9;15385.95;262.41
1410;83103.99;15381.48;265.42
339;83102.83;15387.55;263.23
1632;83103.27;15385.23;264.07
853;83091.9;15385.95;261.76
1776;83087.04;15380.39;261.77
580;83087.04;15380.39;261.22
535;83081.75;15380.23;261.22
2157;83075.74;15373.83;261.23
2084;83074.3;15371.62;261.23
466;83068.06;15371.65;261.24
1581;83060.21;15368.98;261.25
1030;83053.38;15370.48;261.25
714;83043.92;15366.7;261.26
2213;83037.72;15368.63;261.27
176;83036.17;15380.19;261.28
304;83038.38;15382.16;261.28
1801;83020.06;15393.41;261.32
1219;83036.66;15383.2;261.28
1670;83034.95;15384.23;261.28
479;83030.68;15386.82;261.28
1271;83028.11;15388.38;261.28
614;83023.83;15390.96;261.28
2069;83021.01;15392.67;261.28
1156;83020.06;15393.42;262.03
2052;82990.41;15397.93;262.11
1010;83019.23;15404.39;262.03
1752;83019.68;15398.4;262.03
400;83019.42;15401.89;262.03
1729;83019.53;15400.4;262.03
1782;83323.66;15592.63;244.44
423;83328.08;15590.63;243.23
1189;83328.07;15590.62;242.99
818;83330.47;15581.43;242.98
904;83330.47;15581.42;242.94
940;83339.76;15581.69;242.93
77;83339.75;15581.69;243.27
467;83345.81;15585.59;237.81
2187;83345.81;15585.58;238.11
632;83346.77;15570.11;238.54
257;83346.77;15570.11;238.8
1432;83349.64;15555.38;238.39
2224;83349.64;15555.38;238.09
2049;83335.72;15555.39;239.7
380;83335.72;15555.39;239.06
799;83334.29;15548.83;239.05
615;83334.29;15548.83;239.08
1800;83328.08;15539.01;239.07
2215;83328.08;15539.01;238.99
691;83321.01;15531.22;238.98
918;83321.01;15531.22;238.15
1635;83319.48;15524.74;238.14
78;83319.48;15524.74;237.54
933;83314.94;15522.59;237.54
1102;83314.94;15522.59;238.48
724;83310.75;15515.68;237.77
417;83310.74;15515.68;239.02
469;83302.76;15524.25;240.44
1107;83302.75;15524.24;239.84
1708;83293.18;15511.66;233.3
62;83293.17;15511.66;233.37
313;83283.12;15504.67;230.77
1545;83283.12;15504.67;229.87
2028;83273.3;15499.5;230.77
593;83273.85;15513.01;235.28
830;83273.84;15513.01;235.47
390;83265.78;15510.65;235.03
1361;83265.78;15510.64;235.19
2223;83265.26;15514.65;235.19
1599;83265.26;15514.65;235.15
1689;83261.45;15514.63;235.15
384;83261.45;15514.62;235.04
1405;83260.67;15504.44;235.03
1355;83260.67;15504.44;234.48
377;83248.59;15501.23;237.06
105;83248.59;15501.23;236.86
115;83251.01;15493.6;236.85
1245;83251.01;15493.59;236.57
1643;83234.03;15471.31;236.5
1209;83234.03;15471.31;235.89
1860;83220.74;15455.06;234.9
1217;83220.74;15455.06;233.82
1110;83220.4;15480.06;234.9
1032;83223.19;15438.73;233.79
1933;83223.18;15438.73;233.19
624;83204.79;15415.01;233.11
836;83204.78;15415.01;233.53
247;83180.77;15397.02;232.67
1322;83180.77;15397.02;234.87
1981;83173.59;15394.86;232.67
198;83172.73;15391.11;235.73
2023;83172.73;15391.11;235.28
1211;83178.82;15388.85;236.42
1623;83178.81;15388.85;236.02
153;83165.1;15381.6;236.0
1182;83165.1;15381.6;235.63
495;83159.39;15383.46;235.63
1811;83159.38;15383.46;235.93
392;83147.32;15377.87;234.14
1691;83147.32;15377.87;234.54
1566;83144.61;15369.69;234.53
2061;83144.61;15369.69;234.98
460;83132.64;15358.62;235.52
386;83132.64;15358.62;235.44
122;83130.01;15356.43;233.46
1157;83132.76;15371.49;237.17
1621;83132.76;15371.49;237.81
813;83104.2;15366.41;237.73
1332;83104.2;15366.41;237.38
1553;83089.25;15354.82;237.34
1725;83089.25;15354.81;237.99
723;83057.03;15347.62;237.89
2064;83057.03;15347.62;238.09
1603;83035.03;15327.95;238.01
1125;83035.02;15327.94;238.45
915;83011.05;15321.96;238.4
1938;83011.04;15321.96;238.47
1362;83008.91;15348.27;238.41
827;83008.9;15348.27;237.5
2192;83000.16;15354.17;244.2
981;83000.15;15354.17;245.1
2046;82985.2;15364.6;243.48
1696;82985.2;15364.59;243.9
464;82989.69;15348.72;243.48
1215;82988.08;15370.74;243.9
1307;82988.08;15370.73;244.24
2201;82979.37;15391.11;262.0
139;82979.37;15391.11;262.15
