from_id;to_id
137;238
137;262
137;183
137;164
238;225
262;45
183;130
164;254
164;59
225;100
225;142
100;13
100;139
142;261
13;99
139;119
99;64
64;79
259;202
259;130
259;208
202;5
208;24
5;45
107;8
107;263
107;273
8;216
263;98
273;228
273;121
216;231
231;260
260;242
242;206
153;11
153;80
153;109
153;167
11;98
80;54
109;219
109;62
167;174
54;228
121;15
115;219
115;200
115;282
115;154
115;251
219;181
200;91
282;277
251;39
91;44
44;49
44;134
49;128
134;38
128;118
118;1
1;229
229;169
169;101
101;175
101;63
101;252
175;28
252;94
28;102
102;227
227;72
72;111
111;78
78;185
185;272
272;55
55;220
220;21
21;275
275;180
180;226
180;266
226;191
266;268
191;56
56;65
65;42
42;92
92;66
92;256
66;24
256;160
277;132
132;179
179;161
161;150
161;70
161;143
161;284
150;34
284;112
34;60
60;174
59;57
57;224
261;61
61;86
86;47
47;207
207;145
224;257
257;223
223;278
278;184
184;131
160;188
188;103
188;117
103;189
117;6
189;151
151;241
6;144
144;171
144;87
171;265
87;95
95;250
250;120
119;158
158;96
96;190
190;234
234;7
7;69
69;141
241;76
76;133
133;187
187;264
187;114
264;14
114;20
14;33
20;192
192;285
285;40
40;283
283;82
112;218
218;81
81;198
198;12
12;0
0;159
0;46
159;123
123;178
178;232
232;211
38;146
146;162
39;165
165;166
165;205
166;276
205;71
276;149
149;199
199;210
210;77
77;245
245;53
71;83
83;170
170;203
170;230
203;235
230;233
53;221
53;271
271;279
279;32
279;29
32;67
29;274
274;236
236;52
52;239
239;186
186;68
68;43
68;84
84;201
201;172
201;124
172;176
124;27
27;26
26;177
177;17
17;22
22;93
93;237
93;9
93;156
93;129
237;215
9;138
156;50
129;281
215;182
138;193
193;157
157;212
212;127
127;196
196;168
168;2
2;18
18;122
122;35
50;246
246;240
240;280
280;147
280;108
281;270
281;106
270;244
106;116
244;113
113;89
89;97
97;209
209;37
37;135
135;247
247;148
148;4
4;125
125;249
249;41
41;255
255;136
136;48
48;36
116;10
10;267
147;3
108;31
31;195
195;23
23;213
213;173
173;58
58;73
73;126
126;163
163;104
104;110
110;85
85;152
152;75
75;214
214;197
214;194
197;74
194;258
35;248
248;51
51;269
51;217
51;30
30;105
105;90
90;19
19;204
