id;cswidth;csheight
227;29.68;6.96
214;4.67;9.75
161;5.06;5.06
247;7.81;7.81
183;9.5;9.5
191;11.21;11.27
199;3.72;2.67
21;6.02;2.24
93;3.24;3.49
242;3.37;1.53
38;1.87;1.87
192;2.65;2.55
261;1.19;5.23
39;1.72;2.0
137;3.2;5.78
104;6.5;2.65
41;4.57;4.57
73;4.13;6.23
128;1.34;1.34
208;20.25;1.93
0;0.95;1.58
72;0.72;1.91
4;3.17;2.61
158;3.31;0.93
138;4.78;4.78
204;4.63;4.63
85;0.3;19.74
5;2.41;3.07
235;3.24;1.17
30;2.85;2.85
114;2.28;2.28
268;23.87;10.83
177;1.76;1.93
216;2.84;6.76
131;14.63;13.38
67;0.95;2.51
155;3.92;3.92
26;2.07;6.86
112;2.24;6.58
272;0.81;2.77
156;0.1;1.92
6;0.41;0.87
244;1.01;2.09
76;0.49;0.69
258;1.99;1.99
10;2.26;5.37
260;1.13;1.44
252;0.2;0.92
133;0.31;1.28
74;0.14;0.83
226;0.18;1.39
263;1.81;2.19
230;2.4;2.5
127;3.0;0.87
22;0.76;1.64
14;0.15;1.14
129;2.38;3.16
264;0.71;0.4
217;0.92;1.42
165;1.54;1.54
154;3.79;1.32
248;2.89;4.79
239;1.76;1.9
37;2.3;3.58
65;2.66;7.33
98;2.48;4.07
277;2.64;2.64
11;3.99;3.18
251;7.02;3.46
273;2.36;1.97
282;0.36;1.16
149;0.8;2.35
160;0.69;5.84
166;3.24;3.24
49;0.9;1.02
75;3.99;4.14
82;2.43;10.73
285;5.57;3.36
195;1.15;0.53
233;1.87;9.04
69;8.89;4.51
188;0.93;2.24
243;1.81;2.13
99;1.88;0.92
78;0.83;0.96
62;0.81;0.14
40;2.19;1.68
33;3.63;0.71
255;0.74;0.38
246;0.5;0.35
197;0.84;0.36
169;5.08;2.46
115;1.56;1.56
57;2.04;1.24
8;0.53;1.13
15;0.98;0.98
83;0.16;0.78
42;2.88;1.99
24;2.08;2.08
56;1.28;1.92
259;0.78;4.81
134;0.22;0.88
193;0.75;0.86
163;1.84;6.21
270;3.23;1.67
43;3.84;5.19
178;3.94;3.15
172;2.2;2.43
184;2.65;2.44
210;4.54;24.77
215;5.29;4.32
19;0.12;0.85
136;0.8;4.35
232;2.13;2.13
198;3.44;5.76
117;1.63;1.73
196;2.24;0.91
211;0.08;0.94
157;0.55;0.69
47;6.4;9.4
186;14.21;1.65
209;0.16;0.62
221;0.66;1.62
53;1.92;1.11
51;0.49;0.89
44;1.44;1.44
283;3.48;0.96
194;0.71;0.03
171;0.84;0.7
139;4.52;1.48
123;0.11;0.86
130;1.15;1.46
27;2.24;5.43
132;3.79;3.79
94;7.42;8.82
45;0.76;2.63
174;5.13;6.71
126;4.68;5.01
256;1.08;4.84
16;1.68;1.68
79;2.27;0.69
145;1.39;1.39
140;0.32;0.29
111;3.88;0.53
176;2.87;2.87
254;4.35;1.13
253;1.67;1.67
167;0.96;3.72
91;4.95;1.04
213;1.14;0.9
23;6.13;3.61
162;3.71;0.82
17;1.71;0.92
29;6.16;1.97
269;0.92;0.92
77;1.1;0.37
274;1.67;1.67
101;1.18;3.65
113;5.24;2.13
118;6.22;3.68
187;5.53;3.58
92;7.89;2.81
180;20.19;13.28
205;9.94;4.19
228;2.37;2.37
234;0.66;3.07
84;2.13;1.07
153;2.77;0.5
58;1.58;2.35
271;0.63;4.64
3;2.15;0.35
201;0.83;0.68
181;0.25;0.38
25;1.67;2.1
170;1.95;1.01
202;0.48;0.25
52;1.02;0.62
236;0.51;0.75
238;0.39;0.23
266;2.4;0.07
119;6.4;1.17
203;10.06;0.87
173;2.59;0.9
142;2.28;2.28
229;1.13;1.13
280;0.1;0.45
88;2.23;1.13
225;1.36;1.19
95;2.48;0.64
59;2.52;0.54
141;1.42;0.94
168;3.09;1.32
102;0.13;0.97
68;1.27;0.88
279;2.17;0.56
87;5.67;1.5
80;4.64;0.34
89;3.61;0.36
190;1.84;0.41
71;1.66;0.64
220;4.65;0.61
96;0.57;0.39
182;1.95;0.34
200;0.94;0.4
108;2.81;3.92
103;3.88;1.08
48;2.64;0.63
86;0.13;0.69
31;5.79;0.97
35;3.44;2.5
54;4.58;1.1
151;3.09;1.01
20;5.67;0.84
50;3.75;1.05
28;4.3;1.14
64;2.25;1.03
97;5.94;0.7
60;2.69;0.77
2;2.88;0.8
179;1.59;1.59
206;1.44;1.35
281;3.46;1.19
159;0.75;0.6
55;0.18;0.41
46;4.57;0.7
135;2.49;2.49
63;1.29;0.57
109;1.87;2.7
121;0.8;0.58
120;1.17;0.8
90;1.45;0.62
207;0.4;0.5
