id;x;y;z
137;216467.07;328965.75;315.46
238;216465.28;328972.68;312.23
262;216471.92;328970.12;312.81
183;216471.86;328962.88;311.15
164;216465.44;328958.58;315.9
225;216464.74;328984.85;308.63
100;216475.7;328992.07;310.23
142;216460.2;328987.33;307.3
13;216475.18;328983.14;308.09
139;216475.02;328996.5;309.76
99;216473.5;328983.12;349.83
64;216472.91;328983.83;354.67
79;216472.31;328983.04;358.39
259;216473.51;328965.31;307.23
202;216474.49;328967.76;307.21
130;216473.67;328964.31;308.3
208;216474.48;328963.97;307.54
5;216473.99;328968.64;308.83
45;216473.86;328968.79;311.89
107;216500.47;328840.56;342.79
8;216504.05;328841.81;345.11
263;216498.79;328838.22;342.86
273;216498.34;328837.64;341.9
216;216504.98;328842.49;347.93
231;216503.41;328845.49;348.37
260;216502.28;328852.04;348.99
242;216499.29;328859.33;350.09
206;216495.77;328860.83;353.88
153;216495.2;328840.0;317.59
11;216495.43;328840.33;331.78
80;216495.5;328840.39;331.8
109;216492.56;328844.64;319.72
167;216491.26;328838.96;320.82
98;216497.0;328839.48;342.77
54;216496.41;328840.45;336.87
228;216496.51;328839.08;343.12
121;216495.34;328835.28;342.08
115;216488.1;328841.42;304.92
219;216489.14;328842.61;318.99
200;216495.15;328847.99;302.27
282;216491.14;328841.04;305.79
154;216497.3;328844.3;307.62
251;216475.04;328835.64;309.06
181;216491.39;328844.59;320.08
62;216489.46;328842.75;319.88
91;216499.09;328850.76;301.27
44;216502.06;328853.44;295.54
49;216507.76;328858.98;304.37
134;216504.25;328855.41;296.56
128;216509.95;328861.85;305.7
118;216507.22;328864.25;305.64
1;216503.92;328870.02;305.34
229;216503.09;328871.23;306.26
169;216505.1;328874.21;306.27
101;216507.05;328877.09;302.95
175;216508.62;328877.64;299.48
63;216507.84;328878.57;304.32
252;216505.8;328875.56;305.73
28;216506.66;328878.75;298.95
102;216501.53;328886.98;298.94
227;216499.12;328894.19;299.11
72;216497.15;328897.21;298.32
111;216495.46;328903.02;298.66
78;216492.14;328908.76;298.64
185;216489.07;328918.5;298.88
272;216487.56;328924.93;298.54
55;216485.45;328929.66;298.79
220;216487.65;328939.47;298.7
21;216487.42;328941.88;295.1
275;216486.35;328945.58;293.55
180;216485.08;328949.77;293.75
226;216485.24;328949.4;293.73
266;216478.97;328950.92;295.26
191;216481.64;328950.56;294.39
56;216478.63;328950.56;295.59
65;216478.06;328952.68;298.13
42;216477.66;328955.54;299.95
92;216476.22;328955.62;303.18
66;216476.25;328959.32;303.15
256;216473.09;328949.87;303.61
24;216474.89;328961.81;306.17
277;216490.27;328837.88;305.83
132;216491.87;328836.51;306.47
179;216489.68;328835.06;307.33
161;216486.73;328834.16;308.47
150;216486.99;328831.41;308.44
70;216489.6;328831.02;309.48
143;216484.38;328829.02;310.0
284;216489.58;328830.87;309.49
34;216488.05;328833.66;319.06
60;216488.93;328835.5;319.83
174;216490.43;328837.35;320.83
254;216467.41;328949.47;312.88
59;216461.67;328959.67;315.16
57;216461.44;328960.95;310.8
261;216458.86;328989.09;302.71
61;216458.15;328990.64;301.88
86;216456.65;328992.77;300.09
47;216454.66;328993.2;298.9
207;216453.51;328996.18;298.45
145;216455.59;328996.19;297.57
224;216462.35;328961.55;309.8
257;216463.1;328963.21;309.64
223;216462.34;328963.34;308.97
278;216462.8;328962.43;307.36
184;216461.96;328962.35;307.36
131;216462.49;328960.96;306.54
160;216470.4;328947.56;305.04
188;216467.81;328942.97;304.11
103;216466.97;328939.64;302.46
117;216466.24;328945.27;304.07
189;216464.76;328937.93;302.31
151;216463.11;328935.02;301.79
6;216465.19;328946.09;305.31
144;216463.9;328944.3;305.5
171;216463.23;328943.74;303.9
87;216464.26;328944.75;308.62
265;216461.73;328945.37;303.69
95;216466.1;328946.65;310.54
250;216467.09;328947.43;311.02
120;216467.2;328949.55;312.53
119;216474.97;328999.62;303.84
158;216475.39;328998.54;301.67
96;216475.87;328998.21;302.91
190;216475.51;328994.74;303.2
234;216475.53;328992.76;303.32
7;216476.51;328991.98;305.84
69;216476.45;328990.67;308.31
141;216475.83;328992.07;310.21
241;216460.23;328933.1;302.91
76;216456.77;328929.61;303.67
133;216453.3;328926.12;304.44
187;216450.45;328923.23;303.26
264;216451.23;328923.58;302.95
114;216450.57;328923.04;303.19
14;216450.66;328923.53;308.09
33;216446.66;328920.09;310.1
20;216449.9;328922.97;303.0
192;216447.3;328921.02;298.35
285;216445.87;328919.29;297.03
40;216444.29;328920.63;295.97
283;216445.89;328924.72;295.87
82;216445.07;328927.17;296.13
268;216476.8;328956.25;303.09
94;216504.72;328873.06;310.04
15;216494.4;328836.13;342.25
112;216489.55;328830.69;310.53
218;216496.26;328824.72;311.31
81;216496.28;328824.68;310.24
198;216497.33;328823.23;310.25
12;216497.26;328822.38;310.98
0;216498.92;328818.57;311.31
159;216500.07;328816.57;309.39
46;216497.81;328821.48;315.06
123;216500.53;328815.91;309.17
178;216500.03;328814.25;311.02
232;216499.63;328813.18;311.82
211;216501.03;328812.93;315.16
38;216507.28;328858.26;296.88
146;216510.95;328861.08;297.92
162;216514.3;328865.2;298.22
39;216469.62;328831.58;314.15
165;216466.5;328829.65;314.16
166;216462.15;328827.11;316.91
205;216466.06;328829.4;313.54
276;216459.34;328823.85;321.24
149;216453.85;328821.27;322.06
199;216449.09;328817.72;324.25
210;216446.34;328816.07;326.71
77;216443.64;328814.67;328.43
245;216451.7;328806.03;328.33
71;216465.19;328828.71;300.3
83;216465.88;328829.3;299.74
170;216464.05;328833.1;295.2
203;216462.58;328831.71;293.75
230;216465.09;328832.91;295.52
235;216459.49;328829.97;293.3
233;216469.01;328834.96;295.24
53;216453.67;328803.55;328.52
221;216455.61;328806.88;328.52
271;216451.64;328800.54;328.92
279;216449.45;328798.33;328.17
32;216449.82;328798.65;325.77
29;216445.62;328792.79;328.13
67;216450.86;328801.07;324.41
274;216443.74;328788.69;326.56
236;216441.39;328785.51;327.66
52;216435.69;328778.94;327.16
239;216434.46;328777.16;327.2
186;216432.1;328773.69;326.81
68;216428.2;328768.21;326.71
43;216426.13;328767.62;326.59
84;216427.79;328769.04;328.03
