from_id;to_id
976;2934
976;4077
976;157
2934;2714
2934;1101
4077;1101
4077;783
157;2714
2714;2797
1101;4094
1101;2303
2797;3312
2797;2055
2797;2991
4094;1910
4094;3985
4094;141
4094;1402
2303;594
1910;3753
3985;594
3985;2305
3985;4286
1402;147
783;4388
4152;4132
4152;372
4152;3481
4152;2557
4152;3684
4152;2183
4132;3232
4132;2139
4132;474
4132;3596
4132;2694
372;3407
1878;3099
1878;1375
1878;1622
1878;1630
1878;1459
1878;1960
1878;714
1878;1128
1878;3752
1878;3799
1878;4358
1630;3302
1630;874
1630;4379
1630;3166
1630;1029
3799;2713
3799;3291
3799;2936
3799;1836
3799;27
3799;279
4358;3316
4358;1953
4358;1057
4358;3129
4358;915
4358;3988
4273;2339
4273;617
4273;342
2339;100
617;100
342;4317
100;3763
3763;2621
4317;907
907;1213
1213;54
54;589
589;3940
3940;1473
1473;3946
1473;3458
1473;78
3946;3879
3879;3851
3851;3908
3851;369
3908;3688
3688;4131
4131;2222
4131;713
2222;3866
2222;871
3866;2434
2434;2720
2434;1066
2434;2142
2720;2553
2720;2176
2720;79
2720;1641
2720;4032
1066;1404
2690;3492
2690;2516
2690;4329
2690;168
2690;4263
2690;1114
2690;2057
2690;3550
2690;1557
2690;2195
2690;1531
2690;2226
2690;3794
2690;2548
2690;2910
2690;3159
2690;2321
2690;31
2690;1351
2690;1529
2690;1131
2690;3795
2690;2023
2690;1571
2690;2099
3492;2767
2516;231
4329;2676
4329;2020
4329;2639
4329;2970
4329;2107
4329;3146
4329;2417
4329;261
4329;3538
2099;2568
2099;1054
2099;1362
2099;3527
2099;3103
2099;447
2767;2553
231;681
681;1369
1369;3886
3886;1475
1475;207
207;217
217;94
94;3394
3394;3413
3413;3595
3595;2307
3595;2727
2307;3991
2307;1198
3991;3540
3540;691
691;2412
2412;3053
3053;2026
3053;1355
2026;2390
2390;2572
2572;1719
2572;1658
4276;1134
1134;4328
4328;4069
4069;2259
2259;2763
2763;517
517;498
498;1607
1607;3102
3102;893
893;1856
1856;172
172;1787
1787;4191
4191;511
4191;2843
4191;1876
511;4338
4338;2896
2896;374
374;1404
374;1107
374;22
1404;143
1404;1427
1404;3330
4023;3464
4023;1274
4023;699
4023;4318
4023;3487
4023;519
4023;637
3464;1874
3464;3685
3464;1439
3464;1387
3464;1414
3464;3654
1274;1420
1274;1075
699;1364
699;3367
699;2823
699;3293
699;3945
699;1753
699;701
699;842
1874;2676
1874;2937
