from_id;to_id
3;3298
3;1923
3;302
3;2456
3;4045
3;3991
4;740
5;916
11;2658
11;3342
16;2554
16;306
16;137
16;698
16;364
16;3743
16;1857
16;287
16;2476
16;1306
16;3945
16;3626
16;3883
16;2574
16;2954
19;1131
19;2648
19;2589
19;2908
19;1391
20;3486
20;1060
20;549
20;3169
20;939
20;2643
20;2530
20;1039
20;3716
20;2842
20;2669
20;2840
20;1913
20;3613
20;427
20;4365
20;657
20;2764
20;2860
20;1344
20;2238
20;212
20;2276
20;1124
20;740
21;3680
21;1441
22;173
23;3407
23;3732
27;2754
27;2090
28;2796
30;541
30;1618
32;1069
32;3153
35;1765
35;2453
35;3008
35;2546
35;3176
35;2796
39;1554
42;1391
44;1191
44;2150
46;1929
46;2887
47;1158
47;2110
50;3308
50;2516
51;2314
51;2356
51;949
51;1382
51;1912
51;73
52;385
52;1396
53;2301
53;2788
55;103
59;756
59;1770
60;1522
60;2398
62;689
62;3243
66;4145
68;1132
72;672
72;4102
75;3277
78;1460
78;1247
79;3998
79;3024
79;2904
79;3847
79;3876
80;3019
83;2205
87;854
87;1309
88;2590
88;1459
90;3643
90;2451
91;2785
92;2011
92;480
94;3019
100;3344
101;2796
101;1249
101;3346
101;4257
101;532
101;2471
103;3842
103;3177
103;2232
103;3357
103;2369
103;1807
103;4284
103;2507
103;1711
103;3975
103;2097
105;519
105;1619
107;173
114;1732
118;2794
118;3460
119;3237
119;785
121;1683
121;247
122;3268
125;3842
130;173
134;1317
134;1990
134;2046
135;530
135;2988
138;2731
138;1108
138;2947
138;290
138;768
138;1675
139;1903
142;1108
143;182
148;3819
151;2271
151;391
155;3620
155;3747
156;2356
163;3107
163;1740
172;2356
173;1131
173;2296
173;4161
174;1709
174;3942
175;3304
175;3926
176;659
178;1637
180;2403
180;2897
182;3738
182;3094
182;2014
182;1330
182;1720
182;1975
187;2097
189;916
190;1495
190;3104
191;682
191;3064
193;1683
193;1837
197;3747
197;2564
198;3297
203;855
210;2488
210;3501
211;954
211;793
213;1952
213;4089
215;1131
218;2712
218;2173
219;3816
219;2283
227;3795
228;730
229;1690
229;1724
229;2737
229;803
229;3496
229;2284
229;1073
229;482
229;450
229;3951
230;599
230;2120
232;3120
233;1153
233;3865
243;3819
246;1804
256;546
256;2976
260;530
260;2498
260;1688
260;1404
260;3251
262;1669
264;3258
264;553
266;4367
266;2490
267;1831
267;599
269;3738
272;1163
272;882
273;3400
273;1674
274;543
276;2314
282;4253
282;589
282;3316
283;2077
284;1514
284;3538
285;656
285;3653
292;549
294;2120
294;4136
296;1179
296;672
300;3646
306;3617
306;851
306;1846
306;1909
306;1984
306;2740
306;3332
310;1636
310;1017
311;1601
311;2671
313;1237
313;1503
313;1526
313;1206
313;683
313;4149
313;2614
313;4256
313;1355
315;3297
316;1131
320;2988
325;360
325;2161
326;1237
326;2422
326;2731
326;1061
326;3952
326;1833
326;4302
327;4374
330;419
330;4273
331;1660
333;2772
333;2784
334;2471
338;2327
338;2682
342;3237
342;4326
343;3277
350;3536
350;839
350;2017
353;2151
354;1967
354;1163
355;3559
355;3210
356;2293
356;3616
358;4177
358;1576
359;1930
360;2150
363;1534
365;3277
367;2480
367;3294
368;1731
368;2143
371;1461
371;2625
372;4133
372;2037
379;740
382;4262
382;1331
383;1684
383;1801
385;3482
389;4185
389;2521
390;1238
390;4335
391;2658
393;1930
395;810
395;2800
395;1199
395;1822
395;2706
395;424
395;1777
395;906
395;2641
395;2940
395;1579
395;1436
395;696
398;4100
400;1390
401;3114
413;3297
417;658
417;613
419;4352
420;752
420;1873
422;1637
422;2297
422;3564
422;1943
422;2955
422;2439
422;1534
423;2677
423;1244
428;1930
430;3617
433;3146
433;3516
434;3208
435;3497
435;1902
439;3646
442;1998
442;1887
443;3344
446;3710
446;4180
450;1889
453;4260
453;4173
459;3858
459;2184
460;4123
460;2433
461;1632
463;2218
464;2744
464;4334
466;2973
466;1749
467;2213
467;1877
469;4090
469;948
473;3182
473;1965
476;680
476;4262
477;3595
477;1660
477;1910
478;937
478;2755
480;3144
483;840
483;1255
485;3777
486;1237
487;3777
491;2501
493;1446
493;3768
497;1723
497;1243
505;3872
505;1485
510;1485
510;2536
511;2515
511;2233
519;1887
521;2386
521;1100
522;3450
522;1729
523;1368
525;3019
526;2673
526;3135
527;4337
527;645
528;667
528;903
529;1732
529;3614
529;1045
529;2820
529;855
530;1768
531;3448
531;3825
533;3364
533;1193
541;715
542;2554
543;1600
543;2101
543;2019
543;721
543;1307
543;4254
543;1516
543;2363
543;2445
546;3380
549;1503
549;3895
549;1282
549;3571
549;3548
549;3381
549;3582
549;4276
550;3646
551;4086
552;2425
552;1723
552;2874
552;2588
553;2778
556;3968
556;2050
557;2625
557;3156
559;3453
559;3401
564;3667
564;663
567;3015
567;1937
568;1108
572;3221
574;3724
574;1205
575;2398
575;1214
576;1269
576;3839
582;3019
584;1521
584;2634
589;2483
590;2554
595;4306
595;825
598;788
598;1635
601;1948
613;3931
615;3294
615;1023
616;4234
616;3385
619;1803
619;3317
620;3082
620;1656
621;2679
622;3079
623;2785
625;2731
636;2616
636;3694
640;1723
645;4153
646;1571
646;2829
647;2544
647;2888
651;659
651;1544
651;3725
651;2996
651;4357
651;2692
651;2151
652;2609
656;726
658;3677
658;2687
659;998
659;3307
659;3309
659;3142
659;2330
659;2345
659;3128
659;4023
659;4374
663;1349
664;1334
664;4270
666;4146
666;680
667;3727
673;3646
675;2327
675;1184
676;3277
681;1816
681;2885
682;2897
684;896
684;2626
689;1101
690;3277
693;2314
694;4161
695;3344
696;787
696;3435
696;2869
696;1126
696;2450
696;3896
696;2865
696;3021
696;3646
700;4321
700;1449
701;1554
702;3155
705;3610
705;2148
707;1690
711;3819
714;1239
714;1338
715;1758
722;2218
726;3708
728;1770
728;898
729;3993
729;3060
730;3991
730;747
730;3084
730;2447
730;1804
734;4374
736;1765
737;1643
737;1289
740;1588
740;3655
740;2437
740;3221
741;3412
741;3243
742;2229
743;3919
743;2544
749;2858
751;4095
751;4225
752;1000
756;1510
760;888
762;2173
762;2782
774;2442
774;1192
778;3617
780;948
780;841
782;2141
782;3127
784;4310
784;1333
784;840
785;1481
788;3700
790;2675
790;4160
793;2440
799;1302
799;3115
800;3019
801;3298
805;1419
805;3075
807;2289
807;1636
809;1076
809;3823
810;1534
810;967
810;2895
810;4296
810;2052
810;3232
810;2881
810;1162
811;1441
811;1111
812;3221
812;1854
812;3606
812;2729
812;3911
812;1114
812;1533
812;4300
812;2758
812;3297
815;1646
815;4354
816;2097
819;2099
819;4295
822;3327
822;1603
823;1176
823;1891
825;2169
829;1144
829;2272
830;2056
830;3700
831;3155
832;2198
832;3979
837;1017
837;2213
838;3501
838;2591
839;2727
839;849
841;3269
847;3538
847;4050
850;1107
850;1816
852;2703
852;4093
853;3845
853;3380
854;2306
855;1853
855;4278
855;3568
855;1003
868;1132
868;2637
868;2877
868;4271
868;3031
868;3002
868;1719
868;2858
871;1003
877;1864
878;1131
882;3293
885;2312
885;3007
888;2832
888;2108
890;3709
890;4230
890;3618
895;4161
896;1614
897;1861
897;3804
898;1868
901;1674
901;1881
903;1414
907;3646
908;2222
908;2673
910;2510
910;4170
912;3198
912;3065
914;1606
914;1238
916;1864
916;1717
916;4098
916;3147
916;1035
918;3268
922;3617
924;1749
924;937
925;1873
925;2293
926;4348
926;3892
928;3309
929;4377
929;1461
934;3483
