id;x;y;z
2;535020.3;6005851.37;301.78
2054;535077.73;6005873.12;315.5
4104;535014.43;6005819.54;302.56
2057;535011.2;6005890.57;302.26
13;535006.34;6005875.43;301.82
4109;535023.52;6005854.35;362.81
15;535071.72;6005858.37;304.48
18;535081.13;6005894.58;258.35
4115;535028.5;6005841.45;303.03
4119;535023.81;6005912.8;302.49
4124;535025.93;6005860.21;362.91
2079;535216.43;6005994.63;249.47
33;535018.52;6005902.73;302.44
4131;535060.34;6005858.45;304.25
2086;535028.37;6005840.18;309.44
40;535015.46;6005891.78;302.36
41;535062.55;6005859.17;304.37
43;535008.69;6005810.8;302.76
2093;535068.89;6005862.49;303.72
45;535015.71;6005822.19;302.39
2095;535025.73;6005834.41;305.6
4143;535019.43;6005902.5;302.55
2100;535298.36;6006139.69;250.27
54;535024.83;6005833.47;303.16
64;535263.41;6006191.84;248.47
2115;535019.51;6005902.44;302.15
2116;535411.53;6006261.77;247.47
4169;535063.64;6005899.33;356.83
74;535015.38;6005891.68;302.31
81;535068.83;6005855.47;304.31
2132;535077.68;6005873.7;315.53
4186;535271.09;6006210.09;247.47
2142;535063.75;6005898.66;368.87
97;535018.81;6005824.82;306.39
2147;535074.98;6005880.24;257.35
4199;535064.86;6005870.18;297.24
2153;535207.51;6005945.69;251.47
2156;535028.67;6005839.13;301.56
4205;535062.67;6005892.32;318.71
4204;535063.61;6005899.37;362.34
112;535039.61;6005844.74;301.71
4210;535021.16;6005843.93;355.56
4214;535025.43;6005916.15;302.59
4216;535065.36;6005861.69;303.29
2170;535077.05;6005869.74;315.16
4219;535015.21;6005892.25;302.33
124;535011.15;6005814.05;303.57
2172;535024.73;6005833.44;303.01
4222;535064.78;6005900.66;363.35
2175;535012.17;6005859.43;301.55
4226;535022.12;6005846.88;355.73
4228;535066.34;6005872.67;258.17
132;535394.84;6006266.36;247.47
2182;535065.64;6005901.25;341.99
4231;535063.93;6005860.5;303.92
2188;535020.28;6005842.8;356.87
141;535061.91;6005868.98;293.96
4244;535025.15;6005834.72;305.54
149;535025.32;6005834.2;303.82
2197;535022.35;6005849.35;357.43
2199;535004.24;6005875.99;301.76
4247;535348.79;6006269.35;246.47
153;535024.12;6005898.84;302.32
2207;535018.76;6005823.9;304.25
160;535065.12;6005870.03;296.54
164;535024.2;6005837.96;302.91
168;535065.91;6005868.94;301.38
169;535025.34;6005834.6;305.54
2217;535063.86;6005896.49;321.85
171;535066.4;6005901.94;341.38
4274;535074.85;6005886.08;257.51
2226;535063.48;6005900.02;364.35
4286;535019.88;6005852.12;301.76
196;535003.59;6005863.19;301.66
2247;535021.21;6005846.86;357.78
4297;535071.89;6005879.59;259.31
2250;535015.29;6005819.41;305.03
2252;535064.36;6005902.19;355.18
208;535064.03;6005900.02;357.2
209;535209.3;6005955.48;250.47
2260;535100.77;6005911.14;257.47
4309;535072.29;6005879.99;257.5
4308;535019.84;6005827.64;302.98
2266;535385.23;6006268.98;248.37
2267;535031.23;6005841.51;311.44
221;535063.93;6005899.33;368.92
2270;535066.02;6005901.6;341.68
4320;535024.47;6005833.57;302.9
225;535018.27;6005824.32;305.14
2275;535078.04;6005873.6;315.52
2277;535015.03;6005819.42;303.95
4330;535059.53;6005856.08;304.15
234;535314.31;6006111.44;250.27
2287;535287.58;6006095.91;248.37
240;535019.5;6005839.95;301.65
242;535290.27;6006251.53;247.07
4339;535016.82;6005820.82;302.83
4341;535064.51;6005900.68;354.6
2294;535020.59;6005844.42;357.83
4342;535015.32;6005827.64;361.93
4345;535074.56;6005888.23;318.13
4346;535027.77;6005840.43;301.73
251;535051.39;6005850.87;303.81
2300;535025.57;6005839.93;301.54
4350;535079.09;6005876.38;315.17
263;535072.45;6005887.18;318.25
4361;535021.49;6005845.26;355.77
2317;535024.16;6005913.46;302.5
270;535069.63;6005895.28;257.47
4366;535076.75;6005868.49;315.08
4368;535078.97;6005882.68;319.09
2318;535213.79;6005984.98;249.47
4369;535305.76;6006093.36;249.97
2321;535296.56;6006129.86;250.27
4372;535062.14;6005891.9;319.05
277;535060.12;6005855.72;304.29
2325;535220.94;6006024.22;247.97
2331;535070.97;6005877.37;259.14
2334;535019.44;6005893.02;303.25
2337;535006.92;6005881.43;301.89
299;535066.0;6005872.12;257.97
305;535220.01;6006014.29;248.77
307;535023.71;6005834.28;303.04
2362;535296.51;6006119.85;250.27
319;535070.61;6005858.76;304.58
323;535031.29;6005843.65;311.45
2374;535278.48;6006227.66;247.97
329;535066.09;6005899.63;322.02
335;535056.91;6005850.06;303.95
336;535025.45;6005907.99;302.57
340;535028.66;6005839.12;301.55
2389;535028.67;6005838.88;302.81
2390;535074.65;6005888.57;319.55
2393;535023.18;6005853.22;362.74
2394;535020.37;6005840.23;354.76
348;535018.18;6005833.11;354.5
2405;535080.12;6005885.1;316.94
361;535066.55;6005902.76;341.74
2415;535076.21;6005869.46;315.14
2419;535065.89;6005901.88;346.61
373;535021.71;6005846.25;355.62
2421;535032.19;6005922.53;302.61
375;535004.38;6005875.93;302.2
2427;535331.09;6006270.22;247.07
392;535073.75;6005881.93;277.07
394;535022.62;6005852.23;362.72
2444;535022.97;6005909.11;302.29
2446;535064.14;6005875.44;293.78
402;535064.35;6005899.32;363.69
409;535011.2;6005814.31;302.88
412;535032.05;6005845.38;311.4
2462;535079.28;6005878.4;316.95
2464;535022.61;6005839.49;339.25
2470;535063.5;6005899.62;361.02
431;535004.15;6005875.92;301.83
444;535065.02;6005901.52;335.85
2502;535060.94;6005866.68;259.2
455;535024.38;6005834.48;302.98
2512;535021.44;6005862.64;301.79
470;535068.67;6005871.32;273.45
471;535068.6;6005862.78;303.49
2519;535018.79;6005845.23;301.62
2522;535061.59;6005862.89;278.26
475;535064.22;6005898.81;335.39
2527;535066.18;6005870.67;258.6
2528;535023.84;6005835.52;303.04
2533;535150.0;6005897.96;257.47
494;535018.39;6005852.24;301.6
496;535079.54;6005876.32;316.03
499;535066.15;6005869.94;294.25
2551;535023.2;6005843.37;301.63
507;535022.19;6005828.56;307.54
2556;535021.82;6005827.34;302.76
509;535027.51;6005845.05;336.31
2562;535282.97;6006188.28;248.07
516;535078.17;6005890.22;257.91
517;535015.28;6005818.59;306.96
520;535077.93;6005873.61;314.4
2578;535448.13;6006257.87;248.17
2581;535061.63;6005892.38;318.7
537;535010.23;6005857.51;301.48
540;535061.65;6005855.21;301.57
2592;535021.3;6005829.21;302.87
548;535071.75;6005859.77;304.94
2596;535072.26;6005886.32;319.15
2599;535019.07;6005824.62;305.71
2608;535079.27;6005876.39;319.42
2612;535075.17;6005865.44;305.06
2618;535024.34;6005916.89;302.61
2627;535079.65;6005878.56;317.01
581;535077.53;6005873.46;317.96
585;535020.98;6005846.29;358.21
591;535013.91;6005817.63;305.13
2645;535076.71;6005880.22;316.31
2646;535076.91;6005866.44;315.66
604;535062.29;6005864.08;276.73
606;535025.51;6005834.34;303.88
2655;535023.33;6005830.37;310.42
2654;535458.09;6006258.68;248.17
2657;535223.58;6006033.86;247.47
612;535026.69;6005913.09;302.67
2662;535261.91;6006065.65;245.57
617;535023.09;6005851.89;359.76
2676;535013.56;6005818.15;303.43
631;535028.87;6005903.72;302.49
2681;535022.25;6005846.87;355.02
635;535023.74;6005912.82;302.32
638;535063.59;6005898.9;363.36
2691;535181.84;6005922.21;254.47
2699;535230.69;6006040.88;247.17
654;535014.09;6005818.98;305.68
660;535031.5;6005922.72;302.73
2717;535067.1;6005900.12;322.61
687;535029.63;6005843.53;311.26
688;535024.87;6005833.89;309.56
2751;535069.6;6005874.88;259.33
704;535062.44;6005860.21;303.51
2752;535025.67;6005835.24;306.2
2757;535074.48;6005867.11;305.34
2760;535079.11;6005876.23;318.62
717;535028.67;6005839.08;301.56
2766;535032.14;6005839.6;303.11
2768;535023.72;6005835.48;303.09
2770;535031.24;6005841.45;303.01
723;535051.89;6005849.2;304.11
724;535018.23;6005824.29;304.04
727;535218.22;6006004.47;249.17
2777;535078.99;6005877.08;316.49
733;535061.39;6005873.18;294.13
738;535420.9;6006258.31;247.17
2787;535063.61;6005898.44;357.21
2793;535005.33;6005871.15;301.84
2797;535037.48;6005841.05;303.27
2807;535063.32;6005899.45;359.47
761;535019.41;6005899.48;302.38
765;535020.85;6005839.4;353.15
767;535066.12;6005901.59;335.64
2822;535073.72;6005866.1;304.6
2823;535016.58;6005821.38;304.54
779;535065.03;6005870.08;297.73
2831;535003.54;6005863.11;301.48
2833;535048.14;6005848.82;303.51
2837;535023.07;6005830.09;305.76
792;535061.85;6005891.84;318.57
808;535024.73;6005834.89;306.65
813;535056.27;6005879.48;300.11
817;535063.21;6005863.82;301.91
2870;535179.37;6005941.82;252.47
824;535023.61;6005854.45;362.8
2883;535031.91;6005845.47;311.58
842;535281.19;6006247.37;246.67
2891;535016.17;6005890.94;302.71
844;535079.0;6005882.82;316.57
2894;535302.61;6006148.68;249.17
848;535064.29;6005901.71;355.35
2898;535072.51;6005885.99;317.57
856;535073.08;6005862.85;304.53
