from_id;to_id
42;87
21;79
87;22
22;10
10;46
46;97
97;102
102;33
33;8
8;11
11;4
11;14
4;60
60;73
73;65
65;94
94;27
27;16
27;39
16;41
41;13
13;95
13;89
95;96
96;34
34;90
90;29
90;20
29;15
15;85
85;18
18;77
77;36
36;28
28;3
28;56
3;1
3;93
1;78
78;64
64;24
24;23
23;71
71;80
80;83
83;101
101;72
72;81
72;68
81;44
68;74
44;51
74;47
47;61
61;32
32;7
7;75
7;70
75;54
54;6
6;59
59;53
53;84
84;25
25;30
30;86
86;98
98;2
2;91
2;52
91;12
91;88
91;49
52;50
52;62
12;0
0;43
43;45
45;55
45;38
55;57
55;37
38;66
57;100
37;63
100;79
51;48
48;9
63;82
82;26
82;31
26;17
31;40
40;5
66;92
66;19
19;35
35;76
76;99
76;67
62;69
