id;cswidth;csheight
57;14.16;6.3
59;6.1;2.98
36;7.78;7.44
53;2.78;5.73
47;10.34;7.94
81;4.69;3.68
43;7.43;5.45
75;2.93;11.06
14;6.2;11.6
76;4.0;4.0
8;15.72;10.08
61;5.66;15.79
16;4.24;11.03
35;5.21;10.69
62;1.21;2.69
95;2.61;2.61
32;16.9;6.8
51;0.53;1.07
7;16.86;20.57
60;7.57;7.57
30;4.76;3.93
11;4.95;2.19
86;5.89;8.29
70;3.15;3.15
98;1.08;4.0
2;0.49;6.35
39;1.02;0.66
9;9.03;1.88
63;7.25;1.77
90;5.61;1.76
5;3.28;3.28
52;3.57;3.57
48;8.41;1.75
84;9.12;1.68
13;9.39;1.65
93;10.24;1.52
22;10.46;1.82
69;9.49;1.76
77;5.04;1.86
94;6.34;2.1
67;7.22;1.75
0;6.7;9.42
20;6.03;6.03
56;11.1;9.46
21;9.05;14.54
46;3.25;4.61
55;24.66;11.11
37;16.22;11.13
54;6.63;6.63
17;9.17;17.65
85;20.26;10.91
18;9.26;11.46
44;4.57;14.71
24;18.25;13.74
97;4.17;18.3
88;2.29;12.36
23;3.91;9.25
96;11.61;12.46
42;3.44;3.44
40;2.77;2.77
79;2.79;2.79
99;5.14;1.63
33;8.32;3.01
89;10.0;2.75
100;3.77;2.25
101;0.26;1.56
58;1.27;1.78
1;9.27;1.91
71;5.77;5.77
78;20.24;12.78
