id;x;y;z
42;492868.12;6026005.72;424.94
21;492858.14;6025999.21;418.92
87;492871.3;6026000.89;422.4
22;492875.22;6025995.2;419.5
10;492874.2;6025992.38;418.55
46;492879.17;6025990.53;419.56
97;492884.34;6025986.82;422.73
102;492884.7;6025985.74;421.36
33;492886.91;6025983.2;416.72
8;492887.9;6025980.4;414.22
11;492886.28;6025976.37;410.4
4;492888.92;6025974.37;411.94
14;492881.89;6025981.47;405.59
60;492892.24;6025972.91;410.09
73;492890.54;6025975.0;409.39
65;492889.55;6025979.31;406.2
94;492887.23;6025982.03;402.91
27;492885.19;6025985.69;404.51
16;492885.43;6025989.54;404.13
39;492890.49;6025989.97;403.64
41;492883.82;6025994.52;402.43
13;492877.92;6026007.36;398.65
95;492880.27;6026009.56;397.95
89;492873.33;6025995.18;399.29
96;492880.85;6026014.7;398.18
34;492882.37;6026019.2;397.37
90;492878.78;6026021.73;392.33
29;492873.27;6026027.67;384.37
20;492871.87;6026029.86;394.43
15;492873.72;6026027.69;383.79
85;492873.12;6026027.96;379.12
18;492868.09;6026034.19;379.82
77;492861.67;6026035.73;379.84
36;492850.72;6026042.05;380.14
28;492846.23;6026044.36;380.14
3;492840.54;6026041.42;380.58
56;492840.34;6026046.43;380.5
1;492837.33;6026041.64;379.84
93;492844.01;6026037.74;386.07
78;492829.04;6026040.43;379.81
64;492819.61;6026029.19;380.33
24;492812.66;6026022.94;380.68
23;492804.88;6026016.35;380.52
71;492799.51;6026009.73;380.93
80;492793.02;6026001.27;380.73
83;492789.33;6025998.1;381.25
101;492786.36;6025993.41;381.26
72;492783.3;6025990.31;381.53
81;492779.35;6025991.35;381.76
68;492783.29;6025990.45;381.55
44;492776.09;6025997.52;382.82
74;492781.02;6025983.87;375.79
47;492776.6;6025983.55;370.97
61;492785.32;6025979.83;368.62
32;492794.82;6025971.77;370.72
7;492797.95;6025964.33;365.43
75;492802.15;6025962.77;374.88
70;492800.19;6025959.83;362.39
54;492810.35;6025960.88;381.0
6;492813.43;6025954.66;384.56
59;492819.7;6025950.82;394.77
53;492825.43;6025944.2;399.26
84;492833.31;6025940.66;404.91
25;492835.43;6025940.75;414.52
30;492838.49;6025939.47;420.42
86;492839.91;6025939.51;420.22
98;492835.47;6025943.98;421.45
2;492832.8;6025946.37;419.93
91;492838.17;6025948.51;419.35
52;492828.9;6025947.83;420.68
12;492844.73;6025950.25;420.02
88;492844.13;6025938.31;420.6
49;492833.13;6025954.96;420.3
0;492844.93;6025961.79;420.16
43;492850.29;6025961.4;419.41
45;492857.96;6025961.65;419.41
55;492858.34;6025971.82;419.39
38;492854.26;6025947.99;419.91
57;492856.37;6025978.01;419.36
37;492855.52;6025969.63;421.53
100;492857.15;6025980.7;419.47
79;492857.89;6025994.46;418.92
51;492775.51;6026005.31;381.91
48;492771.89;6026007.99;382.12
9;492772.02;6026010.61;381.6
63;492857.64;6025966.9;424.14
82;492859.75;6025964.19;426.21
26;492858.41;6025962.98;428.08
31;492862.57;6025968.06;428.65
17;492849.6;6025964.88;428.84
40;492862.61;6025968.48;428.76
5;492856.62;6025976.47;421.24
66;492855.97;6025922.62;419.91
92;492857.56;6025915.03;421.28
19;492844.26;6025921.83;419.97
35;492836.03;6025920.26;420.45
76;492835.36;6025914.16;421.66
99;492839.55;6025910.33;424.02
67;492830.2;6025923.35;421.13
50;492817.52;6025944.33;420.87
62;492828.65;6025952.6;420.73
69;492818.2;6025963.23;420.28
