id;x;y;z
57;328023.71;499032.91;419.23
57;328017.64;499042.83;425.22
57;328017.09;499042.27;425.1
57;328018.41;499040.99;425.09
57;328020.38;499039.95;424.37
57;328017.58;499042.61;424.05
57;328024.96;499031.81;420.93
57;328026.56;499032.55;423.81
57;328026.47;499032.77;427.01
57;328022.83;499034.42;419.19
57;328020.12;499038.23;422.43
57;328020.15;499038.19;422.41
57;328020.08;499038.23;422.45
59;328020.37;499038.38;422.4
59;328023.27;499033.32;419.85
59;328021.01;499039.02;422.16
59;328020.83;499038.84;420.9
59;328019.71;499038.22;421.03
59;328026.19;499034.66;422.51
59;328020.92;499036.65;422.41
59;328021.53;499034.89;421.47
36;328027.82;499026.72;416.61
36;328024.72;499031.36;421.17
36;328024.74;499031.31;424.32
36;328025.3;499034.21;420.59
36;328022.33;499033.03;420.13
36;328022.63;499031.22;419.81
53;328023.98;499030.83;418.6
53;328024.47;499030.55;423.38
53;328022.8;499029.8;417.06
53;328023.97;499030.19;417.08
53;328022.59;499031.31;419.8
53;328025.53;499029.55;422.21
47;328027.46;499027.2;419.61
47;328027.45;499027.02;418.45
47;328028.14;499027.8;418.33
47;328028.04;499027.73;421.17
47;328027.99;499027.28;422.48
47;328035.33;499020.6;428.05
47;328029.35;499025.84;424.09
81;328032.38;499023.59;422.84
81;328032.61;499023.24;424.27
81;328033.12;499024.21;423.38
81;328032.1;499025.48;422.86
81;328032.73;499023.95;421.29
81;328032.06;499023.53;421.48
81;328033.66;499022.76;426.36
81;328033.3;499024.3;429.12
81;328033.24;499021.69;422.32
81;328034.47;499021.09;421.47
43;328032.68;499022.28;421.32
43;328032.92;499022.3;420.69
43;328033.41;499022.7;420.2
43;328034.05;499022.74;422.32
43;328035.43;499020.52;425.55
43;328038.96;499017.98;425.0
43;328037.55;499018.24;420.57
43;328036.73;499019.37;419.98
43;328037.93;499017.44;420.29
75;328034.82;499019.94;416.79
75;328035.08;499019.87;417.65
75;328035.67;499019.75;420.23
75;328035.86;499020.46;418.15
75;328036.61;499019.9;425.21
75;328035.2;499020.25;415.27
75;328034.59;499019.85;415.27
75;328036.57;499017.21;413.96
14;328038.63;499016.73;422.6
14;328035.61;499017.0;414.35
14;328035.64;499016.96;414.35
14;328035.22;499017.02;413.14
14;328036.0;499017.44;412.88
14;328037.51;499018.4;419.86
14;328037.39;499018.39;422.14
14;328036.24;499017.44;416.92
14;328036.1;499015.39;412.34
14;328034.03;499012.39;410.87
14;328035.31;499015.67;412.02
76;328035.56;499014.72;410.36
76;328035.18;499014.56;408.85
76;328034.53;499013.61;408.9
76;328034.18;499016.58;410.2
76;328033.47;499016.72;409.06
76;328037.58;499014.62;415.48
76;328036.12;499014.52;411.76
76;328035.51;499013.9;412.64
76;328041.32;499013.52;422.05
76;328032.62;499017.66;408.54
8;328041.07;499014.14;421.95
8;328038.04;499011.9;411.88
8;328038.69;499012.68;414.13
8;328040.77;499014.37;420.16
8;328042.16;499011.62;419.6
8;328038.11;499014.21;415.24
8;328037.65;499011.16;408.96
8;328037.23;499011.09;408.82
8;328037.78;499011.67;410.82
8;328037.29;499011.28;410.65
8;328049.55;499002.02;407.92
8;328043.8;499005.79;410.56
61;328039.86;499007.8;409.98
61;328043.97;499009.18;421.8
61;328041.3;499013.34;419.86
61;328039.86;499007.24;406.14
61;328039.67;499014.53;421.01
61;328039.32;499012.27;413.21
61;328040.33;499010.22;408.98
61;328038.89;499010.13;409.02
