from_id;to_id
227;46
46;141
141;45
45;224
224;40
40;213
213;212
213;120
212;230
120;142
230;211
230;174
174;102
102;21
102;231
21;223
231;160
223;167
160;76
76;38
38;127
127;217
217;81
81;195
195;53
195;155
155;51
51;226
226;74
74;161
74;157
74;172
172;91
91;169
91;158
158;63
63;12
12;114
12;130
130;132
142;14
142;221
132;97
97;89
89;196
196;56
14;171
221;222
171;233
222;200
200;103
103;184
184;24
24;177
177;95
177;116
177;128
128;34
34;197
197;62
62;143
143;214
214;202
202;30
30;129
129;35
35;86
86;79
79;218
56;148
148;228
228;215
228;205
205;106
205;140
140;59
59;181
59;126
181;0
99;29
29;36
36;80
80;112
112;232
232;18
18;117
117;73
73;193
193;219
219;168
168;121
121;15
121;44
44;113
113;90
90;78
78;194
194;136
136;11
11;198
198;156
156;84
156;110
84;188
110;1
188;137
137;178
137;164
178;49
164;87
87;191
191;37
37;54
54;16
16;6
6;31
31;216
216;71
71;57
57;124
124;23
23;187
187;85
85;144
144;131
131;52
52;8
8;123
123;67
67;118
118;162
162;179
179;153
153;190
190;64
64;107
107;22
22;225
225;100
100;10
10;145
145;173
173;206
206;68
68;77
77;203
77;82
77;147
82;180
147;150
1;152
152;209
209;125
125;208
180;7
7;104
104;133
133;165
165;146
146;42
42;75
75;48
48;47
48;92
92;163
163;2
2;17
17;27
27;134
134;55
55;9
9;105
105;26
150;3
3;28
28;135
135;229
135;13
13;39
39;201
201;151
151;220
220;98
98;154
154;138
154;65
65;33
33;170
170;207
207;66
66;101
101;119
119;109
109;96
96;199
199;41
41;185
185;122
122;32
32;72
72;50
50;111
111;94
94;61
61;4
4;186
186;70
70;175
175;176
176;204
204;189
189;88
88;108
108;69
69;93
93;115
115;159
159;43
43;183
183;5
5;192
192;19
19;149
149;58
58;83
83;166
166;60
60;182
182;25
