from_id;to_id
3224;1666
3224;2243
3224;2055
3224;3788
1666;2089
2243;4796
2055;221
2089;4567
2270;4555
2270;4650
4555;437
437;523
523;917
917;207
917;200
207;1039
1039;3065
2325;3065
250;2405
250;662
250;1502
250;1232
250;2192
250;4152
250;3493
250;1735
250;4124
250;1327
250;315
2405;4976
2405;2330
2405;5263
2405;5068
2405;1881
662;3518
662;2469
662;2379
662;2510
662;3832
662;4177
662;2694
662;2416
662;3992
1502;341
1502;4607
1502;299
1502;4543
1502;3875
1502;4399
4976;843
4976;23
4976;1216
4976;2487
4976;5038
4976;116
843;4643
843;2357
843;1753
843;3334
843;5134
843;5178
843;2299
843;4325
843;3891
4643;712
4643;1918
4643;1188
4643;1702
4643;2921
712;5182
712;4565
712;2178
712;4847
712;2742
2531;5358
2531;4548
2531;3227
2531;349
2531;1998
3518;4403
3518;941
3518;2110
3518;4622
3518;359
3518;4375
4403;1174
4403;4272
4403;4639
4403;3860
4403;1740
1174;5146
1174;2851
1174;2874
1174;3639
5146;2827
5146;1638
5146;3298
5146;3256
5146;3637
5146;4894
2827;957
2827;4204
2827;729
2827;4297
957;1820
957;2536
957;724
957;2532
957;1802
1820;1209
1820;3292
1820;2489
1820;1640
1820;4136
1820;2567
1209;1509
1209;2740
1209;2363
1209;3912
1209;1356
1209;2461
1509;2387
1509;2306
1509;2039
3511;3670
3670;3117
3670;278
3670;4134
3670;1420
3117;182
3117;3977
3117;4229
3117;2362
182;1292
182;4666
182;1621
182;645
1292;94
1292;3210
1292;2020
1292;3612
1292;995
94;4198
94;4674
94;818
94;2684
4198;1047
4198;2705
4198;3208
4198;614
1047;2844
1047;3955
1047;817
1047;5236
2844;3608
2844;4638
2844;1870
2844;4872
2844;1792
3608;567
3608;4264
3608;1506
3608;3548
567;2484
567;3847
567;2722
567;4015
567;4860
2484;1146
2484;2988
2484;2634
2484;663
1146;748
1146;848
1146;3532
1146;3831
1146;2541
748;771
748;1693
748;4219
748;5017
771;194
771;2177
771;4503
771;1293
771;3834
194;2490
194;522
194;3740
194;2108
194;4169
2490;2016
2490;2815
2490;3279
2490;4073
2016;4701
2016;180
2016;2749
2016;112
2016;5272
2016;3049
2016;1813
2016;1747
2016;5057
2016;5368
2016;2898
4701;687
4701;2590
4701;1996
4701;3940
687;5284
687;732
687;4258
687;611
687;735
687;3764
5284;3667
5284;2477
361;942
361;5153
361;982
361;4500
361;5253
361;3605
361;2144
942;1231
942;5161
942;676
942;4566
942;2086
5153;2128
5153;5080
5153;2641
5153;4611
5153;4689
5153;5364
982;4194
982;143
982;1096
1231;2256
1231;721
1231;4484
1231;1622
1231;2713
1231;2015
1231;1446
1231;3346
1231;4401
1231;882
1231;1536
1231;697
1231;2983
1231;141
1231;5404
1231;4471
1231;4078
1231;3472
1231;2960
5161;3250
5161;2743
5161;3205
5161;5278
2128;2359
2128;3662
2128;4521
2128;2856
2128;679
2359;3036
2359;2413
2359;2813
2359;332
2359;1937
3036;623
3036;4996
3036;4141
3036;5135
623;275
623;4518
623;4602
623;3721
275;341
275;3097
275;2554
275;1624
275;1567
275;503
275;2582
275;4979
341;144
341;1668
341;2322
2256;3139
2256;2475
2256;203
2256;3784
2256;3567
721;1569
721;439
721;5209
721;5415
4484;719
4484;703
4484;1298
4484;236
4484;2291
4484;4536
3139;1613
3139;2076
3139;2965
3139;891
3139;276
1613;2662
2662;2388
2662;3615
2662;4400
2662;3160
2388;2071
2388;1414
2388;4100
2388;1286
2071;2821
2071;2265
2071;2621
2071;4636
2071;613
2821;4161
2821;1002
2821;4807
2821;1845
2821;2068
4161;1626
4161;2872
4161;4210
4161;156
4161;5280
1626;5182
1626;4139
1626;1680
1626;120
1626;3416
1626;5413
1626;1130
1626;260
1626;5279
1626;1339
5182;1101
5182;259
5182;2720
5182;2301
3783;910
3783;1806
3783;3380
3783;4892
3783;2563
3783;715
3783;831
3783;4991
910;743
910;324
910;4388
1806;5004
1806;5090
1806;1966
1806;3640
1806;2092
1806;4282
1806;1960
3380;1288
3380;1348
3380;788
3380;874
3380;1714
3380;3632
743;4458
743;1932
743;4053
743;1484
743;134
743;1247
743;578
4458;2589
4458;2434
4458;5140
4458;2147
2589;2639
2589;5
2589;1043
2589;3368
2639;1569
2639;2970
2639;5356
2639;4473
2639;3406
2639;4101
2639;1343
2639;4420
2639;5142
1569;872
1569;1853
1569;2654
5004;3245
5004;2483
5004;459
5004;5007
5004;64
5004;3714
3245;3250
3245;3370
3245;189
3245;1783
3245;1808
3250;3262
3250;1936
3250;3768
3250;3642
3250;1361
3250;2175
3250;4584
1288;2236
1288;1316
1288;360
1288;1032
1288;1815
2236;779
2236;4827
779;2332
779;391
779;1721
779;577
779;4844
779;2674
779;541
779;5077
779;3403
779;2951
779;3948
779;3408
2348;1594
4827;3099
4827;469
4827;1040
4827;749
4827;4707
4827;3253
4827;479
541;2463
541;5305
541;2702
541;5015
541;3979
1594;1208
1594;4267
1594;2644
1594;3300
4194;719
4194;5358
4194;747
4194;2142
4194;3379
4194;4369
4194;4137
4194;5400
719;1417
719;3153
719;195
5358;4404
5358;1360
5358;4887
5358;3962
1071;1556
1071;2221
1071;4009
1071;1588
1071;4626
1071;4014
1071;4989
1071;1181
1071;4806
1071;3417
1071;3312
1071;269
1071;345
1071;867
1071;3051
1071;2504
1071;2873
1071;1055
1071;5067
1071;1005
1071;1511
1556;5129
1556;4422
1556;3181
1556;3150
1556;3597
1556;4719
1556;5290
1556;3777
2221;4288
2221;4383
2221;3071
2221;2910
4009;1644
4009;1059
4009;5242
4009;292
4009;3941
1511;4974
1511;883
1511;3341
1511;5335
1511;3528
1511;3308
1511;1664
1511;4381
1511;3162
1511;1254
1511;4632
1511;2146
1511;2038
1511;1916
1511;3539
1511;4750
1511;3329
1511;4790
1511;381
5129;3604
5129;1904
5129;3273
5129;3641
5129;4857
5129;2480
5129;1859
5129;5227
3604;1689
3604;4131
3604;3866
3604;3858
3604;4601
3604;5323
3604;1009
1689;1687
1689;1237
1689;1394
1689;2923
1689;1882
1687;2994
1687;2135
1687;5130
1687;3015
1687;2918
1687;2073
2994;4517
2994;4936
2994;3629
2994;394
2994;3517
2994;3218
2994;3116
2994;1245
2994;832
2994;1991
2994;4295
2994;5298
2994;4747
2994;3733
2994;5171
4517;1112
4517;859
4517;2386
4517;3315
1112;312
1112;1257
1112;2166
1112;2298
312;2378
312;1967
312;4212
312;5262
312;3645
312;4502
312;2925
312;949
312;2915
312;4569
312;2852
312;2126
312;3952
312;1067
312;5132
312;3377
312;2935
312;1342
312;3088
312;2041
312;3966
312;965
312;304
312;5216
312;4781
312;1480
312;3841
312;1465
312;357
312;5325
312;3126
312;4256
312;74
312;4244
2378;1155
2378;3145
2378;3607
2378;2447
2378;1694
2378;2796
2378;864
2378;1406
2378;4653
2378;2279
2378;2131
2378;3142
2378;2912
2378;1743
4256;2206
4256;358
4256;1672
4256;1445
4256;628
4256;3070
4256;368
4256;3141
4256;2404
4256;1679
4256;652
4256;2632
4256;2568
1155;5095
1155;4881
1155;3902
1155;3664
1155;3911
1155;1956
1155;1087
1155;918
1155;2802
1155;352
1155;255
1155;3707
1155;2555
1155;4759
5095;516
5095;4764
5095;970
5095;4676
5095;209
5095;525
5095;496
5095;2991
5095;3465
5095;5162
5095;4962
5095;2748
5095;1773
5095;1529
5095;4956
5095;1471
5095;4907
5095;3509
5095;1454
5095;3083
5095;5110
5095;1608
5095;4071
5095;4784
5095;1615
5095;2948
5095;3926
5095;2225
5095;1173
5095;3372
5095;2659
5095;1942
5095;2373
5095;3340
5095;99
5095;3795
5095;3710
5095;1574
516;7
516;4372
516;4554
516;5100
516;3393
516;2764
516;5231
516;4290
7;4406
7;1390
7;1568
7;4266
7;722
7;1927
7;3357
7;4353
7;5243
7;2746
4406;899
4406;4216
4406;4967
4406;530
4406;1900
4406;489
4406;968
4406;4711
4406;2200
4406;1061
4406;372
4406;228
899;4520
899;593
899;1940
899;1079
899;1760
899;468
899;1696
899;1847
899;2037
899;906
899;885
899;608
899;4732
4520;4705
4520;1278
4520;3748
4520;2346
4520;4929
4520;2184
4520;4287
4520;3323
4520;2576
4520;464
4705;4634
4705;841
4705;2120
4705;4093
4705;994
4705;643
4705;3945
4705;1910
4705;2870
4705;857
4705;4946
4705;1282
4705;4694
4634;2194
4634;4033
4634;2595
4634;3950
4634;1951
4634;1273
4634;1879
4634;1602
4634;804
4634;3985
4634;2123
4634;1827
4634;420
4634;1269
4634;4305
4634;4957
2194;71
2194;78
2194;2544
2194;4598
2194;2946
2194;4761
2194;5319
2194;3859
2194;1270
2194;3897
2194;1892
2194;3185
71;261
71;3738
71;4482
71;5056
71;1955
71;2217
71;3780
71;1234
71;4882
71;1110
71;3882
71;4606
71;4499
261;4414
261;559
261;5160
261;2029
261;2145
261;2047
261;3277
261;4821
261;5075
261;5145
261;1525
261;2383
261;4874
261;905
261;2585
261;1057
261;3248
261;734
261;1698
261;4823
261;2088
261;4964
4414;5299
4414;1697
4414;3833
4414;762
4414;3644
4414;4045
4414;266
4414;2324
4414;1745
4414;805
5299;1272
5299;3861
5299;2835
5299;2372
5299;3048
5299;3653
5299;3076
5299;2407
5299;5378
5299;816
1272;1311
1272;822
1272;1978
1272;1580
1272;2448
1272;3392
1272;331
1272;4657
1311;3249
1311;4595
1311;3741
1311;5294
1311;3347
1311;3633
1311;4820
1311;2059
3249;1331
3249;401
3249;418
3249;3560
3249;4914
3249;1192
3249;3646
1331;1131
1331;2895
1331;581
1331;2031
1331;964
1331;598
1331;3211
1331;4018
1331;5069
1331;2860
1331;5049
1131;5059
1131;519
1131;4106
1131;2488
1131;1488
1131;3781
1131;2859
1131;3063
1131;2506
1131;327
1131;5333
1131;631
1131;2159
1131;4780
1131;668
5059;3787
5059;3172
5059;925
5059;5234
5059;5264
5059;441
5059;4080
5059;1959
5059;1868
5059;1822
5059;1429
5059;4090
5059;2079
5059;1419
3787;3246
3787;4723
3787;1186
3787;2138
3787;3171
3787;57
3787;4507
3787;546
3787;794
3787;2971
3787;5098
3787;2134
3246;3791
3246;2505
3246;775
3246;1287
3246;3504
3246;1366
3246;4358
3246;3825
3246;3821
3246;2282
3246;536
3246;3618
3246;201
3246;2193
3246;5261
3246;2196
3246;4042
3246;4867
3246;2234
3246;1709
3246;2241
3246;3415
3246;3541
3791;3512
3541;1124
3541;695
3541;2302
3541;2328
3541;1459
3541;561
3541;3535
3541;3562
3541;1925
3541;495
3541;1836
3541;4215
3541;773
3541;3657
3541;3595
3512;2914
3512;2046
3512;2698
3512;4046
3512;4809
3512;3995
3512;447
2914;3712
2914;2026
2914;326
2914;585
3712;969
3712;1533
3712;5283
3712;2767
3712;4407
3712;4013
3712;3105
3712;2613
3712;1161
3712;4998
969;576
969;1876
969;3082
969;3772
576;3760
576;5381
576;935
576;2001
3760;4737
3760;2119
3760;4833
3760;4665
3760;3118
3760;2417
3760;4677
3760;4742
3760;2313
3760;3496
3760;4699
4737;1003
4737;3043
4737;289
4737;5144
4737;4965
4737;3794
1003;4843
1003;1481
1003;52
1003;1205
1003;1946
1003;2347
4843;2218
4843;3395
4843;3756
4843;3180
4843;2171
4843;2977
4843;3594
4843;1928
4843;4695
4843;2819
2218;4417
4417;3234
4417;1007
4417;1168
4417;604
3234;2101
3234;4279
3234;1678
3234;2082
2101;3086
2101;380
2101;4247
2101;4999
3086;3030
3030;2602
3030;2775
3030;2832
3030;2197
3030;3270
2602;4366
2602;5389
2602;791
2602;1159
4366;1757
4366;1363
4366;2273
4366;1725
1757;2355
1757;2976
1757;2695
1757;190
2355;5183
2355;2553
2355;1195
2355;1848
2355;325
2355;1470
2355;3776
5183;733
5183;3494
5183;3755
5183;1741
733;4428
4428;3167
4428;683
4428;5176
4428;591
4428;4800
4428;4195
4428;2182
4428;2927
4428;2143
4428;5411
4428;4174
4428;3384
4428;3191
4428;284
