from_id;to_id
4096;2412
2051;4600
4100;2388
5;2589
4101;2639
4;384
2057;62
10;3207
13;1223
2061;524
2063;2670
2065;2520
2066;3679
2068;2821
2071;2388
2071;2821
2071;2265
2071;2621
2071;4636
2071;613
23;4976
2076;3139
4124;250
2077;193
4130;498
4130;305
4130;691
4130;5276
4130;2966
4130;2087
4130;3387
36;5343
2086;942
4134;3670
4136;1820
4137;4194
4139;1626
2092;1806
4141;3036
4142;151
48;1062
4152;250
58;4307
2108;194
60;1297
2110;3518
62;3890
62;3412
62;3113
62;5198
64;5004
4161;2821
4161;1626
4161;2872
4161;4210
4161;156
4161;5280
4158;3459
2115;2672
4164;689
4164;5136
4169;194
2128;5153
2128;2359
2128;3662
2128;4521
2128;2856
2128;679
4177;662
4178;5343
4181;1685
89;4754
89;3084
89;881
89;1086
89;951
91;2834
91;2591
91;4623
91;2010
91;4570
91;4637
91;3136
2140;2916
2142;4194
94;1292
94;4198
94;4674
94;818
94;2684
2144;361
4190;4307
4194;982
4194;719
4194;5358
4194;747
4194;3379
4194;4369
4194;5400
2147;4458
4192;1865
4198;1047
4198;2705
4198;3208
4198;614
2150;1338
104;1338
4199;688
4204;2827
110;1290
110;3679
110;2036
110;472
110;3401
110;1873
4208;2024
112;2016
4209;2254
116;4976
2164;3326
2160;2565
119;3207
120;1626
2161;4933
4219;748
125;2916
2175;3250
128;4754
2177;771
2178;712
4225;193
4225;5326
4225;5000
4225;5285
4225;777
4229;3117
134;743
4235;4354
4235;165
141;1231
143;982
2192;250
144;341
4240;5391
4240;3425
4240;5165
4240;4367
4240;3900
4240;2670
151;4600
151;5401
151;833
151;2492
151;3243
151;716
151;531
151;1865
4249;2603
157;3410
4258;687
2211;3326
2212;1437
2212;4532
2212;897
165;4754
4264;3608
4267;1594
4268;1975
2220;235
4272;4403
180;2016
2229;3836
182;3117
182;1292
182;4666
182;1621
182;645
185;1103
4282;1806
2236;1288
2236;779
2236;2348
2236;4827
2236;3306
189;3245
193;3696
193;3949
193;4029
193;2981
194;771
194;2490
194;522
194;3740
195;719
4297;2827
203;2256
2251;3679
4300;1062
2254;5344
2254;3295
2256;1231
2256;3139
2256;2475
2256;3784
2256;3567
4307;2715
4307;4558
4307;3984
4307;890
212;3890
217;2834
222;5137
4323;3890
4325;843
232;4023
235;5198
235;4851
235;4767
235;1718
236;4484
