from_id;to_id
1664;2429
1664;3192
1664;1148
1664;695
1664;3072
1664;2565
1664;920
1664;302
1664;1549
1664;1770
1664;2867
1664;349
1664;1750
1664;1936
1664;3012
1664;1960
1664;1618
1664;1059
1664;1951
1664;44
2429;530
2429;1309
2429;1081
2429;687
2429;97
2429;1916
2429;2229
2429;8
2429;3233
2429;994
2429;1278
2429;1702
2429;3243
3192;1401
3192;1235
3192;462
3192;1858
3192;1112
3192;1527
3192;2146
1148;1617
1148;2597
1148;1971
1148;2591
1148;298
1148;436
1148;341
1148;875
1148;3115
530;1833
530;596
530;1556
530;1234
530;1435
530;1933
530;728
530;2273
530;2504
1833;753
1833;813
1833;2350
1401;3240
1401;1441
1401;2986
1401;1213
3240;3207
3240;2080
3240;1636
3240;2341
3240;1926
3240;3215
3207;1767
3207;1741
3207;1436
3207;1970
3207;285
3207;619
3207;732
1767;2464
1767;1854
1767;2747
1767;3117
1767;293
1767;2369
1767;785
1767;126
1767;1361
2464;1390
2464;3112
2464;1047
2464;1972
2464;1592
1390;809
1390;2390
1390;589
1390;884
1390;1127
809;343
809;1979
809;2673
809;742
809;1599
343;359
343;184
343;1496
343;1907
343;2894
343;1424
343;3194
343;2047
343;2821
343;394
343;2828
343;2430
343;2044
359;2746
359;202
359;2661
359;357
359;2155
2044;2695
2044;1392
2044;2333
2044;2060
2044;2641
2746;1535
2746;250
2746;3184
2746;568
2746;1349
2746;138
2746;2324
2746;3139
2746;2981
2746;1000
2746;2581
2746;3052
2746;2708
2746;2077
2746;272
2746;2203
2746;974
2746;851
2746;407
2746;137
1535;1617
1535;2543
1535;2010
1535;711
1535;1476
1535;1263
2708;387
2708;3198
2708;562
2708;1729
2708;53
2708;3241
2708;2595
2708;2386
137;3046
137;2388
137;2267
137;39
137;26
137;1738
137;3199
1617;776
1617;2157
1617;3212
1617;1013
2719;2484
2719;2154
2719;1975
2484;2154
2484;1455
2154;1572
1975;1480
1572;1108
1480;573
573;883
883;2892
2892;355
355;1740
1740;1296
1296;587
1296;2849
587;1885
587;1200
1045;895
1045;559
1045;1338
1045;2725
895;940
559;1147
1338;463
2725;551
940;3168
3168;2682
1898;2677
660;3188
660;906
660;1785
660;2668
3188;292
906;3041
1785;3111
2668;1090
292;2660
2660;132
132;1143
1143;2474
2474;263
263;181
181;2409
2409;2880
2880;156
156;1147
3041;74
74;745
745;2090
2090;1560
1560;1182
1182;2802
2802;147
147;19
19;2545
2545;1539
1539;2870
2870;948
948;123
123;746
746;411
411;624
624;1956
1956;744
1956;1010
744;2122
1010;3015
2122;3111
1090;3161
3161;582
582;2836
2836;1237
1237;2223
2223;2180
2180;383
383;3248
3248;2158
2158;2167
2167;393
393;3230
3230;211
211;1291
1291;814
814;2906
2906;2019
2019;1042
1042;861
861;1293
1293;2023
2023;3040
3040;1643
1643;1246
1246;463
761;101
761;1653
761;2457
761;2481
761;2584
761;1191
761;2075
761;517
761;295
761;1150
761;1353
101;1725
101;2833
101;2529
101;685
101;2574
101;2618
101;2768
517;1076
517;3131
517;2397
517;3132
295;109
295;1130
295;125
295;722
295;3022
295;1378
295;1239
295;1247
1353;2942
1353;3213
1353;961
1353;18
1353;1339
1353;1197
1353;1717
1353;324
1353;2015
1725;1562
1725;1363
1725;1796
1725;283
1725;2317
1562;3108
1562;85
1562;643
1562;2853
1562;21
1562;1333
3108;303
3108;2271
3108;3061
3108;2923
3108;992
303;1521
303;1428
303;1942
303;79
303;3149
303;2759
303;3154
303;2028
1521;306
1521;850
1521;1468
1521;216
1521;1219
1521;1100
1521;1411
306;2869
306;1128
306;2951
306;1094
306;1306
306;649
2869;2960
2869;1561
2869;1985
2869;1552
2869;2192
2869;3050
2869;1175
2869;1272
2960;2831
2960;2450
2960;546
2960;874
2960;73
2960;1798
2831;3017
2831;1357
2831;447
2831;1310
3017;1403
3017;327
3017;3209
1403;1621
1403;2174
1403;43
1403;2260
1403;2338
1621;2786
1621;2845
1621;1083
1621;1307
1621;2052
1621;3178
1621;1709
1621;1408
2786;2635
2786;3196
2786;2365
2786;3006
2786;2087
2786;1919
2635;3171
2635;3157
2635;1701
2635;2172
2635;1881
3171;1187
3171;1430
3171;806
3171;1835
3171;2070
1187;951
1187;1279
1187;2362
1187;1836
1187;950
1187;75
951;990
951;1837
951;901
951;2330
951;2890
951;320
951;2599
951;310
990;2769
990;1488
990;2334
990;564
990;1470
990;594
2769;1029
2769;1184
2769;772
2769;2950
2769;3124
1029;730
1029;2932
1029;987
1029;271
1029;1952
1029;4
1029;780
730;242
730;3106
730;384
730;1439
730;1734
242;300
242;1703
242;2900
242;557
242;2703
1102;856
1102;1163
1102;1188
856;1980
1163;635
1163;1847
1188;3205
1980;1597
1597;1727
1727;1890
1890;2071
2071;1325
1325;877
877;3047
3047;1319
1319;1718
1718;2033
2033;1146
1146;1460
1460;1262
1262;194
194;269
269;2144
2144;836
836;2912
2912;451
451;20
20;2723
2723;661
661;843
843;2886
2886;1134
1134;984
984;638
638;1559
1559;2730
2730;266
266;3160
3160;1671
1671;273
273;2999
2999;2989
2989;2001
2001;524
524;2928
2928;1376
1376;2046
2046;1824
1824;95
95;445
445;929
929;2437
2437;1786
1786;2538
2538;203
203;3208
3208;33
33;2980
2980;362
362;690
690;1698
1698;185
185;3048
3048;2241
2241;1250
1250;2213
2213;999
999;2954
2954;2701
2701;2549
2549;396
396;2854
2854;2321
2321;816
816;913
913;2344
2344;2522
2522;1099
1099;1541
1541;112
112;2424
2424;51
51;1172
1172;3021
3021;2915
2915;457
457;2433
2433;1586
1586;1924
1924;3242
3242;3031
3031;1603
1603;678
678;1935
1935;471
471;2029
471;2013
2029;777
2013;832
777;466
466;1838
1838;737
737;385
385;1948
1948;3014
3014;2014
2014;2327
2327;2236
2236;2353
2353;1065
1065;204
204;1377
1377;1210
1210;694
694;2471
2471;2261
2261;366
366;231
231;240
240;2914
2914;2115
2115;3155
3155;943
943;2592
2592;3092
3092;2403
635;315
1847;838
315;409
315;1503
409;2092
409;637
1503;598
2092;1733
637;1445
1733;3147
3147;2136
2136;2410
2410;1628
2410;2110
1628;986
2110;2690
986;794
794;2955
2955;1216
1216;2976
2976;2345
2345;881
881;1330
1330;602
602;2602
2602;1861
1861;2309
2309;3205
34;2563
34;2604
34;2534
34;2127
34;308
34;2166
34;1342
34;641
34;448
34;2580
34;2361
34;3099
34;2616
2563;3123
2534;1644
2534;3109
2534;2706
2534;2003
2534;1688
2616;3145
2616;1323
2616;3039
2616;3073
2616;533
2616;3054
2616;2966
2616;1868
2616;1615
2616;1142
3123;2925
3123;1304
3123;1891
3123;1823
3123;1540
3123;966
3123;1686
3123;2251
2669;2947
2669;739
2669;1135
2669;2511
2669;2716
2669;2619
2669;863
2669;997
2669;2902
2669;1537
2669;2502
2669;2316
2669;1298
2947;2820
2947;1514
2947;496
2947;3069
2947;2265
2947;1215
2947;371
2316;376
2316;2323
2316;2847
2316;93
1298;1331
1298;3095
1298;151
1298;721
1298;2040
1298;2736
1298;1569
1298;2197
1298;377
1298;23
1298;2930
1298;873
1298;2707
2820;857
2820;2035
2820;1522
2820;2121
2820;464
2820;267
2820;2793
2820;2468
2820;2420
2820;2795
2820;27
2820;1481
2820;1140
2820;5
2820;178
2820;636
2820;1528
2820;788
2820;134
2820;1091
2820;542
2820;1289
857;949
857;2803
857;2789
857;1641
857;768
857;1860
857;1774
857;812
857;1002
857;2274
857;143
857;1438
857;916
2035;3020
2035;2823
2035;2566
2035;1992
2035;478
2035;957
2035;532
2035;1520
2035;3096
2035;2445
2035;2715
2035;1692
134;1316
134;1113
134;3068
134;1930
134;2897
134;1953
134;2
134;262
134;1852
134;1567
134;2137
134;1082
949;1820
949;2829
949;1849
949;1984
949;989
949;996
949;2722
949;2546
949;1908
949;1627
949;2041
949;930
949;606
949;1913
1820;87
1820;381
1820;1990
1820;1598
1820;2621
1820;519
1820;2714
1820;1590
1820;3077
1820;2451
87;1459
87;2298
87;7
87;81
1459;2482
2482;1886
2482;2590
2482;187
2482;1475
2482;193
1886;2796
1886;2887
1886;612
1886;61
1886;1732
1886;1678
1886;2171
1886;1341
1886;2804
1886;3107
1886;65
1886;2959
2796;207
2796;2740
2796;2841
2796;1484
2796;3024
2796;58
2796;2523
207;1498
207;2967
207;191
207;539
207;1189
207;495
207;579
207;1827
1498;1276
1498;1089
1498;11
1498;3044
1498;1917
1498;2245
1498;3085
1498;1938
1498;1651
1498;2043
1498;1178
1276;1018
1276;2753
1276;339
1276;561
1276;2750
1276;443
1276;1359
1276;2054
1276;3172
1276;1697
1276;3083
1276;382
1018;88
1018;1266
1018;1124
1018;1682
1018;574
1018;1532
88;1033
1033;3030
1033;2329
1033;586
1033;1153
1033;1030
1033;2718
1033;2997
1033;1046
1033;1639
3030;172
3030;1764
3030;1313
3030;958
3030;2112
3030;255
3030;1
3030;978
3030;235
