id;cswidth;csheight
931;2.36;2.36
2772;4.97;1.39
1300;1.86;2.63
1533;1.61;1.61
1454;0.48;3.02
1766;0.86;2.22
1536;7.39;3.23
2181;0.83;3.04
968;1.05;2.11
2599;0.7;2.61
1247;0.35;2.45
2907;4.34;1.99
2340;0.86;2.25
264;0.95;2.82
2501;1.17;1.38
1445;3.07;4.95
1136;0.65;1.51
2860;0.88;1.11
2561;0.4;1.22
1991;0.84;1.45
495;0.19;1.52
3086;0.5;2.04
2854;3.2;6.81
2799;0.27;3.51
1047;3.0;5.01
107;4.6;2.61
1008;3.69;2.58
369;6.06;4.06
2646;0.38;0.7
2057;0.52;1.27
2671;0.54;2.51
1763;2.17;2.42
997;1.82;1.46
2915;2.48;1.17
919;3.17;1.4
1563;1.05;1.71
148;10.73;6.32
520;1.82;5.4
1599;1.53;1.64
1417;0.3;2.14
975;4.57;4.54
2424;0.64;1.99
3038;1.03;2.27
1641;1.88;2.88
655;2.37;4.33
719;0.61;2.36
2825;2.91;3.54
337;4.74;2.77
1646;2.61;2.31
2786;3.64;0.93
1544;1.66;3.68
201;0.82;0.74
3045;1.19;1.38
1474;0.51;0.68
1820;0.55;0.64
3213;1.67;0.73
788;0.36;0.9
73;0.48;1.16
1727;0.77;1.74
1504;0.31;1.75
2791;0.16;1.09
3209;0.45;1.84
1619;0.2;1.8
2213;0.06;1.63
179;0.23;1.84
3010;0.87;1.68
1322;0.19;1.81
1719;0.44;1.41
3007;0.47;1.47
2231;0.66;1.24
491;0.99;1.26
1861;0.43;1.24
2044;0.71;1.18
459;0.28;0.99
2834;0.35;1.28
2271;0.71;1.95
304;0.26;1.48
2853;0.56;1.55
831;0.46;1.77
203;0.29;1.67
3239;0.34;1.75
2720;0.48;2.26
1916;0.29;1.72
2061;0.2;1.96
2657;0.3;1.79
358;0.5;3.31
1123;0.27;2.19
1072;0.38;1.84
2666;0.21;1.93
1769;0.35;2.71
1805;0.43;3.36
2423;0.13;1.92
2983;0.33;1.76
1705;0.48;1.76
75;0.22;2.22
1635;0.31;2.12
2901;0.36;1.91
2048;0.25;2.0
722;0.25;2.0
2227;0.58;2.02
135;0.29;2.15
964;0.31;2.34
1495;0.35;2.2
34;1.04;2.43
716;0.24;2.46
1463;0.96;2.46
1254;1.15;2.17
460;0.29;2.4
1377;0.47;2.3
309;0.54;1.55
1331;0.49;1.65
2218;0.46;1.56
291;0.8;1.53
1863;0.66;1.13
450;0.67;1.24
587;0.79;1.01
1624;0.46;1.29
113;0.58;1.54
888;0.79;1.29
384;0.16;1.35
286;0.19;0.9
1450;0.35;0.94
1680;0.14;0.92
2773;0.85;2.45
2286;1.01;0.62
3215;0.31;2.89
929;2.35;0.77
78;2.32;0.92
2962;0.95;1.0
1347;0.61;0.66
1945;3.74;3.94
890;0.94;1.3
2396;3.45;1.15
1465;1.44;1.43
899;6.62;1.94
593;0.35;1.83
1801;1.64;2.17
