id;x;y;z
1395;373108.35;472421.47;393.17
2359;373107.78;472421.75;415.65
898;373112.22;472414.48;385.47
1339;373108.55;472417.92;364.39
1516;373107.01;472421.12;418.07
3117;373108.7;472421.25;393.14
1546;373107.4;472417.75;392.71
1753;373104.95;472422.82;392.83
268;373103.01;472421.05;393.26
1404;373106.57;472418.9;393.33
663;373114.22;472422.45;392.56
3164;373112.46;472423.97;392.72
1431;373111.09;472424.79;393.09
1088;373108.55;472417.72;364.29
3120;373108.03;472421.0;407.16
470;373106.6;472420.08;372.58
2966;373107.6;472418.5;393.42
695;373113.03;472417.45;392.44
3192;373111.76;472415.23;392.52
1984;373106.34;472422.62;392.46
2888;373107.98;472421.49;393.12
2871;373107.95;472422.74;443.68
1457;373108.66;472419.46;416.24
1358;373106.42;472420.15;415.7
2567;373106.69;472421.75;415.7
2249;373106.86;472423.2;415.64
1789;373109.16;472424.04;416.15
2814;373111.74;472425.66;415.67
408;373112.97;472425.07;416.01
2388;373109.96;472422.96;415.85
3067;373108.93;472421.37;416.05
161;373108.02;472423.09;437.71
1366;373105.66;472418.69;390.88
1359;373107.33;472421.43;404.38
2797;373108.0;472422.0;450.0
94;373107.76;472423.01;448.72
1329;373108.47;472422.19;415.88
2160;373109.15;472424.77;443.94
2988;373107.24;472425.2;443.7
1364;373107.27;472422.76;443.94
990;373108.41;472422.5;443.8
2927;373108.92;472421.01;443.93
139;373107.32;472420.94;444.19
965;373107.42;472422.16;449.96
2339;373107.5;472422.98;449.93
3222;373109.57;472422.72;450.12
244;373115.67;472412.14;383.67
567;373112.94;472415.11;385.54
150;373111.96;472414.25;385.48
2358;373113.06;472414.41;386.7
1767;373112.29;472414.42;384.82
72;373110.72;472415.45;385.58
552;373112.1;472416.75;385.87
1876;373116.43;472412.46;382.72
1203;373115.77;472412.19;384.39
1172;373115.69;472412.43;383.69
1312;373115.8;472412.31;381.98
665;373119.47;472409.13;380.93
446;373116.14;472411.73;382.77
2193;373116.36;472412.29;384.05
3073;373116.52;472412.4;382.08
2836;373117.05;472411.47;382.51
1541;373117.42;472411.51;382.4
3238;373120.32;472410.9;380.08
1014;373119.82;472410.05;381.12
3090;373119.47;472409.33;380.42
1272;373119.61;472409.79;383.84
2354;373119.85;472409.11;380.95
2935;373119.79;472410.09;380.94
3166;373120.24;472410.09;380.67
676;373119.91;472411.01;374.45
2476;373120.54;472410.58;380.09
1200;373119.81;472410.18;379.78
21;373120.47;472410.96;380.93
774;373120.33;472411.35;372.9
2495;373121.38;472412.02;379.89
1670;373121.32;472411.28;379.95
1264;373119.92;472411.02;374.44
2520;373119.92;472411.04;374.5
797;373122.12;472412.09;373.36
3032;373120.49;472410.41;374.42
480;373119.6;472410.11;374.31
299;373120.27;472410.57;381.58
1341;373119.97;472410.77;372.96
2869;373119.69;472413.21;372.65
1317;373121.9;472411.99;372.06
1031;373121.42;472412.25;378.13
1591;373121.62;472412.12;373.29
1841;373121.8;472412.46;373.33
1737;373118.58;472413.08;357.37
294;373119.85;472413.45;372.65
2011;373119.26;472413.52;372.6
625;373119.79;472413.35;373.14
1500;373119.29;472413.52;357.02
2609;373121.2;472416.81;355.79
1081;373118.59;472413.22;356.67
1224;373117.83;472413.72;357.44
702;373119.78;472413.63;357.25
1112;373119.47;472414.92;356.91
2845;373118.62;472413.2;356.68
1718;373119.21;472412.84;370.72
2109;373119.62;472414.09;357.21
1244;373120.33;472415.46;356.76
3082;373119.83;472415.23;356.88
1938;373118.73;472414.7;357.52
2180;373118.52;472413.17;356.78
3084;373118.02;472413.58;357.06
1707;373115.73;472420.33;355.75
359;373120.64;472416.73;355.77
2489;373121.03;472416.76;355.6
3014;373120.89;472416.98;357.32
2755;373121.07;472417.26;355.82
1761;373112.67;472419.51;356.96
2114;373115.78;472419.98;355.69
532;373115.55;472420.12;356.55
1725;373115.71;472420.24;355.15
3246;373114.89;472420.33;355.79
605;373110.84;472422.55;353.34
230;373109.03;472424.17;351.55
1105;373115.39;472419.81;357.34
560;373115.73;472420.44;355.15
1266;373120.57;472417.56;355.73
1116;373115.29;472420.57;355.72
402;373111.99;472419.39;356.87
2124;373111.09;472422.56;353.35
141;373115.03;472419.71;355.93
202;373115.73;472420.24;355.15
115;373115.52;472420.21;356.5
475;373115.09;472419.89;358.29
466;373114.57;472420.35;355.65
712;373112.29;472421.98;353.85
306;373110.6;472423.07;353.54
1154;373110.99;472420.7;364.28
3200;373112.2;472421.4;368.28
1883;373113.01;472420.05;357.02
885;373112.41;472418.77;356.94
3157;373110.55;472420.72;358.31
293;373110.3;472419.79;358.33
2700;373111.13;472420.3;364.32
2577;373114.33;472420.73;363.79
2402;373111.24;472420.85;365.87
2816;373110.86;472420.37;362.74
2311;373108.02;472418.83;395.46
2313;373109.98;472418.0;364.8
2762;373114.08;472418.05;366.36
2412;373110.18;472416.92;365.02
