from_id;to_id
83;149
83;114
83;411
83;134
83;485
83;101
83;373
83;137
83;456
83;112
83;320
83;420
420;230
420;197
420;254
420;37
420;261
420;186
420;345
420;190
420;103
420;142
420;305
420;463
420;200
420;418
420;371
420;204
420;272
420;155
420;102
420;408
420;260
420;233
420;439
420;473
420;50
420;383
420;367
420;304
102;91
102;453
102;396
102;162
102;339
102;296
102;273
102;378
102;391
102;326
102;290
102;322
102;26
102;177
102;361
102;97
473;285
473;98
473;362
473;306
473;16
304;315
304;113
304;55
304;196
304;212
304;287
304;484
97;466
97;327
97;51
97;363
97;133
97;99
97;303
97;219
97;188
97;438
97;150
97;184
97;364
97;228
228;8
228;211
228;283
228;449
228;299
228;81
228;401
228;422
228;40
228;19
228;58
58;88
58;163
58;69
58;340
58;252
58;244
58;444
58;448
448;270
448;129
448;462
448;57
448;27
448;294
448;368
448;108
448;381
448;61
61;458
61;24
61;174
61;488
61;41
61;237
61;132
132;467
132;250
132;292
132;0
132;35
132;168
132;280
132;286
132;56
132;486
132;264
132;218
218;210
218;243
218;409
218;360
218;318
218;160
218;421
421;399
421;317
421;245
421;72
421;156
421;403
421;349
421;321
321;169
321;32
321;310
321;334
321;198
321;208
321;335
321;284
284;20
284;494
284;125
284;291
284;53
284;203
284;4
284;152
284;430
284;1
1;346
1;89
1;181
1;414
1;384
1;436
1;417
1;293
1;128
128;119
128;30
128;227
128;275
128;374
128;6
128;84
128;276
128;429
429;12
429;123
429;359
429;350
429;77
429;274
429;136
136;388
136;281
136;109
136;78
136;301
136;468
136;215
215;379
215;187
215;365
215;278
215;165
215;110
110;23
110;5
110;454
110;79
110;481
110;402
402;397
402;121
402;31
402;412
402;415
415;407
415;353
415;45
415;251
415;265
415;266
415;476
415;338
415;238
238;33
238;189
238;314
238;171
238;52
238;43
43;461
43;234
43;307
43;107
43;106
43;176
43;124
124;192
124;337
124;465
124;446
124;185
124;440
124;352
124;93
93;235
93;172
93;220
93;11
93;34
93;217
93;65
65;164
65;111
65;213
65;405
65;392
65;206
65;356
65;153
65;143
65;15
65;157
157;445
157;394
157;424
157;455
157;459
157;469
469;279
469;47
469;39
469;308
469;351
469;75
469;282
469;330
469;115
115;231
115;9
115;239
115;148
115;42
115;479
115;60
60;22
60;376
60;236
60;64
60;3
60;382
60;393
60;96
60;432
60;491
60;434
60;199
60;269
382;225
382;347
382;450
382;191
382;166
382;18
269;222
269;170
269;80
269;122
269;323
269;130
269;224
18;477
18;36
18;232
18;118
18;126
18;312
16;145
16;325
16;248
16;255
255;46
255;410
255;247
255;277
255;10
10;372
10;67
10;348
10;17
10;151
10;87
10;343
343;13
343;223
343;437
343;344
343;329
343;154
154;7
154;159
154;117
154;38
154;406
154;259
154;253
154;377
154;300
154;416
154;14
484;398
484;295
484;44
484;328
484;66
66;161
66;289
66;127
66;74
66;480
66;2
66;472
66;49
66;400
66;404
66;86
66;431
66;226
66;331
66;423
66;242
86;316
86;490
86;82
86;487
86;71
86;73
86;147
86;140
86;470
242;21
242;48
242;257
242;475
242;370
470;76
470;478
470;267
470;144
470;205
470;202
202;175
202;63
202;120
202;221
202;489
202;426
426;95
426;483
426;92
426;158
426;457
426;471
471;297
471;460
471;62
471;271
471;59
59;433
59;105
59;85
59;395
59;214
59;246
59;116
116;369
116;180
116;380
116;195
116;354
354;216
354;138
354;94
354;141
354;390
354;28
354;443
354;240
354;474
474;182
474;29
474;319
474;193
474;425
474;68
474;341
474;173
173;492
173;336
173;333
173;389
173;387
173;427
173;447
173;428
173;451
173;375
173;263
173;201
201;385
201;194
201;309
201;366
201;25
201;332
201;256
201;209
209;464
209;178
209;104
209;342
209;435
435;179
435;268
435;413
435;358
435;452
435;54
435;442
442;229
442;324
442;386
442;302
370;262
370;288
370;241
370;258
370;419
370;482
370;131
370;355
370;167
370;207
207;249
207;313
207;100
207;493
207;441
441;70
441;90
441;146
441;183
224;357
224;311
224;139
224;298
224;135
