from_id;to_id
115;468
115;395
115;175
115;386
115;156
115;226
115;46
115;19
115;276
115;146
115;172
115;34
34;147
34;145
34;208
34;248
34;129
34;322
34;26
34;335
34;149
34;379
34;195
34;39
34;383
34;209
34;472
34;494
34;256
34;245
34;65
34;321
34;355
34;474
34;430
34;173
34;160
34;351
34;35
34;458
65;63
65;38
65;176
65;324
65;151
65;391
65;191
65;340
65;485
65;371
65;57
65;446
65;196
65;343
65;376
65;203
173;62
173;377
173;67
173;158
173;76
458;155
458;447
458;2
458;215
458;28
458;392
458;475
203;29
203;483
203;423
203;292
203;363
203;82
203;439
203;159
203;425
203;489
203;66
203;87
203;451
203;265
265;56
265;347
265;153
265;300
265;99
265;486
265;313
265;251
265;258
265;295
265;307
307;396
307;161
307;270
307;229
307;350
307;308
307;111
307;467
467;278
467;259
467;49
467;331
467;240
467;442
467;461
467;30
467;9
467;283
283;367
283;58
283;197
283;97
283;437
283;405
283;183
183;298
183;327
183;473
183;40
183;422
183;184
183;280
183;36
183;407
183;487
183;78
183;394
394;289
394;144
394;75
394;393
394;17
394;260
394;255
255;77
255;332
255;326
255;225
255;233
255;198
255;94
255;294
294;61
294;452
294;83
294;244
294;177
294;227
294;84
294;469
469;214
469;80
469;157
469;89
469;88
469;317
469;32
469;220
469;482
469;426
426;232
426;403
426;42
426;207
426;81
426;329
426;453
426;419
426;254
254;334
254;73
254;237
254;174
254;428
254;488
254;431
254;341
254;192
192;98
192;120
192;123
192;202
192;384
192;43
192;22
22;230
22;490
22;247
22;165
22;455
22;338
22;349
349;185
349;304
349;170
349;445
349;33
349;45
45;375
45;41
45;427
45;23
45;0
45;457
457;24
457;424
457;103
457;438
457;353
353;271
353;320
353;235
353;301
353;309
353;122
353;190
353;306
353;186
186;164
186;397
186;314
186;444
186;128
186;462
462;110
462;366
462;315
462;119
462;137
462;211
462;10
10;388
10;44
10;252
10;223
10;228
10;90
10;492
10;31
31;212
31;117
31;385
31;408
31;216
31;364
31;456
456;398
456;357
456;365
456;206
456;293
456;25
456;1
456;263
456;118
456;310
456;354
354;51
354;148
354;291
354;339
354;420
354;50
50;342
50;454
50;138
50;96
50;188
50;344
50;269
50;480
50;221
221;241
221;74
221;284
221;130
221;59
221;199
221;180
180;370
180;374
180;168
180;68
180;140
180;187
180;373
180;362
180;319
180;378
180;20
180;85
180;264
187;134
187;113
187;11
187;93
187;116
187;449
264;48
264;266
264;493
264;152
264;131
264;21
264;479
449;16
449;27
449;402
449;288
449;463
449;464
76;107
76;466
76;418
76;285
285;432
285;272
285;5
285;108
285;358
358;100
358;369
358;171
358;12
358;91
358;337
358;250
250;64
250;328
250;404
250;325
250;336
250;345
345;465
345;409
345;231
345;305
345;360
345;443
345;126
345;189
345;95
345;114
345;478
475;435
475;162
475;37
475;238
475;412
412;484
412;239
412;281
412;210
412;267
412;389
412;4
412;312
412;242
412;121
412;372
412;102
412;104
412;352
412;299
412;205
372;86
372;182
372;368
372;234
372;440
372;60
372;359
372;416
372;491
205;311
205;132
205;476
205;163
205;249
491;70
491;460
491;297
491;101
491;257
491;79
79;69
79;436
79;390
79;413
79;136
79;318
318;399
318;290
318;71
318;348
318;112
318;302
302;356
302;166
302;218
302;150
302;18
18;222
18;139
18;387
18;274
18;54
18;411
18;477
477;154
477;13
477;261
477;167
477;135
135;330
135;406
135;246
135;382
135;105
135;448
135;213
135;127
135;361
361;141
361;282
361;200
361;142
361;181
361;193
361;201
361;296
296;236
296;106
296;243
296;434
296;429
296;14
296;253
296;417
296;72
296;380
296;7
296;316
316;8
316;470
316;414
316;277
316;450
316;268
316;481
316;286
286;303
286;410
286;52
286;217
286;433
433;471
433;15
433;219
433;178
433;53
433;333
433;55
55;279
55;47
55;109
55;3
249;124
249;287
249;204
249;275
249;273
249;441
249;133
249;169
249;262
249;323
323;421
323;92
323;224
323;459
323;346
346;179
346;125
346;143
346;381
479;401
479;6
479;415
479;194
479;400
