from_id;to_id
661;55
55;904
904;400
400;637
637;590
590;9
590;107
9;449
107;27
449;438
438;1032
438;158
438;749
1032;1
158;526
749;816
1;98
98;1089
98;1045
1089;1006
1089;429
1045;1013
1045;385
1006;410
429;316
410;430
430;481
481;665
481;959
665;415
959;153
415;791
791;462
791;253
253;612
27;434
434;156
156;497
212;900
900;126
126;998
126;373
998;255
373;519
373;394
255;1065
1065;522
522;1061
1061;222
222;759
759;862
862;674
674;279
279;876
876;348
348;393
393;910
910;1084
1084;691
691;469
469;513
513;667
667;598
598;554
554;281
554;840
281;748
840;325
325;539
325;899
899;831
899;301
831;97
301;1095
97;634
634;886
1095;304
304;832
832;819
819;240
240;11
11;788
788;6
6;694
6;895
694;664
895;334
664;992
992;639
334;155
155;1040
1040;1017
1040;439
439;35
35;157
35;723
157;307
723;62
62;459
459;178
178;1002
1002;465
465;318
318;130
130;599
599;705
705;913
913;806
806;232
232;717
717;110
110;464
464;543
543;889
889;620
620;79
79;314
314;142
142;396
396;510
510;181
181;316
519;78
394;401
78;1066
78;762
1066;928
762;940
928;528
528;1047
1047;820
940;618
618;192
192;280
401;729
729;162
162;829
829;857
857;995
526;1007
1007;300
300;252
300;299
252;818
299;338
818;571
571;24
24;347
347;1094
347;692
692;1105
1105;963
963;779
779;187
187;501
501;658
658;202
658;774
774;453
774;330
453;551
453;853
330;403
403;1100
403;72
288;989
288;698
989;1012
698;1106
1012;225
225;914
914;949
949;417
417;758
758;785
785;532
532;721
721;809
809;977
977;562
562;463
463;182
182;472
472;652
652;395
395;1101
1101;817
1101;679
1101;645
1101;741
1101;210
817;588
817;344
679;1076
645;104
741;209
741;871
210;418
588;131
131;243
243;349
349;686
686;873
873;558
558;695
695;907
695;880
907;690
880;739
1106;283
283;134
283;387
1076;1016
1016;780
780;623
623;19
19;1028
1028;854
854;1025
1025;1098
1098;125
125;644
644;176
176;966
966;668
668;362
362;515
435;725
435;93
725;906
93;696
906;714
714;671
671;772
772;56
56;482
482;380
380;7
7;673
673;946
946;552
552;822
822;244
244;450
450;1062
1062;104
209;1071
1071;168
168;971
971;814
814;111
111;194
194;580
418;918
918;64
64;1008
1008;447
447;250
250;116
116;87
87;319
319;92
92;579
579;60
579;389
579;628
60;350
389;405
628;836
350;868
868;88
868;58
88;275
58;141
275;935
935;216
216;231
231;655
655;893
893;172
172;548
548;636
636;1053
636;908
1053;984
908;249
984;366
366;1097
249;1011
1011;201
468;25
25;1060
1060;1004
1004;119
119;341
341;167
167;542
542;154
154;436
436;474
474;799
799;859
859;1049
1049;833
833;851
851;306
306;424
424;677
677;358
358;530
530;656
656;800
800;512
512;451
451;801
801;938
938;165
165;43
43;221
221;425
425;572
572;1073
1073;247
247;390
390;89
89;175
89;508
175;861
508;934
861;847
847;20
847;874
20;57
874;34
57;499
