from_id;to_id
16384;5842
8194;4742
16387;15928
16388;14298
16393;1373
8205;5028
8210;14676
16405;5373
8223;15589
8227;19874
35;2389
36;22210
16423;20963
16425;21121
8233;18221
51;17622
8244;6149
54;10061
62;19731
8261;20963
16454;14298
76;17842
16465;20174
81;5434
8273;4299
8273;2214
8273;22838
8273;6756
8273;1062
8273;13370
8273;6860
8273;2874
8273;2195
8273;18330
8273;18992
8273;19260
8273;12652
8273;7690
8273;727
8273;8696
89;13601
16474;4728
8283;22365
8290;2389
8294;13977
8305;1373
114;21121
115;7856
8308;11228
116;8696
8307;17087
122;1194
123;13282
16515;13013
16520;21994
16525;18878
145;18422
8340;19024
149;15511
16538;16232
8347;17180
16541;16861
158;6332
158;17675
158;626
158;1996
158;18010
158;2755
163;17087
165;20174
165;23002
165;22695
165;21695
165;20719
165;200
165;11962
165;20677
165;10642
165;16566
165;19461
165;250
8359;10835
16561;10447
8371;9687
16564;11287
16564;11214
16564;10497
16564;15991
16564;19215
16564;20660
16564;17160
16564;23837
16564;19580
16564;1571
16564;23617
16564;16898
16564;8605
16564;12744
16564;10088
16564;7648
16564;10415
16564;20344
16564;10897
16564;5957
16564;5612
16564;14326
16564;23284
16564;3550
16564;3076
16564;14374
16564;10800
16564;11010
16564;23530
16564;6384
16564;12468
16564;7695
189;13904
8383;21354
16577;21121
16578;16861
198;14407
16583;13904
204;18795
204;7574
204;16364
204;17654
204;1293
204;17587
204;6603
8400;15406
16599;6441
222;2879
8415;8094
227;22920
227;21207
227;10571
227;9801
227;21466
227;6831
227;3588
16612;2743
8425;17180
16617;18422
16624;17345
242;7180
248;16232
250;525
250;1432
250;11940
250;17558
250;788
250;10944
250;10204
250;23508
250;1129
250;17376
250;18761
250;17547
250;18032
250;23699
250;18859
250;6394
16634;4299
16645;4586
262;18878
266;1178
268;20954
16653;9159
16657;15019
16659;15887
16671;18389
8480;6362
16674;4742
16678;14602
8493;8696
8498;15198
16694;13977
315;18221
16702;17675
8512;11072
16708;17380
325;15406
326;1775
8519;16861
8522;20644
16715;6543
16715;5892
16715;20291
16715;10527
16715;8031
16715;1965
