id;x;y;z
16384;532045.15;6005239.16;285.78
8194;532102.8;6005217.01;310.47
16387;532139.1;6005223.36;305.94
16388;532082.88;6005237.2;309.2
16393;532115.87;6005183.59;314.23
8205;532181.73;6005189.0;314.73
8210;532153.35;6005208.69;305.43
16405;532234.4;6005218.18;341.16
8223;532129.14;6005228.14;304.14
8227;532245.91;6005201.81;332.92
35;532087.63;6005240.78;300.07
36;532042.66;6005233.65;281.2
16423;532181.47;6005205.08;312.35
16425;532135.76;6005227.58;305.7
8233;532134.63;6005228.62;306.56
51;532092.91;6005227.37;308.88
8244;532102.93;6005230.59;308.55
54;532232.81;6005223.89;341.16
62;532043.82;6005232.75;281.27
8261;532180.13;6005204.19;310.76
16454;532084.01;6005236.14;309.09
76;532111.22;6005218.23;310.18
16465;532167.48;6005190.94;307.04
81;532092.87;6005240.34;298.38
8273;532091.75;6005250.9;299.17
89;532238.14;6005216.92;334.39
16474;532125.13;6005225.89;302.68
8283;532087.51;6005234.59;310.73
8290;532089.1;6005240.4;299.49
8294;532104.67;6005234.4;299.8
8305;532118.59;6005185.62;314.0
114;532135.87;6005228.29;305.95
115;532201.07;6005200.07;328.96
8308;532170.01;6005166.33;320.76
116;532094.33;6005255.05;302.39
8307;532103.67;6005214.41;315.78
122;532197.08;6005192.86;325.29
123;532229.18;6005211.55;328.53
16515;532099.17;6005221.84;310.57
16520;532075.68;6005238.14;289.95
16525;532187.83;6005203.87;312.95
145;532108.53;6005243.08;299.5
8340;532096.23;6005221.14;310.44
149;532167.11;6005192.13;307.53
16538;532064.48;6005236.59;291.28
8347;532132.22;6005229.67;306.58
16541;532222.56;6005190.52;339.81
158;532196.41;6005197.38;321.43
163;532101.86;6005213.31;315.45
165;532168.88;6005190.47;307.21
8359;532031.05;6005228.91;277.57
16561;532146.14;6005213.77;306.07
8371;532160.69;6005194.36;306.82
16564;532106.69;6005226.85;301.28
16566;532169.17;6005189.56;307.36
189;532090.52;6005224.91;310.18
8383;532045.46;6005230.78;279.64
16577;532136.23;6005228.46;305.08
16578;532221.57;6005190.36;337.12
198;532177.02;6005202.98;309.95
16583;532092.23;6005227.07;309.35
200;532168.43;6005190.24;306.85
204;532220.66;6005200.4;328.19
8400;532110.58;6005217.8;303.86
16599;532085.23;6005238.36;297.03
222;532151.31;6005209.72;305.48
8415;532218.31;6005204.29;324.11
227;532211.46;6005209.25;315.01
16612;532228.29;6005191.1;331.96
8425;532132.96;6005228.04;305.4
16617;532107.88;6005242.42;299.27
16624;532173.85;6005179.8;307.75
242;532041.9;6005228.41;279.04
248;532065.39;6005237.14;289.52
250;532168.87;6005186.71;307.39
16634;532084.57;6005245.79;301.75
16645;532099.5;6005229.64;309.06
262;532187.62;6005204.21;311.02
266;532026.57;6005232.96;278.01
268;532121.74;6005178.47;314.05
16653;532221.14;6005225.35;351.46
16657;532235.31;6005216.71;332.26
16659;532081.8;6005241.42;306.0
16671;532203.43;6005200.73;329.67
8480;532100.46;6005240.09;299.82
16674;532104.27;6005216.22;310.36
16678;532199.7;6005204.07;315.13
8493;532089.02;6005253.88;301.28
8498;532221.83;6005189.89;333.32
16694;532104.63;6005234.42;299.3
315;532134.18;6005228.45;306.52
16702;532196.41;6005197.33;320.74
8512;532157.85;6005204.61;305.32
16708;532166.28;6005180.28;307.74
325;532114.36;6005219.44;303.97
326;532070.08;6005238.46;291.2
8519;532222.07;6005190.02;335.42
8522;532184.56;6005201.39;336.51
16715;532191.99;6005203.41;342.0
8523;532136.13;6005229.97;305.66
8524;532114.4;6005220.53;304.07
334;532214.96;6005210.86;315.22
16714;532091.72;6005222.73;310.71
16721;532183.41;6005186.28;318.46
16730;532167.33;6005168.53;315.67
16735;532162.84;6005190.48;307.24
8549;532104.91;6005234.49;298.55
16745;532111.33;6005194.11;314.1
8554;532158.69;6005201.43;305.48
16748;532171.29;6005166.03;358.13
16750;532145.63;6005212.13;305.1
16751;532221.59;6005190.79;337.04
8559;532162.22;6005197.96;305.88
16755;532107.33;6005240.03;299.4
16757;532143.02;6005235.25;310.34
8568;532178.06;6005190.44;311.58
16764;532153.34;6005208.78;305.64
16766;532111.14;6005223.26;301.98
8584;532153.36;6005181.61;315.01
8587;532088.47;6005237.74;299.84
16780;532160.97;6005198.34;306.14
8594;532108.82;6005194.68;313.86
405;532081.35;6005238.56;291.7
8598;532129.22;6005226.79;303.65
8605;532106.88;6005226.49;301.32
16801;532160.46;6005197.62;305.91
16806;532224.45;6005217.51;341.23
433;532061.31;6005238.03;288.61
435;532157.66;6005203.02;305.74
16825;532236.08;6005228.8;365.63
16826;532166.46;6005194.69;307.45
16830;532084.69;6005239.18;296.28
449;532246.76;6005203.78;335.19
16837;532235.69;6005226.16;368.34
8646;532129.06;6005227.62;303.28
8645;532103.59;6005233.73;299.45
456;532066.7;6005238.89;290.76
8652;532048.4;6005246.53;281.65
16847;532214.68;6005212.0;315.23
8656;532234.57;6005226.82;367.35
468;532113.72;6005218.44;304.08
16854;532159.22;6005203.61;305.65
475;532092.91;6005240.29;297.96
16861;532222.04;6005189.95;336.99
8672;532122.17;6005183.06;313.73
16866;532141.39;6005220.8;305.57
490;532101.75;6005202.14;313.71
8684;532106.25;6005215.73;311.76
494;532128.74;6005181.81;313.86
497;532045.56;6005240.66;284.82
499;532219.55;6005191.24;339.07
501;532109.63;6005216.35;312.24
8696;532091.78;6005254.14;300.91
16890;532214.79;6005210.04;312.72
8700;532177.87;6005190.07;311.77
16894;532230.08;6005213.27;328.82
8706;532196.33;6005204.4;339.65
16898;532106.08;6005226.34;301.02
8712;532100.02;6005229.61;308.62
8716;532206.95;6005201.97;331.04
8717;532195.79;6005199.18;317.62
525;532169.2;6005186.95;307.5
527;532158.31;6005201.3;305.51
8718;532140.53;6005231.39;311.07
8721;532205.88;6005212.97;340.85
537;532136.3;6005229.38;308.26
16923;532236.49;6005228.36;365.68
541;532224.34;6005209.98;324.27
543;532143.92;6005215.84;306.11
16931;532141.86;6005232.43;309.48
8740;532086.89;6005243.11;300.1
8746;532160.01;6005174.21;315.74
570;532172.41;6005184.39;307.79
8764;532104.19;6005238.32;299.03
16962;532148.28;6005212.8;306.66
8774;532037.84;6005230.75;281.46
16976;532238.83;6005217.07;341.2
8785;532075.95;6005235.96;289.69
596;532227.32;6005218.77;338.25
597;532195.36;6005196.93;328.64
16981;532105.28;6005196.0;314.45
599;532036.88;6005236.19;280.44
16987;532151.83;6005208.68;305.65
16988;532136.62;6005177.77;314.27
8803;532240.66;6005215.43;341.23
16997;532146.1;6005212.42;307.59
16998;532165.71;6005194.16;306.79
621;532142.15;6005235.97;310.66
626;532196.37;6005197.74;324.3
17011;532163.97;6005163.78;337.55
8820;532032.44;6005236.27;278.19
629;532173.05;6005164.56;350.47
8825;532183.86;6005185.66;316.91
8826;532226.2;6005224.19;342.12
8829;532100.24;6005220.39;310.48
642;532156.37;6005207.76;305.55
17026;532123.77;6005179.43;314.15
645;532166.79;6005165.09;353.31
647;532206.99;6005202.82;331.05
8839;532042.42;6005227.28;278.83
8842;532017.48;6005225.04;276.61
17039;532165.3;6005163.62;330.98
656;532091.76;6005228.18;310.17
8850;532187.49;6005203.12;310.72
8851;532152.71;6005207.99;305.56
660;532104.68;6005207.81;313.77
17058;532218.17;6005212.24;315.43
8870;532198.84;6005206.01;342.43
17065;532133.52;6005180.91;314.06
17070;532102.42;6005208.23;313.0
8879;532043.89;6005233.51;281.59
8881;532226.41;6005217.84;341.28
17074;532043.9;6005233.83;281.54
