id;x;y;z
122;89326.96;79237.45;325.3
19;89327.25;79243.83;321.37
135;89320.43;79236.65;328.36
26;89324.26;79245.71;323.07
252;89325.59;79234.99;326.32
348;89328.48;79241.63;325.53
247;89323.65;79232.56;326.61
513;89326.26;79244.18;320.85
77;89327.25;79243.83;326.67
115;89329.62;79244.15;320.26
350;89324.37;79252.43;315.72
168;89331.08;79250.23;317.6
359;89328.84;79255.99;313.58
476;89323.13;79247.46;322.73
119;89318.78;79236.39;328.54
262;89323.88;79232.96;330.4
65;89315.68;79238.18;329.3
496;89314.98;79239.9;329.2
472;89314.98;79239.9;333.42
482;89314.26;79240.35;333.42
56;89314.26;79240.35;337.22
42;89312.1;79242.16;337.87
90;89310.34;79242.72;338.04
372;89305.91;79243.95;338.04
25;89305.91;79243.95;338.69
216;89304.82;79244.57;338.69
518;89301.63;79243.41;338.39
481;89301.63;79243.41;339.64
167;89300.29;79243.58;339.64
199;89297.44;79239.5;340.61
414;89291.26;79244.5;340.61
469;89291.26;79244.5;341.21
106;89289.38;79245.59;341.36
241;89284.99;79247.54;341.86
185;89284.99;79247.54;342.86
430;89282.97;79246.42;343.61
146;89282.97;79246.42;344.81
411;89280.0;79248.0;347.3
388;89280.0;79248.0;350.0
342;89451.53;79320.71;289.38
161;89453.96;79320.76;287.46
22;89453.75;79320.95;288.25
197;89455.14;79325.58;287.46
13;89450.82;79312.51;289.81
129;89457.0;79333.15;286.23
492;89456.97;79333.86;292.02
384;89457.99;79332.78;286.24
340;89447.5;79319.27;293.68
338;89449.42;79321.02;291.63
467;89438.07;79318.78;297.11
117;89437.66;79315.72;297.44
490;89427.51;79310.77;301.33
108;89427.56;79309.22;301.41
57;89422.78;79307.48;305.99
446;89422.78;79307.48;307.59
39;89423.11;79307.7;307.59
282;89422.6;79309.92;309.38
434;89419.31;79311.12;309.38
27;89421.93;79309.18;309.38
140;89418.41;79311.1;309.38
192;89418.41;79311.1;307.73
63;89414.82;79311.36;307.6
201;89424.79;79312.23;313.98
265;89413.11;79308.72;307.88
142;89411.75;79309.06;307.88
273;89411.75;79309.06;308.48
144;89409.86;79311.36;308.11
261;89407.01;79310.49;307.75
332;89407.01;79310.49;309.35
116;89404.01;79311.55;309.1
71;89403.61;79315.07;308.01
260;89404.48;79311.38;309.1
433;89396.8;79316.21;308.01
91;89395.62;79318.24;308.01
506;89391.76;79317.42;308.01
240;89391.76;79317.42;309.96
314;89380.34;79318.62;309.36
54;89375.94;79320.23;308.99
52;89375.53;79314.39;310.89
515;89382.53;79317.96;309.6
21;89376.53;79317.18;310.51
373;89371.89;79312.21;310.67
118;89367.5;79307.66;312.73
69;89366.9;79299.12;311.83
172;89365.31;79297.83;311.79
381;89363.68;79293.1;312.45
401;89363.68;79293.1;316.7
184;89360.81;79290.94;317.34
436;89360.9;79288.24;317.34
470;89361.6;79290.27;317.34
356;89358.34;79285.3;316.44
12;89356.24;79284.96;316.14
235;89356.17;79285.36;316.14
166;89356.17;79285.36;313.64
328;89352.36;79286.17;313.5
442;89352.36;79286.17;314.85
236;89347.96;79289.03;315.03
83;89346.89;79288.13;315.16
194;89343.98;79285.32;314.51
