from_id;to_id
4053;5032
4053;10751
4053;6086
4053;12593
4053;3985
4053;4451
4053;1831
4053;4761
4053;4871
5032;13833
5032;9388
5032;11874
5032;4161
5032;5125
5032;9890
5032;13764
5032;2500
5032;5020
5032;11083
5032;6083
5032;5531
5032;2347
5032;13279
10751;12363
10751;11580
10751;2908
10751;10532
6086;1007
6086;11782
6086;4564
6086;9312
6086;11411
6086;711
6086;3038
6086;7167
6086;14016
6086;2051
6086;6371
6086;10664
6086;12558
6086;7724
12593;8147
12593;10353
12593;3325
12593;4966
12593;8818
12593;12406
12593;13853
12593;11067
12593;3611
12593;3710
4761;3491
4761;12963
4761;6730
4871;11634
13833;12363
13833;8884
13833;4289
13833;6654
9388;9961
9388;88
9388;523
9388;11802
11874;10902
11874;6063
11874;12305
11874;3422
11874;8588
13764;13802
13764;11447
13764;8068
5531;3631
5531;1417
5531;11496
5531;8125
8471;3814
8471;6429
8471;11007
8471;11932
8471;11825
8471;13809
8471;4396
8471;6785
3814;1810
3814;3195
3814;12768
3814;2355
3814;4318
3814;11888
6429;2648
11007;8572
11007;2855
11007;2831
11007;1403
1810;2257
1810;6049
1810;10161
1810;12781
1810;9116
1810;3811
1810;8030
1810;9066
1810;1346
1810;2704
3195;4286
3195;4330
3195;7508
3195;7970
2130;5477
5477;10684
5477;10907
5477;8527
5477;7759
5477;1069
5477;13445
5477;9174
5477;13829
5477;13420
5477;5253
5477;6835
10684;8452
10684;2257
10684;429
10684;1242
10684;1283
10684;4002
10684;5881
10684;1085
10684;13698
10684;2899
10684;6091
10684;13325
10684;10653
10684;10581
10684;37
10684;11045
10684;4347
10684;1130
10684;6881
10684;2553
10684;2502
10684;9773
10684;2381
10907;836
10907;2006
10907;3081
10907;6491
10907;4194
10907;4398
8351;4881
8351;8738
8351;1862
4881;3744
4881;3310
4881;3554
4881;12581
4881;3039
4881;802
4881;929
4881;10006
4881;5790
4881;4123
4881;7130
4881;5844
4881;10048
4881;11268
4881;13168
8738;7703
8738;430
8738;2795
8738;5537
8738;10715
8738;1826
8738;8532
1862;13953
1862;4974
1862;2883
1862;5718
1862;10609
1862;2442
1862;13757
1862;11499
1862;13452
1862;2105
1862;7749
1862;11786
1862;6245
1862;392
1862;9152
1862;14106
3744;12424
3744;7836
3744;13174
3744;5841
3744;4170
3744;11464
3744;6361
3744;6778
3744;3837
3310;9055
3310;12340
3310;9068
3310;13349
3310;10071
2787;10967
2787;8196
10967;6919
8196;6621
6919;883
6919;570
6919;3009
6919;13539
883;11799
883;6998
883;2542
883;4422
11799;3507
11799;8949
11799;780
11799;2179
11799;4243
11799;13028
11799;6036
11799;4490
3507;5483
4490;9977
4490;6578
4490;2383
4490;7762
5483;10003
5483;9102
5483;10764
5483;11145
5483;4678
10003;13431
10003;2846
10003;12632
10003;223
13431;941
13431;502
13431;8430
13431;2389
13431;14153
13431;13821
941;9663
941;6193
941;8765
941;1202
941;3354
941;4362
9663;3826
9663;8164
9663;5629
9663;894
9663;11947
3826;966
3826;9120
3826;2552
3826;9244
3826;4754
966;5058
966;1804
966;10576
966;13670
966;4304
5058;6513
5058;13881
5058;1059
5058;12853
5058;7895
5058;4019
6513;6682
6513;10862
6513;13850
6513;6948
6513;12057
6682;742
6682;3709
6682;3084
6682;8540
742;7922
742;3524
742;10649
742;11568
742;366
742;10063
742;713
742;8529
742;10244
742;3134
742;9632
742;8494
742;9188
742;9397
7922;11072
3524;3388
3524;1868
10649;7401
11568;10941
11568;2975
11568;12498
11568;10788
11568;4234
11568;2364
11072;13230
13230;4368
13230;9858
4368;8648
4368;1952
4368;9069
4368;12718
4368;3308
4368;12031
4368;11814
4368;5738
9858;7693
9858;12650
12363;9484
12363;7629
12363;6637
2529;1586
2529;2731
2529;10236
2529;9194
2529;12683
2529;10176
2529;8207
2529;372
2529;3901
2529;11073
2529;11240
2529;3218
2529;8825
1586;1802
1586;4299
1586;787
2731;10640
2731;4863
2731;9676
2731;6012
2731;4587
2731;1050
2731;6387
2731;6062
2731;5814
2731;4803
2731;258
1802;9264
4299;4145
4299;11558
4299;656
4299;10471
4299;5309
4299;5164
10640;4023
10640;655
10640;5280
10640;10227
10640;4371
10640;972
10640;11123
10640;1067
10640;3829
4023;3046
4023;9778
4023;10705
4023;5110
4023;7619
4023;3885
4023;12280
3046;10053
3046;7446
3046;3768
3046;9262
3046;2473
3046;3975
10053;986
10053;13208
10053;8525
10053;11052
10053;896
10053;1440
10053;1134
10053;1853
986;4478
986;1992
986;4505
986;12065
4478;8250
4478;13892
4478;7720
4478;8869
8250;13070
8250;12418
8250;1648
8250;300
8250;6698
8250;9795
13070;9495
13070;11964
13070;8662
13070;12133
13070;11480
9495;5296
9495;11659
9495;11373
9495;12222
5296;6364
5296;3880
5296;11909
5296;5267
5296;4458
5296;6054
6364;12709
6364;3642
6364;4115
6364;6173
6364;4457
6054;350
6054;83
6054;4931
6054;7213
12709;7469
12709;13996
12709;2373
12709;764
7469;3684
7469;11259
7469;9136
7469;10537
3684;5799
3684;11382
3684;6679
3684;4434
3684;13330
3684;9978
5799;1007
5799;4184
5799;3851
5799;8531
5799;9422
5799;9166
5799;1185
5799;1156
5799;8264
1007;13517
1007;1005
1007;7578
1007;3368
1007;13088
1007;6224
8264;8151
8264;865
8264;1727
8264;5974
8264;3654
8264;6377
8264;3797
8264;8010
8264;11887
8264;5683
3992;6987
3992;9057
3992;4230
3992;12061
3992;12429
