id;x;y;z
4053;595856.0;5887250.32;264.9
5032;595861.17;5887246.03;271.87
10751;595857.51;5887248.79;268.19
6086;595854.11;5887253.39;266.11
12593;595858.19;5887253.03;265.49
3985;595853.03;5887247.13;265.65
4451;595856.86;5887251.1;265.11
1831;595855.51;5887250.35;268.82
4761;595856.88;5887252.35;266.46
4871;595849.48;5887255.96;265.62
13833;595860.34;5887246.76;271.35
9388;595863.7;5887243.71;273.4
11874;595861.62;5887246.69;271.33
4161;595860.39;5887245.1;271.58
5125;595861.8;5887246.66;271.34
9890;595861.33;5887245.96;269.94
13764;595861.38;5887246.6;271.31
2500;595861.19;5887245.91;269.37
5020;595860.96;5887245.17;271.47
11083;595861.79;5887246.51;271.23
6083;595863.93;5887242.16;272.57
5531;595863.67;5887242.55;272.51
2347;595860.73;5887245.39;271.21
13279;595861.68;5887246.44;271.07
8471;595747.75;5887283.79;263.57
3814;595750.46;5887283.26;261.26
6429;595750.78;5887281.05;261.5
11007;595746.76;5887281.74;262.77
11932;595744.27;5887284.26;263.21
11825;595746.99;5887281.91;262.38
13809;595746.43;5887282.34;262.51
4396;595747.07;5887281.94;263.24
6785;595746.74;5887282.53;263.17
1810;595756.85;5887282.97;261.06
3195;595747.13;5887288.1;262.21
12768;595748.59;5887280.88;262.38
2355;595750.36;5887283.52;263.19
4318;595752.03;5887286.41;262.0
11888;595750.88;5887284.26;260.45
2130;595770.55;5887286.29;293.86
5477;595769.92;5887287.86;257.26
10684;595771.87;5887279.98;258.0
10907;595773.94;5887288.23;256.91
8527;595771.2;5887286.11;257.24
7759;595773.0;5887286.98;257.06
1069;595770.66;5887288.68;257.28
13445;595769.33;5887289.38;257.57
9174;595768.58;5887289.13;257.53
13829;595770.4;5887288.15;259.58
13420;595769.63;5887287.97;259.48
5253;595769.64;5887287.47;259.42
6835;595770.37;5887287.25;259.61
8351;595837.57;5887185.35;264.99
4881;595836.43;5887186.38;263.33
8738;595831.43;5887176.65;264.67
1862;595835.74;5887174.24;263.64
3744;595830.34;5887188.48;264.85
3310;595839.93;5887184.6;263.28
3554;595839.27;5887188.07;263.52
12581;595837.96;5887189.66;263.57
3039;595836.91;5887190.61;263.96
802;595835.29;5887191.71;264.28
929;595834.26;5887191.11;264.46
10006;595834.29;5887188.1;263.71
5790;595830.39;5887184.78;264.48
4123;595833.6;5887189.42;265.82
7130;595832.93;5887183.31;264.16
5844;595835.29;5887181.98;263.84
10048;595836.01;5887181.12;263.79
11268;595839.29;5887182.48;263.59
13168;595841.02;5887182.99;263.41
2787;595666.91;5887352.16;281.91
10967;595666.05;5887352.39;281.84
8196;595666.6;5887354.24;281.66
6919;595666.03;5887350.94;281.93
883;595665.23;5887349.97;280.62
570;595665.38;5887351.23;281.89
3009;595665.98;5887350.94;281.16
13539;595666.27;5887350.9;282.72
11799;595665.04;5887349.02;277.95
6998;595665.78;5887349.62;280.69
2542;595664.74;5887349.94;280.87
4422;595665.5;5887349.77;279.42
3507;595665.43;5887349.05;277.44
8949;595664.37;5887348.37;278.41
780;595664.06;5887348.27;279.71
2179;595664.57;5887349.25;279.38
4243;595665.09;5887349.49;278.47
13028;595665.33;5887350.1;278.01
6036;595665.0;5887349.11;277.7
4490;595662.92;5887350.88;278.02
5483;595666.69;5887346.74;277.66
10003;595667.52;5887347.36;277.88
9102;595666.91;5887346.63;278.55
10764;595665.81;5887345.68;278.0
11145;595667.31;5887347.49;277.84
4678;595666.9;5887347.04;277.09
13431;595668.38;5887344.2;276.91
2846;595666.39;5887343.92;278.52
12632;595667.51;5887347.16;278.84
223;595667.47;5887347.23;277.33
941;595671.44;5887341.93;274.18
502;595668.27;5887344.05;277.0
8430;595668.71;5887344.57;278.57
2389;595669.5;5887345.02;276.9
14153;595669.53;5887344.88;276.2
13821;595668.62;5887344.05;275.62
9663;595672.11;5887342.15;275.2
6193;595671.22;5887341.69;274.28
8765;595671.39;5887342.01;274.97
1202;595671.66;5887342.47;274.66
3354;595671.24;5887342.1;273.57
4362;595671.61;5887341.82;272.87
3826;595674.16;5887339.98;273.68
8164;595671.92;5887341.92;275.13
5629;595673.23;5887344.3;274.95
894;595672.46;5887342.58;275.7
11947;595672.15;5887342.14;274.8
966;595675.33;5887337.65;272.36
9120;595673.63;5887339.41;273.68
2552;595673.92;5887339.79;273.21
9244;595673.96;5887339.59;273.92
4754;595676.72;5887341.13;273.39
5058;595677.77;5887335.08;272.25
1804;595675.1;5887337.37;272.47
10576;595678.01;5887340.58;271.9
13670;595675.81;5887337.76;273.23
4304;595675.99;5887336.79;271.04
6513;595680.93;5887335.42;269.8
13881;595680.09;5887339.92;270.17
1059;595679.38;5887337.25;271.28
12853;595678.72;5887336.28;272.41
7895;595678.11;5887335.39;272.82
4019;595677.75;5887335.27;270.53
6682;595681.95;5887334.21;268.03
10862;595679.2;5887332.68;270.53
13850;595681.03;5887335.09;268.59
6948;595681.95;5887336.99;270.11
12057;595681.07;5887335.46;271.4
742;595681.21;5887332.19;267.96
3709;595681.17;5887332.02;268.59
3084;595681.6;5887334.1;271.22
8540;595683.41;5887336.92;268.5
7922;595682.06;5887333.93;267.72
3524;595694.07;5887326.96;267.25
10649;595688.39;5887319.73;264.44
11568;595683.62;5887329.84;266.83
366;595680.92;5887330.54;268.73
10063;595682.19;5887331.92;270.88
713;595684.31;5887337.23;268.08
8529;595681.27;5887332.15;267.68
10244;595685.0;5887330.87;266.23
3134;595700.51;5887323.49;266.27
9632;595692.34;5887327.2;268.96
8494;595689.64;5887328.77;270.28
9188;595685.57;5887329.84;271.07
9397;595684.14;5887331.02;271.29
11072;595680.74;5887334.46;269.49
13230;595677.52;5887335.13;272.32
4368;595680.49;5887333.49;274.91
9858;595677.47;5887335.39;272.44
12363;595858.99;5887247.62;269.56
11580;595857.28;5887248.55;268.11
2908;595857.99;5887249.32;268.04
10532;595857.86;5887248.49;264.57
9484;595858.66;5887247.13;269.34
7629;595859.46;5887247.98;269.36
6637;595859.22;5887247.47;267.5
8884;595859.9;5887245.77;271.32
4289;595860.89;5887247.32;271.29
6654;595860.58;5887246.81;269.02
2529;595868.26;5887189.37;260.45
1586;595866.07;5887189.65;260.51
2731;595868.64;5887191.34;260.33
10236;595868.21;5887189.04;258.32
9194;595870.38;5887189.73;259.51
12683;595870.19;5887189.44;258.57
10176;595865.74;5887187.51;259.99
8207;595864.92;5887186.69;261.6
372;595863.29;5887188.99;261.95
3901;595866.15;5887189.17;259.95
11073;595864.86;5887189.6;261.74
11240;595862.88;5887187.06;261.25
3218;595863.19;5887188.8;261.24
8825;595862.81;5887187.9;260.07
1802;595865.91;5887189.43;259.36
4299;595866.95;5887188.02;261.81
787;595865.94;5887189.43;259.63
10640;595866.7;5887193.24;261.42
4863;595868.67;5887191.48;258.88
9676;595867.36;5887190.54;258.71
6012;595867.25;5887190.2;259.54
4587;595866.53;5887190.28;260.58
1050;595865.16;5887189.85;261.71
6387;595864.25;5887187.04;260.79
6062;595866.6;5887189.68;259.77
5814;595868.12;5887188.55;259.58
4803;595867.7;5887189.38;261.02
258;595867.18;5887186.85;260.82
4023;595864.23;5887201.56;261.79
655;595867.89;5887193.76;261.26
5280;595868.09;5887193.74;259.63
10227;595865.4;5887192.51;259.79
4371;595865.01;5887192.22;261.33
972;595865.0;5887192.02;261.99
11123;595863.91;5887191.26;262.92
1067;595866.66;5887194.51;263.18
3829;595866.57;5887193.1;259.51
3046;595862.91;5887207.96;262.62
9778;595865.72;5887202.05;260.63
10705;595866.06;5887201.94;261.77
5110;595864.24;5887201.22;263.53
7619;595862.34;5887200.94;264.5
3885;595862.33;5887200.82;262.86
12280;595864.41;5887201.68;260.54
10053;595862.65;5887213.77;261.7
7446;595860.9;5887207.6;262.66
3768;595863.33;5887207.99;262.56
9262;595862.9;5887207.76;260.7
2473;595859.32;5887208.27;264.27
3975;595861.88;5887207.36;260.98
986;595861.71;5887218.66;260.72
13208;595860.68;5887213.0;260.6
8525;595860.12;5887212.95;262.04
11052;595856.95;5887211.73;263.46
896;595857.93;5887211.78;264.16
1440;595862.62;5887213.73;262.58
1134;595862.69;5887213.6;260.16
1853;595863.12;5887213.7;260.31
4478;595861.58;5887222.54;260.03
1992;595862.57;5887218.8;260.71
4505;595861.82;5887218.76;261.36
12065;595861.63;5887218.35;259.18
8250;595859.84;5887227.87;259.32
13892;595860.65;5887221.85;260.04
7720;595861.88;5887222.25;258.23
8869;595862.57;5887222.68;259.04
13070;595858.19;5887231.26;258.7
12418;595861.4;5887228.31;259.26
1648;595858.16;5887227.1;259.2
300;595859.83;5887227.8;257.47
6698;595857.54;5887226.44;261.3
9795;595857.83;5887226.12;262.51
9495;595858.96;5887239.57;258.47
11964;595860.36;5887231.53;258.64
8662;595858.35;5887230.98;261.55
12133;595858.36;5887231.27;257.48
11480;595854.38;5887230.6;262.29
5296;595856.44;5887243.61;257.33
11659;595854.42;5887236.96;258.51
11373;595858.23;5887238.89;261.98
12222;595859.01;5887239.53;257.09
6364;595855.64;5887246.57;260.35
3880;595857.65;5887244.66;258.52
11909;595852.02;5887239.12;258.22
5267;595856.78;5887243.58;261.22
4458;595857.0;5887244.06;257.78
6054;595854.15;5887237.84;259.01
12709;595852.89;5887249.52;261.64
3642;595856.85;5887247.65;260.55
4115;595850.52;5887241.35;259.18
6173;595855.66;5887246.67;261.08
4457;595855.59;5887246.66;258.82
7469;595851.72;5887252.32;262.18
13996;595853.51;5887249.91;261.59
2373;595852.1;5887249.4;261.54
764;595852.77;5887249.55;259.84
