from_id;to_id;flag
4601;4067;dpl
945;2524;dpl
945;1863;dpl
662;555;dpl
555;621;dpl
621;2524;dpl
4976;1455;dpl
4067;1782;dpl
1782;2068;dpl
1782;3934;dpl
301;4300;dpl
2954;1199;dpl
1636;224;dpl
4828;1930;dpl
1889;2448;dpl
224;2642;dpl
3281;3934;dpl
4218;4369;dpl
4218;1861;dpl
4218;0;dpl
4854;1827;dpl
4854;3516;dpl
4959;1476;dpl
4959;1703;dpl
990;2015;dpl
4369;4773;dpl
4773;1816;dpl
1816;2772;dpl
2772;2043;dpl
2043;4912;dpl
4912;3370;dpl
3370;5333;dpl
5333;5211;dpl
5211;5813;dpl
5813;627;dpl
627;3009;dpl
3009;2015;dpl
2015;939;dpl
1861;2138;dpl
2138;3494;dpl
3516;1017;dpl
1017;256;dpl
256;5066;dpl
939;4551;dpl
4551;1159;dpl
1159;2255;dpl
1476;3632;dpl
3632;3026;dpl
3026;4108;dpl
4108;3508;dpl
3508;4718;dpl
4718;66;dpl
66;4825;dpl
4825;2966;dpl
1703;717;dpl
717;4091;dpl
717;5827;dpl
5827;1644;dpl
1644;1596;dpl
1596;629;dpl
1596;1716;dpl
1716;5021;dpl
5021;3974;dpl
0;1477;dpl
1477;2639;dpl
2639;3883;dpl
3883;2363;dpl
2363;2194;dpl
2194;2311;dpl
2311;813;dpl
813;386;dpl
1987;1627;dpl
2255;3262;dpl
3262;1239;dpl
1239;387;dpl
1627;2874;dpl
4917;5437;dpl
2874;2254;dpl
2254;2799;dpl
2799;3308;dpl
3308;2700;dpl
2700;3770;dpl
3770;2959;dpl
2959;4454;dpl
4454;5437;dpl
5922;3429;dpl
5922;5255;dpl
5922;708;dpl
5922;6154;dpl
3429;5362;dpl
5255;3083;dpl
3083;1381;dpl
1381;4538;dpl
708;1062;dpl
2199;1653;dpl
3708;5883;dpl
3708;3095;dpl
3708;2921;dpl
3708;5130;dpl
5883;4207;dpl
4207;3484;dpl
3484;3536;dpl
6154;4624;dpl
6154;2334;dpl
6154;2389;dpl
6154;4140;dpl
2389;3279;dpl
78;1677;dpl
78;5146;dpl
1677;4130;dpl
4130;3479;dpl
3479;553;dpl
553;5141;dpl
5141;2404;dpl
2404;1653;dpl
1653;2168;dpl
5888;3659;dpl
5888;1246;dpl
664;164;dpl
664;5617;dpl
2489;1550;dpl
1550;1077;dpl
1077;164;dpl
5617;2136;dpl
2136;915;dpl
1468;5904;dpl
4630;1845;dpl
943;4086;dpl
943;5763;dpl
2749;825;dpl
825;2062;dpl
4914;4510;dpl
6019;3896;dpl
3460;3329;dpl
1547;4990;dpl
3152;5590;dpl
5590;4589;dpl
4589;3461;dpl
3461;4821;dpl
4821;328;dpl
2239;3329;dpl
5473;513;dpl
4898;1516;dpl
513;5749;dpl
513;5209;dpl
513;2026;dpl
1090;1308;dpl
5209;4323;dpl
4323;5805;dpl
2026;5397;dpl
1308;3603;dpl
3896;687;dpl
3659;4439;dpl
4439;4254;dpl
4254;35;dpl
35;502;dpl
502;2808;dpl
2808;1706;dpl
2808;4748;dpl
1246;1870;dpl
1870;2708;dpl
2708;6197;dpl
4748;4977;dpl
2921;2191;dpl
2191;179;dpl
179;989;dpl
989;765;dpl
765;2803;dpl
2803;1033;dpl
1033;2759;dpl
2759;5655;dpl
2662;4237;dpl
5130;1391;dpl
1391;4237;dpl
1399;1950;dpl
1950;1280;dpl
4290;1122;dpl
1122;2779;dpl
1516;3298;dpl
1849;5651;dpl
5651;3213;dpl
3213;4086;dpl
328;2412;dpl
4936;2965;dpl
3547;701;dpl
701;5297;dpl
5297;5239;dpl
5239;4132;dpl
4132;2965;dpl
36;4110;dpl
4110;2268;dpl
