id;cswidth;csheight
136;1.162;0.234
4889;0.59;0.59
187;0.102;0.631
998;0.115;0.644
2838;0.128;1.915
3011;0.158;1.086
1035;0.234;1.828
2050;0.537;1.767
4902;3.89;3.058
940;0.078;2.343
29;0.219;1.891
1371;0.16;0.713
4078;0.189;1.196
5160;0.4;1.302
3924;0.162;1.122
1904;0.215;1.152
1471;0.704;1.231
5494;0.96;0.96
3825;0.597;0.597
2623;0.454;1.129
592;0.406;1.679
4687;0.337;1.026
1305;0.237;1.187
6164;0.767;0.151
1898;0.396;0.876
605;0.722;0.722
3572;0.351;0.935
1410;0.717;0.631
2063;0.377;2.183
5290;0.249;0.82
5150;0.227;0.522
2156;0.578;1.424
4304;0.179;0.951
2994;0.315;1.13
4310;0.857;0.857
1312;0.396;0.676
4139;0.1;1.297
265;0.092;1.549
861;0.056;1.092
5724;1.299;2.571
434;0.354;0.93
5103;0.159;1.398
5959;0.192;1.13
2341;0.228;1.069
754;0.554;0.635
3915;0.32;0.902
4874;0.111;1.036
4844;0.599;0.785
3313;0.177;1.257
405;0.506;1.135
3873;0.219;0.94
5819;0.154;0.534
2835;1.139;0.722
1030;2.399;1.3
2369;0.286;0.787
3077;0.188;0.891
5585;2.338;1.731
908;0.138;0.833
519;0.437;0.781
2504;0.24;1.22
5938;1.084;2.578
3660;0.406;0.687
4521;0.705;0.466
4575;0.588;0.588
2304;1.901;0.938
2605;0.614;0.82
5249;0.276;0.898
575;0.281;0.968
163;0.138;0.696
4357;2.052;0.619
3514;0.476;1.012
2553;0.192;1.084
5054;0.183;0.903
3585;3.634;3.874
4005;0.252;1.663
3346;0.37;0.508
855;0.207;0.56
1970;0.524;0.524
1832;0.41;0.336
2901;0.355;0.184
2595;0.458;0.273
2084;0.498;0.122
5539;0.497;0.21
112;0.325;0.325
4066;1.166;0.874
1893;2.798;1.1
3355;0.433;0.639
4366;1.492;1.292
6158;0.069;0.581
2522;0.225;0.951
4877;0.861;0.861
1552;0.161;0.881
2122;0.124;0.625
5970;0.657;0.876
1340;0.297;0.779
165;0.238;0.911
2153;0.144;1.04
5073;0.08;0.642
2471;0.483;0.792
5901;0.277;0.557
2204;1.456;0.736
1972;1.166;1.376
1996;0.373;1.621
5723;1.907;0.334
5913;0.542;0.496
1572;0.229;0.867
1515;0.346;0.76
1508;0.084;0.38
2686;2.911;2.911
4750;1.455;1.455
2930;1.409;1.409
2892;12.511;1.512
3888;5.018;5.018
5085;0.533;0.533
3;1.286;1.286
490;4.56;4.56
4881;1.772;0.146
2206;2.619;2.068
3013;2.801;18.958
3445;2.065;2.086
3833;1.183;1.183
4626;4.155;2.22
4944;1.298;1.298
2597;0.803;0.962
249;1.538;1.538
748;1.342;1.342
6030;1.69;1.69
1868;0.653;0.653
4088;1.42;1.42
1924;1.628;0.515
3505;4.733;0.357
2398;1.302;1.302
6105;2.18;2.18
6015;4.035;2.848
4463;1.743;1.743
3909;0.771;0.771
5324;0.139;1.811
3769;2.045;2.045
714;0.332;1.275
4709;6.133;1.499
945;1.227;1.227
764;0.15;1.568
2714;0.414;1.225
153;0.198;1.487
310;0.124;1.342
3318;0.061;1.644
169;0.473;1.389
1715;2.495;2.495
1727;0.198;1.14
5189;0.567;1.318
5759;0.212;1.521
4579;8.338;1.674
2677;8.521;1.876
322;5.407;1.474
1880;0.077;1.674
391;0.314;1.78
3562;0.364;2.019
5919;0.95;2.078
4536;2.933;2.933
3921;0.206;1.344
3785;0.083;1.214
6109;0.022;1.34
4526;0.101;0.915
2807;0.106;1.296
2979;0.195;1.09
3566;0.135;1.268
4089;0.122;1.024
484;0.195;0.965
2124;0.144;0.588
5050;1.95;1.95
854;0.497;1.041
5175;0.328;2.11
994;1.356;2.596
3837;1.317;1.317
4512;0.445;0.445
3581;1.944;1.265
457;0.208;1.45
807;0.638;0.638
5191;0.114;1.222
3791;0.328;0.954
3652;0.167;1.062
3717;0.409;1.598
2417;0.91;0.91
4181;3.358;3.069
5791;0.197;0.854
3513;0.279;0.716
2186;0.259;0.887
2828;0.3;1.079
433;0.936;1.148
5065;2.372;1.598
5232;2.945;6.689
2537;2.336;3.008
3919;0.982;11.521
1746;0.339;1.703
403;5.882;7.386
4556;1.922;2.335
213;3.486;2.969
5304;0.712;0.712
578;0.407;2.621
4410;0.253;1.336
2819;0.435;2.007
2356;0.275;2.114
4562;0.417;0.946
455;0.213;7.049
5096;0.453;1.42
3760;0.917;0.917
2423;3.199;3.951
4516;0.144;1.071
2352;0.388;0.914
3319;0.168;2.197
4675;0.198;0.751
3463;1.197;1.197
3439;1.042;1.042
2449;1.432;1.432
2767;9.053;8.618
4180;0.649;1.317
382;0.15;1.59
3688;0.343;3.468
2556;2.329;2.329
206;4.899;3.0
83;5.084;2.907
921;0.255;1.307
1613;2.267;4.138
4079;0.597;2.427
2157;0.653;1.809
2505;0.238;1.546
4081;0.918;2.748
3133;0.225;1.999
1642;0.179;1.51
4189;2.267;4.739
5631;2.411;2.411
3034;2.204;1.483
5770;2.005;1.557
5989;0.207;1.816
2310;0.501;1.74
5897;0.248;1.076
1858;3.466;0.693
3697;2.531;1.484
5308;1.575;1.58
1986;0.524;2.168
1498;0.139;1.376
863;1.572;0.78
4476;0.502;4.822
1143;0.647;4.849
1885;0.844;0.844
623;1.599;2.208
6033;1.031;1.246
4485;1.968;2.762
1641;3.515;2.314
378;0.643;1.029
1004;1.763;0.865
4547;0.067;1.941
3865;0.301;4.003
46;0.288;2.745
1673;12.703;4.585
5719;0.291;1.852
1167;1.231;1.357
3049;0.278;1.84
2112;18.531;11.775
591;17.024;5.487
2855;0.464;0.517
6207;0.423;1.245
829;0.285;1.744
1279;5.163;1.886
1372;1.269;1.978
443;0.826;2.223
2995;0.27;1.428
3316;0.259;1.866
3426;0.234;1.332
5850;0.175;0.852
26;0.156;0.662
3194;0.167;0.68
4247;0.234;1.086
4717;0.107;1.193
2672;1.744;1.826
2420;0.295;1.838
5432;1.287;3.976
2924;0.313;1.653
53;0.201;1.336
1961;0.438;1.333
2943;0.225;1.411
1998;0.319;1.681
4888;3.004;4.061
6180;0.215;1.235
956;0.273;1.589
4334;2.335;1.968
3618;0.161;1.686
5928;0.571;3.475
1376;0.913;0.913
656;1.22;0.717
3944;0.231;0.485
5354;1.341;0.428
3045;1.532;0.4
809;0.308;0.63
2072;0.197;1.148
6053;0.176;1.232
688;4.036;4.264
3391;0.802;2.566
2421;0.509;2.243
175;4.301;1.616
3600;2.377;2.377
1211;0.564;2.104
2806;0.411;1.044
4609;0.304;2.826
5386;0.179;1.561
2907;0.468;0.946
1177;0.147;0.753
3367;0.073;1.159
1579;1.615;1.233
3324;0.748;0.729
846;0.912;0.907
1691;0.149;2.258
2365;1.462;3.498
1605;1.003;3.985
5026;1.732;3.86
2346;7.305;12.774
1947;17.358;18.692
3648;0.417;0.511
3089;0.252;0.783
3452;0.763;0.207
5882;0.279;0.899
4333;0.324;1.249
1118;0.188;0.358
197;2.257;1.198
4962;0.269;1.162
2712;0.105;0.425
2073;0.221;1.052
4665;0.138;1.014
1202;0.149;0.58
5023;0.272;0.446
3122;0.27;1.032
5847;0.145;0.732
935;3.266;1.469
5708;0.212;0.742
5379;0.239;0.734
1524;0.118;0.746
6088;0.287;0.823
259;0.183;0.884
1031;0.204;0.768
5961;3.347;2.316
5845;0.303;0.834
545;0.264;0.559
2710;0.118;1.123
783;0.182;0.619
505;0.172;0.73
