id;fulladdress
1155;castleton_model.ProjectX.1.0
1155;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
136;castleton_model.ProjectX.1.1
4889;castleton_model.ProjectX.1.2
289;castleton_model.ProjectX.1.3
187;castleton_model.ProjectX.1.4
5790;castleton_model.ProjectX.1.5
5790;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
1336;castleton_model.ProjectX.1.6
998;castleton_model.ProjectX.1.7
998;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
2838;castleton_model.ProjectX.1.8
3011;castleton_model.ProjectX.1.9
4800;castleton_model.ProjectX.1.10
4865;castleton_model.ProjectX.1.11
1035;castleton_model.ProjectX.1.12
1035;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
2050;castleton_model.ProjectX.1.13
2050;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
4902;castleton_model.ProjectX.1.14
940;castleton_model.ProjectX.1.15
940;castleton_model.peak_speedwell_system.speedwell_mine.near_canal.-
4631;castleton_model.ProjectX.1.16
4631;castleton_model.peak_speedwell_system.speedwell_mine.short_bypass_to_ds_long_bypass.-
29;castleton_model.ProjectX.1.17
1371;castleton_model.ProjectX.1.18
1371;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
5892;castleton_model.ProjectX.1.19
5892;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_to_main_rising.-
4078;castleton_model.ProjectX.1.20
4078;castleton_model.peak_speedwell_system.speedwell_mine.bung_to_short_bypass.-
5160;castleton_model.ProjectX.1.21
3924;castleton_model.ProjectX.1.22
1904;castleton_model.ProjectX.1.23
1904;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
1471;castleton_model.ProjectX.1.24
5494;castleton_model.ProjectX.1.25
5494;castleton_model.peak_speedwell_system.speedwell_mine.treasury_to_downstream_sump.-
1801;castleton_model.ProjectX.1.26
1801;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
3825;castleton_model.ProjectX.1.27
1486;castleton_model.ProjectX.1.28
478;castleton_model.ProjectX.1.29
2623;castleton_model.ProjectX.1.30
2623;castleton_model.peak_speedwell_system.speedwell_mine.bottomless_pit.-
592;castleton_model.ProjectX.1.31
592;castleton_model.longcliffe.-
4687;castleton_model.ProjectX.1.32
1305;castleton_model.ProjectX.1.33
1305;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
6164;castleton_model.ProjectX.1.34
6164;castleton_model.peak_speedwell_system.speedwell_mine.cliff_passage_to_cavern.-
4425;castleton_model.ProjectX.1.35
4425;castleton_model.peak_speedwell_system.speedwell_mine.lower_bung_series.-
1896;castleton_model.ProjectX.1.36
1898;castleton_model.ProjectX.1.37
1898;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
605;castleton_model.ProjectX.1.38
605;castleton_model.longcliffe.-
3572;castleton_model.ProjectX.1.39
3572;castleton_model.peak_speedwell_system.speedwell_mine.whirlpool_mining_extension.-
1410;castleton_model.ProjectX.1.40
1410;castleton_model.peak_speedwell_system.speedwell_mine.oakden_far_canal.-
5886;castleton_model.ProjectX.1.41
2176;castleton_model.ProjectX.1.42
2176;castleton_model.peak_speedwell_system.speedwell_mine.halfway_house_speedwell.-
2063;castleton_model.ProjectX.1.43
