id;idsql
1155;1
136;2
4889;6
289;11
187;16
5790;19
1336;25
998;29
2838;33
3011;38
4800;43
4865;47
1035;52
2050;56
4902;60
940;66
4631;70
29;75
1371;79
5892;83
4078;84
5160;88
3924;92
1904;96
1471;101
5494;106
1801;111
3825;114
1486;118
478;125
2623;128
592;132
4687;136
1305;140
6164;144
4425;148
1896;152
1898;157
605;161
3572;165
1410;169
5886;173
2176;174
2063;179
5290;183
5150;187
2156;191
3405;196
4304;200
2994;204
4310;208
1664;213
1312;214
3119;219
3044;223
6184;227
4139;228
265;232
861;236
5724;240
434;246
5103;250
5959;254
2341;258
754;263
3915;267
4874;271
4844;275
3313;280
405;284
2653;289
3873;294
5819;299
2835;303
1030;309
2369;316
3077;320
5585;324
908;334
519;338
2504;342
5938;346
3660;351
4521;355
4575;359
6079;363
2304;367
2605;373
5249;377
575;381
163;385
4357;389
3514;395
2553;399
5054;403
3585;407
4005;415
3346;419
855;423
5969;427
5222;429
1970;430
1832;434
5867;438
3059;442
2901;446
2595;450
2084;454
5539;458
1231;462
2774;466
3058;470
6007;474
5495;478
112;482
428;486
4066;487
3771;501
2226;502
1140;503
1893;504
3586;516
5720;517
392;521
3355;526
4366;530
6158;536
2522;540
4848;543
909;548
5747;554
4877;555
1552;556
2122;560
5970;564
1340;570
165;574
2153;578
5073;582
2471;586
5901;591
3604;595
2204;599
1972;603
1996;607
5723;611
5913;615
4224;620
6140;621
1572;622
1515;626
1508;630
1420;634
2686;635
2212;636
2087;641
4750;646
2496;651
566;660
5615;665
4062;670
2126;675
4080;680
3972;685
239;690
2326;695
5776;700
2930;707
2892;713
2892;1641
5245;719
973;724
5562;731
1506;736
5270;741
4629;746
4758;751
6046;756
1113;761
1264;768
4640;772
4577;777
5037;782
5578;787
3888;792
5085;801
5085;2110
5111;814
2409;815
2272;820
5978;831
5102;836
2321;842
4459;846
6010;851
3359;856
3468;861
2841;866
5224;871
5814;876
6035;881
5311;886
5775;891
4176;896
2613;901
4153;906
3633;911
4749;916
5605;921
2146;926
5420;931
1635;936
2887;941
4604;946
1747;951
546;960
3167;965
2325;970
5300;975
4417;984
5777;989
919;996
4873;1001
2273;1006
4952;1011
4264;1016
4472;1021
5591;1027
1574;1032
2007;1037
3;1042
1918;1059
490;1060
490;2700
4881;1061
4881;1167
2364;1063
5345;1093
2206;1098
3013;1112
3445;1120
1267;1124
2596;1130
722;1131
3833;1137
644;1142
4626;1145
1830;1158
1909;1159
658;1164
3142;1166
6142;1168
4163;1172
5042;1176
4482;1180
4102;1184
1126;1188
4192;1192
2633;1196
2980;1200
2909;1204
4944;1208
2597;1215
249;1223
249;2792
748;1228
4014;1232
286;1240
5862;1244
6143;1248
6030;1252
1868;1256
3575;1261
1323;1262
1319;1263
4946;1267
3174;1277
1394;1281
1535;1285
3941;1289
4088;1293
1924;1297
3505;1302
135;1311
5481;1315
4857;1319
2398;1323
6105;1329
6105;2925
6015;1336
4614;1342
4614;3010
3354;1343
4455;1347
4463;1351
4641;1354
4403;1359
3909;1363
5324;1368
5762;1370
4;1374
1608;1384
2614;1388
1651;1392
6009;1396
4222;1400
2234;1404
5011;1408
3769;1417
4601;1421
4601;4099
4601;7036
3409;1422
842;1426
4116;1430
714;1434
4709;1438
945;1443
945;3048
764;1447
2714;1451
153;1455
310;1459
3318;1463
169;1467
1715;1471
4427;1477
3251;1486
1727;1492
5189;1496
5759;1500
4579;1504
2677;1529
322;1543
1880;1553
391;1556
3562;1560
5919;1564
4528;1569
4536;1574
4536;3476
4536;5537
4536;5538
5486;1598
3921;1601
3785;1605
6109;1609
4526;1613
2807;1617
2979;1621
3566;1625
4089;1629
484;1633
2124;1637
5050;1645
854;1653
6144;1657
5175;1661
994;1668
3837;1676
4512;1677
6163;1681
6206;1685
3581;1686
457;1691
807;1695
3476;1699
5191;1709
3791;1713
3652;1717
3717;1721
2417;1725
4181;1730
5791;1737
3513;1741
2186;1745
2828;1749
4537;1753
5804;1758
433;1762
5065;1767
5232;1773
2537;1788
1219;1797
3919;1805
1746;1811
5020;1815
403;1823
3061;1834
871;1835
4556;1840
2154;1849
87;1853
213;1858
5304;1866
578;1871
4410;1875
2819;1879
