id;x;y;z
383;580642.92;5910694.99;293.0
1045;580643.49;5910695.72;292.09
2158;580642.74;5910693.45;285.84
523;580640.09;5910694.7;285.4
453;580642.6;5910693.1;285.34
1251;580638.67;5910694.03;284.37
960;580637.1;5910695.2;284.0
3922;580632.71;5910695.95;283.67
5613;580631.32;5910697.25;283.02
3354;580630.84;5910697.21;281.62
6068;580631.55;5910697.07;279.26
5844;580628.1;5910698.89;281.45
2185;580632.03;5910696.02;274.63
874;580630.54;5910696.85;279.5
6116;580630.57;5910696.61;274.06
6013;580628.89;5910696.92;272.4
5684;580627.64;5910697.01;271.07
5453;580626.64;5910698.01;270.25
1029;580625.99;5910697.53;269.52
40;580625.53;5910697.42;268.73
19;580624.28;5910697.12;267.33
2193;580625.27;5910697.08;267.21
4113;580626.06;5910696.51;267.59
883;580623.51;5910697.45;267.11
4589;580629.17;5910696.41;268.21
2508;580621.71;5910697.78;266.67
1629;580619.67;5910698.89;265.94
6018;580618.62;5910698.52;266.03
2315;580616.34;5910699.6;264.99
2693;580614.0;5910699.89;264.69
4401;580611.45;5910701.48;264.93
1334;580609.66;5910701.14;263.88
6146;580607.2;5910702.47;263.82
1367;580605.57;5910702.41;264.39
480;580604.23;5910703.6;264.69
448;580602.1;5910703.82;264.7
3191;580600.33;5910704.66;264.33
4039;580599.57;5910704.35;263.8
2867;580599.15;5910704.48;263.28
4444;580597.62;5910705.12;263.63
1223;580595.86;5910705.55;263.44
5543;580594.52;5910706.67;263.58
5433;580593.04;5910706.01;262.56
4101;580591.09;5910707.58;263.55
2342;580588.43;5910707.67;263.72
764;580587.09;5910708.92;263.82
4385;580584.77;5910709.15;265.29
2128;580582.15;5910710.7;265.87
2562;580581.07;5910710.4;265.68
5362;580580.63;5910711.13;265.58
4288;580579.25;5910711.62;265.93
5191;580578.2;5910711.27;266.01
1691;580577.43;5910711.38;266.14
2962;580577.59;5910711.42;266.68
2591;580575.96;5910712.05;267.47
4503;580579.61;5910710.38;264.98
4134;580578.58;5910711.87;266.75
2746;580580.94;5910710.31;265.05
2987;580580.62;5910709.57;264.83
5272;580581.16;5910709.43;264.59
4243;580582.37;5910707.54;263.69
5254;580579.34;5910712.06;267.2
1519;580578.86;5910713.03;267.31
2902;580578.7;5910713.72;268.2
2972;580578.23;5910715.23;267.91
2824;580578.04;5910716.03;268.63
5644;580577.78;5910717.13;268.05
3515;580577.54;5910718.4;267.9
1008;580577.17;5910719.28;267.84
4529;580576.87;5910720.57;267.8
5999;580576.58;5910721.72;267.79
3649;580576.43;5910722.39;267.74
1037;580576.13;5910723.52;267.64
1613;580576.01;5910724.07;267.61
920;580576.49;5910723.55;267.87
3986;580571.87;5910712.84;267.78
2702;580570.48;5910711.86;268.39
4276;580568.64;5910713.62;269.31
5948;580567.58;5910712.76;270.3
5635;580566.36;5910713.58;270.83
3578;580562.13;5910715.04;273.17
4838;580559.97;5910715.09;272.48
5630;580557.41;5910715.62;272.24
4456;580554.4;5910714.87;272.45
2154;580553.49;5910716.63;272.71
