from_id;to_id
455;617
455;311
455;708
455;209
617;180
311;672
311;456
311;717
708;5
209;637
180;266
266;199
199;157
157;92
92;300
300;689
689;22
22;727
727;115
115;422
422;114
114;17
17;438
17;509
438;7
438;740
438;381
509;27
144;229
144;614
229;616
614;726
616;644
644;564
644;516
564;76
76;734
734;751
751;181
181;747
747;580
580;416
416;654
654;287
490;563
490;287
563;315
287;222
287;96
315;106
315;453
315;65
106;160
106;65
453;735
453;141
160;631
160;530
631;612
530;746
530;506
612;360
360;537
508;387
387;424
387;664
387;439
167;73
424;390
424;226
664;572
664;484
545;427
439;178
390;386
390;444
390;162
226;401
386;423
386;420
444;420
444;603
162;514
162;206
162;732
423;730
423;465
420;348
730;415
730;254
730;4
465;551
465;58
465;723
415;672
415;742
254;397
4;398
742;668
742;486
456;186
456;2
717;202
717;591
7;635
7;258
381;86
635;447
44;369
447;657
447;34
657;261
657;566
34;330
34;197
261;161
261;194
566;11
566;330
161;400
161;298
194;68
194;469
400;213
400;533
400;23
298;148
213;704
213;646
533;625
23;646
23;148
704;726
704;596
646;318
726;721
726;327
726;477
596;472
596;257
327;15
477;60
477;128
477;472
222;695
750;521
750;208
521;678
208;265
208;262
678;185
678;85
185;710
85;296
85;578
710;131
710;500
131;187
131;112
500;419
500;539
500;260
500;66
187;383
187;440
187;350
112;66
112;440
383;29
383;308
440;339
350;67
29;551
308;492
551;701
701;242
701;723
58;348
723;581
323;265
262;214
186;505
2;405
2;496
505;77
505;173
77;660
77;532
173;405
660;120
532;37
532;458
120;527
120;37
527;278
527;576
37;685
278;534
576;619
534;3
534;333
3;421
333;554
421;548
548;690
690;16
16;540
540;326
326;27
584;450
584;364
450;197
364;243
197;359
685;583
685;319
685;1
583;586
583;499
319;466
319;302
408;499
1;499
1;358
1;531
586;125
586;61
499;417
499;72
125;523
61;554
523;519
519;126
519;100
519;145
126;21
126;437
100;621
100;74
145;21
21;706
21;606
706;334
706;666
709;14
606;395
334;243
334;349
243;573
349;697
349;14
573;718
295;388
295;198
295;722
198;366
722;707
621;344
74;681
344;417
72;412
358;560
358;466
358;234
531;38
531;615
560;341
560;466
466;324
234;177
341;475
341;63
475;335
63;50
63;56
63;478
335;737
335;517
737;146
737;656
517;607
146;495
146;195
146;451
