id;x;y;z
455;630232.15;178499.69;1776.28
617;630234.99;178497.86;1774.93
311;630228.99;178500.15;1777.19
708;630233.0;178497.62;1775.95
209;630231.57;178500.29;1775.83
180;630235.47;178498.39;1775.0
266;630235.4;178497.05;1774.96
199;630240.48;178495.84;1773.63
157;630242.26;178494.23;1773.07
92;630242.54;178491.95;1772.81
300;630245.08;178491.61;1772.23
689;630245.08;178490.82;1772.09
22;630246.92;178491.37;1771.67
727;630247.15;178490.43;1771.12
115;630248.82;178488.71;1770.41
422;630248.6;178486.42;1770.61
114;630250.24;178486.36;1770.07
17;630248.95;178484.8;1770.27
438;630251.39;178483.19;1769.6
509;630247.84;178484.56;1770.66
144;630265.97;178480.32;1767.05
229;630266.87;178477.65;1766.67
614;630264.05;178481.89;1767.68
616;630267.47;178475.53;1766.13
644;630269.59;178474.69;1765.93
564;630270.28;178475.75;1765.58
516;630269.83;178471.98;1765.34
76;630270.91;178473.88;1765.29
734;630272.75;178473.68;1764.64
751;630274.41;178472.43;1764.02
181;630276.34;178472.51;1763.6
747;630277.84;178470.9;1763.18
580;630276.95;178469.27;1763.35
416;630278.52;178468.1;1763.11
654;630280.12;178462.43;1762.02
490;630283.28;178457.71;1761.69
563;630283.23;178456.23;1761.16
287;630282.17;178460.94;1761.73
315;630283.97;178454.7;1760.75
106;630286.11;178452.71;1760.14
453;630282.39;178454.13;1761.03
65;630283.92;178452.71;1760.75
160;630287.78;178448.42;1759.68
631;630288.2;178445.33;1759.24
530;630285.83;178447.52;1760.03
612;630289.78;178445.22;1759.09
360;630291.45;178443.86;1758.63
537;630294.2;178443.35;1758.63
508;630202.3;178538.1;1792.69
387;630206.45;178529.7;1787.92
167;630252.67;178430.33;1767.18
424;630211.17;178523.86;1785.07
664;630209.39;178530.91;1786.44
545;630204.34;178532.58;1788.48
439;630206.03;178530.02;1786.99
390;630213.28;178520.63;1783.87
226;630210.74;178525.37;1785.2
386;630215.73;178518.28;1782.69
444;630213.88;178522.54;1782.79
162;630209.87;178520.83;1783.75
423;630219.27;178515.43;1781.98
420;630215.49;178520.26;1782.09
730;630222.86;178506.79;1779.91
465;630218.67;178518.19;1780.76
415;630226.76;178504.8;1778.69
254;630218.01;178508.62;1780.26
4;630222.9;178508.7;1778.66
672;630227.0;178501.13;1778.06
742;630228.05;178508.93;1778.43
456;630230.41;178498.54;1777.26
717;630231.24;178501.1;1776.43
7;630252.44;178479.92;1768.93
740;630251.04;178487.18;1770.87
381;630250.75;178482.25;1769.63
635;630253.41;178478.86;1768.47
258;630251.35;178477.13;1768.84
44;630252.29;178480.68;1769.48
447;630255.49;178477.06;1768.52
657;630256.36;178476.36;1768.33
34;630254.79;178475.44;1768.29
261;630257.48;178477.84;1768.08
566;630256.37;178476.01;1767.78
161;630257.95;178475.78;1768.12
194;630255.98;178480.83;1768.73
400;630259.79;178477.27;1768.02
298;630258.57;178475.37;1768.0
213;630260.89;178479.75;1768.07
533;630259.74;178478.39;1767.89
23;630261.01;178475.44;1767.11
704;630260.24;178482.12;1768.12
646;630262.11;178476.76;1767.18
726;630261.63;178483.19;1767.98
596;630258.63;178483.74;1768.36
721;630262.7;178486.2;1768.23
327;630266.48;178486.02;1767.2
477;630260.36;178486.94;1768.61
222;630280.77;178459.72;1761.96
96;630284.02;178459.8;1760.99
750;630226.69;178550.01;1786.19
521;630226.4;178548.58;1784.39
208;630224.17;178552.57;1788.16
678;630228.19;178546.63;1784.18
185;630229.82;178539.89;1784.16
85;630230.44;178547.62;1782.85
710;630229.6;178536.26;1780.9
131;630232.11;178528.38;1780.12
500;630234.21;178532.81;1779.53
187;630230.63;178525.76;1779.62
112;630234.07;178528.94;1779.31
383;630230.13;178520.57;1779.41
440;630234.36;178526.35;1779.25
350;630233.76;178523.19;1778.8
29;630226.2;178522.09;1780.36
308;630232.65;178519.9;1778.61
551;630225.3;178520.21;1780.48
701;630221.27;178522.88;1781.36
58;630218.25;178520.49;1781.85
723;630221.21;178520.22;1781.54
323;630223.15;178558.85;1789.61
265;630222.95;178554.69;1788.81
262;630221.92;178553.49;1786.8
186;630230.57;178496.13;1776.69
2;630226.81;178496.87;1777.33
505;630230.76;178494.61;1776.57
77;630230.17;178492.95;1775.92
173;630229.19;178494.64;1777.36
660;630232.35;178493.02;1776.13
532;630229.97;178490.92;1775.29
120;630233.56;178491.3;1775.5
527;630235.85;178492.4;1775.0
37;630232.88;178489.66;1774.94
278;630236.06;178490.54;1774.71
576;630235.06;178493.45;1774.9
534;630236.94;178489.32;1773.93
3;630238.38;178490.07;1774.13
333;630237.66;178487.86;1773.47
421;630240.28;178488.24;1773.73
548;630241.92;178486.8;1773.12
690;630243.24;178488.29;1772.94
16;630244.13;178487.67;1772.56
540;630245.98;178487.24;1771.97
326;630246.28;178485.85;1771.52
27;630247.71;178485.73;1771.05
584;630252.1;178471.37;1768.5
450;630253.14;178471.18;1767.92
364;630251.81;178470.53;1767.94
197;630254.31;178473.51;1768.34
685;630230.5;178486.21;1774.46
583;630233.79;178484.77;1773.45
319;630228.06;178487.01;1775.28
408;630231.92;178484.95;1774.02
1;630228.94;178484.48;1774.66
586;630235.15;178483.38;1772.96
499;630231.65;178482.58;1774.25
125;630237.76;178480.78;1772.16
61;630235.38;178485.85;1773.79
523;630239.34;178480.42;1771.51
519;630240.25;178478.12;1771.32
126;630241.62;178476.1;1771.09
100;630239.41;178477.15;1771.64
145;630243.02;178476.93;1770.35
21;630243.2;178474.75;1770.33
437;630240.99;178473.98;1770.84
706;630246.71;178473.57;1768.9
709;630245.42;178474.14;1769.63
606;630243.54;178472.32;1770.79
334;630247.71;178472.59;1768.96
666;630248.77;178474.01;1768.67
243;630249.83;178471.9;1768.24
349;630246.48;178471.28;1768.96
573;630248.9;178469.45;1768.44
295;630177.55;178504.03;1789.1
388;630170.34;178505.79;1790.76
198;630182.48;178501.54;1787.67
722;630176.09;178502.82;1789.28
621;630238.09;178478.14;1771.47
74;630238.51;178475.09;1771.52
344;630236.7;178479.99;1772.16
417;630234.45;178481.21;1772.9
72;630231.9;178480.45;1773.89
358;630225.36;178484.23;1775.93
531;630228.13;178481.65;1775.11
560;630221.71;178488.05;1776.95
466;630226.14;178487.25;1775.67
234;630223.56;178483.7;1775.82
341;630220.39;178491.02;1777.77
475;630214.3;178492.53;1779.07
63;630220.42;178493.48;1778.19
335;630211.69;178491.74;1779.88
737;630208.35;178488.9;1780.19
517;630206.83;178495.55;1781.33
146;630202.7;178492.78;1782.24
656;630210.87;178485.65;1779.64
495;630198.21;178495.54;1783.57
195;630199.98;178490.37;1782.61
451;630204.74;178496.0;1782.29
567;630195.65;178496.6;1784.32
