from_id;to_id
1133;260
260;642
642;929
642;493
929;566
493;1210
566;420
420;1029
420;1987
1029;170
1987;138
170;29
29;686
686;1012
1012;691
691;1490
1490;142
142;374
374;1296
138;1726
138;1157
1726;850
1726;1992
1157;843
850;434
1992;1927
434;1793
1793;21
21;1474
21;484
1474;1300
484;1762
1300;577
577;1421
577;1520
1421;491
1520;1401
491;1335
1335;197
197;1356
1356;1163
1163;2005
2005;428
428;265
265;324
324;66
66;146
146;742
742;821
821;13
13;1995
1995;1989
1401;1929
1929;1791
1791;115
115;1372
1762;782
1762;773
782;1562
773;857
1562;1140
1140;101
101;1038
101;1079
1038;675
675;1454
1454;2029
2029;1576
2029;930
1576;1759
1759;1508
1508;1834
1834;1336
1834;966
1336;1453
966;384
1453;588
588;1965
1965;19
19;1226
1226;205
205;1766
1766;1479
1479;1634
1634;168
168;848
848;1620
1620;1237
1237;355
355;582
582;1696
1696;310
310;647
647;183
183;1404
1404;114
114;761
761;1531
1531;1328
1328;1204
1204;1635
1635;364
364;17
17;1016
1016;1076
1016;1039
1076;253
1039;2013
253;441
441;1253
1253;1719
1253;1905
1719;186
1905;360
186;1435
1435;86
86;1799
1799;1669
1669;1051
1051;1358
1358;808
808;732
360;624
624;725
384;2018
2018;1134
1134;1919
1919;651
651;242
242;1078
1078;1132
1078;334
1132;292
292;1054
1054;1100
1100;1812
1812;397
397;247
247;1969
1969;1819
1819;365
365;1406
1406;829
829;123
123;997
997;1570
1570;908
908;1301
1301;735
735;359
359;1211
1211;717
717;1137
1137;349
349;503
503;1714
503;452
503;517
1714;1252
452;1659
517;1174
1252;1615
1615;690
690;1689
1689;791
1689;816
791;1127
816;487
1127;1285
1285;2054
2054;1105
1105;386
1105;694
386;1758
386;1036
694;934
1758;635
1036;557
635;705
635;978
705;1320
705;348
1320;1278
348;1420
1278;1197
1197;1147
1147;388
388;1809
1809;1524
1524;1001
1001;1944
1944;1052
1052;311
1420;110
110;1485
1485;1102
1102;1709
1102;911
1709;682
911;74
682;487
74;1734
1734;1603
1603;1324
1324;1429
1429;215
215;99
99;1169
1169;1631
1169;394
1631;164
1631;10
394;280
280;1282
1282;226
226;380
380;1032
1032;766
766;1323
1323;1797
1323;1643
1323;1294
1797;980
1294;1459
1294;1228
980;217
217;1693
217;657
1693;634
634;1543
1543;738
1228;778
778;417
778;458
778;400
417;47
400;1337
400;1808
47;1415
47;1312
1415;661
1808;1110
1808;1251
1110;1483
1251;771
771;1722
1722;663
663;480
480;1937
1937;14
14;637
637;102
102;1625
1625;1440
1440;1180
1180;176
176;1094
176;606
1094;499
606;1560
499;323
499;1316
323;1616
1316;1266
1616;494
494;308
1266;462
462;255
255;219
1560;1289
1289;1256
1256;1095
1256;1594
1095;873
1594;1652
1594;1976
873;1545
873;558
1545;1439
558;1263
558;1072
1439;1457
1263;78
1072;683
78;707
707;1951
683;1787
683;506
1787;1666
1787;1976
1787;225
1787;440
506;578
506;1698
506;770
1666;1188
225;1571
440;1086
1188;1701
1701;160
1701;1942
160;1652
1571;895
1571;223
895;578
223;1469
223;1449
1698;1492
770;1149
1492;88
88;1469
1469;1173
1173;1149
1173;1980
1980;513
1980;1519
513;643
1519;1235
643;553
553;1130
1130;1600
1130;75
1600;874
75;874
75;988
874;63
874;1214
63;1348
1214;1154
1348;1899
1899;1086
1899;1154
1086;1449
988;1670
988;914
1670;1558
1558;1542
1542;1346
1542;1557
1346;1495
1557;876
1495;189
1495;1958
189;876
1235;188
188;271
271;1442
1442;1800
1800;1525
1525;385
385;184
184;1359
184;1472
1472;1085
1085;786
786;1223
1223;1511
1511;979
979;733
733;794
794;614
614;264
614;2019
264;1513
2019;1325
2019;1818
1513;426
426;1195
1195;1080
1080;1546
