id;idsql
1374;1
1975;2
1872;3
316;4
1463;5
1538;6
1021;7
761;8
1589;9
360;10
1609;11
1575;12
1815;13
109;14
342;15
1830;16
731;17
1524;18
975;19
377;20
254;21
776;22
1518;23
1156;24
1422;25
1328;26
1843;27
1026;28
693;29
1845;30
705;31
98;32
1237;33
1565;34
1151;35
723;36
1433;37
1695;38
1498;39
1492;40
555;41
931;42
1790;43
1392;44
29;45
1998;46
1799;47
1455;48
232;49
442;50
2040;51
1733;52
215;53
1767;54
522;55
1451;56
1650;57
1703;58
1111;59
575;60
767;61
598;62
984;63
1415;64
1899;65
1426;66
716;67
810;68
1031;69
1801;70
495;71
463;72
583;73
1142;74
458;75
1163;76
1012;77
725;78
848;79
813;80
424;81
175;82
173;83
1616;84
382;85
1986;86
862;87
255;88
443;89
778;90
624;91
417;92
562;93
1982;94
794;95
584;96
1905;97
659;98
285;99
669;100
472;101
1496;102
1305;103
159;104
936;105
987;106
544;107
303;108
1716;109
839;110
1613;111
1792;112
1363;113
294;114
800;115
261;116
1850;117
401;118
79;119
930;120
307;121
1577;122
405;123
1198;124
1341;125
1535;126
59;127
1626;128
2016;129
1333;130
803;131
101;132
1957;133
387;134
1091;135
1544;136
1723;137
828;138
1527;139
1552;140
1443;141
1284;142
908;143
1672;144
588;145
392;146
1172;147
237;148
407;149
1863;150
685;151
1712;152
1076;153
1402;154
1066;155
663;156
712;157
1093;158
1720;159
471;160
568;161
1131;162
408;163
486;164
946;165
1908;166
64;167
110;168
219;169
1207;170
399;171
1465;172
1356;173
192;174
1907;175
1907;299
1821;176
1714;177
1611;178
2054;179
1926;180
1089;181
1585;182
1195;183
1595;184
1248;185
713;186
753;187
1478;188
1484;189
355;190
945;191
1289;192
510;193
1105;194
378;195
76;196
1601;197
879;198
120;199
739;200
1364;201
38;202
870;203
1525;204
1102;205
710;206
439;207
49;208
530;209
1035;210
628;211
1336;212
1395;213
732;214
1874;215
323;216
1397;217
1568;218
1191;219
164;220
1728;221
866;222
317;223
200;224
1887;225
1529;226
1963;227
838;228
882;229
1889;230
902;231
2028;232
649;233
1782;234
1023;235
1258;236
944;237
108;238
1550;239
670;240
662;241
415;242
893;243
123;244
782;245
1106;246
500;247
1070;248
1265;249
1048;250
379;251
1276;252
432;300
678;310
619;358
1178;403
998;450
957;503
1242;563
762;603
352;626
300;665
714;707
982;763
1458;815
81;854
1555;899
1649;923
1309;953
790;986
1104;987
1604;1029
1634;1044
590;1075
1444;1109
1405;1140
1405;4417
1597;1180
490;1214
82;1215
1384;1240
511;1275
210;1296
1579;1320
18;1334
1486;1349
428;1362
1869;1373
818;1388
1247;1419
1053;1448
245;1465
1931;1487
1931;1493
1161;1488
763;1498
1691;1503
1202;1511
1371;1530
513;1543
1170;1548
1068;1553
293;1570
1054;1589
1878;1612
1773;1631
1118;1636
419;1654
1841;1671
1181;1692
2005;1713
36;1734
1824;1755
911;1779
615;1799
380;1821
1581;1837
1306;1855
1607;1883
470;1905
680;1922
239;1934
389;1961
1249;1986
1765;2009
185;2036
1133;2060
1709;2080
953;2099
1408;2120
1646;2150
52;2165
1259;2185
489;2204
1149;2229
740;2257
1860;2283
1751;2299
1991;2308
1996;2315
2046;2323
1740;2348
75;2366
1632;2378
1108;2404
476;2428
452;2447
1732;2453
2027;2475
1452;2497
1693;2517
1223;2531
1479;2545
856;2562
1939;2589
1580;2605
557;2622
1758;2630
1807;2648
636;2663
