id;x;y;z
1276;731832.4;6298335.75;411.86
1276;731834.98;6298332.46;412.06
1276;731833.29;6298334.69;418.9
1276;731834.62;6298333.16;410.49
1276;731834.66;6298332.72;412.05
1276;731834.83;6298332.13;412.05
1276;731835.2;6298332.75;411.99
1276;731836.13;6298333.58;411.93
1276;731838.69;6298335.9;411.61
1276;731839.5;6298337.77;411.38
1276;731839.46;6298339.09;411.23
1276;731839.79;6298340.85;411.24
1276;731841.62;6298344.98;410.74
1276;731841.95;6298347.8;410.72
1276;731841.75;6298349.43;410.73
1276;731842.85;6298352.56;410.53
1276;731842.28;6298351.01;408.56
1276;731842.08;6298347.72;408.54
1276;731840.58;6298343.93;408.59
1276;731839.57;6298342.27;408.48
1276;731838.81;6298337.75;409.51
1276;731836.66;6298335.36;410.17
1276;731835.04;6298333.47;410.83
1276;731834.54;6298333.21;410.44
1276;731831.89;6298334.75;412.52
1276;731832.83;6298334.87;411.31
1276;731834.73;6298336.7;410.56
1276;731837.43;6298339.69;409.7
1276;731832.69;6298335.77;412.03
1276;731833.03;6298337.09;412.01
1276;731833.74;6298338.63;412.14
1276;731834.26;6298338.58;412.08
1276;731834.63;6298337.05;412.06
1276;731835.41;6298337.63;412.01
1276;731835.97;6298338.28;411.78
1276;731836.74;6298339.43;411.95
1276;731838.58;6298343.88;411.75
1276;731836.45;6298339.03;415.68
1276;731834.77;6298336.39;414.81
1276;731834.33;6298337.93;415.28
1276;731833.49;6298339.03;415.76
1276;731832.02;6298335.68;414.73
1276;731832.64;6298335.76;416.88
1276;731833.29;6298337.1;419.09
1276;731833.69;6298336.89;419.08
1276;731833.35;6298335.17;419.3
432;731836.75;6298339.7;411.03
432;731839.31;6298338.38;411.15
432;731838.98;6298337.85;415.93
432;731838.69;6298338.45;409.51
432;731837.7;6298342.4;410.45
432;731838.24;6298343.72;411.01
432;731838.99;6298346.51;410.73
432;731839.3;6298349.71;410.96
432;731841.02;6298359.86;410.36
678;731839.73;6298349.07;408.62
678;731841.85;6298348.43;408.66
678;731839.58;6298348.19;415.04
678;731840.67;6298348.8;408.22
678;731839.98;6298351.61;409.57
678;731840.03;6298352.96;411.04
678;731841.03;6298359.03;410.95
678;731842.04;6298361.72;411.04
678;731843.04;6298363.77;410.9
678;731842.73;6298356.04;410.45
678;731841.94;6298350.67;409.68
678;731841.84;6298349.56;409.47
678;731841.68;6298346.85;409.83
678;731840.87;6298343.4;410.85
678;731838.63;6298336.77;411.84
678;731838.69;6298345.07;409.95
678;731839.56;6298348.27;409.07
678;731839.98;6298342.96;411.88
678;731840.91;6298346.75;411.42
678;731839.56;6298344.42;413.46
678;731838.91;6298346.33;412.17
678;731838.11;6298342.65;415.3
678;731838.69;6298344.03;414.98
678;731839.41;6298345.02;414.5
678;731839.79;6298346.31;414.82
678;731839.77;6298348.1;414.95
678;731840.13;6298349.55;414.39
678;731841.52;6298349.88;411.03
678;731841.32;6298350.67;413.15
678;731841.7;6298352.42;412.76
678;731840.87;6298352.73;415.4
678;731841.29;6298354.02;415.59
678;731841.54;6298355.06;416.13
678;731841.78;6298356.49;416.08
678;731842.1;6298357.72;415.43
678;731843.06;6298361.74;417.35
678;731843.3;6298362.26;416.17
678;731843.85;6298363.15;415.08
678;731846.66;6298374.64;416.88
678;731843.31;6298364.41;414.3
678;731841.83;6298359.25;414.23
678;731841.43;6298356.63;413.95
678;731840.99;6298353.68;414.09
678;731840.44;6298353.59;413.15
678;731840.89;6298357.62;413.41
678;731841.24;6298359.14;412.28
678;731842.52;6298362.03;412.25
619;731840.28;6298356.88;410.52
619;731842.75;6298356.37;410.35
619;731842.08;6298357.94;415.54
619;731841.96;6298356.58;409.17
619;731840.71;6298358.42;410.52
619;731841.46;6298360.75;410.66
619;731842.35;6298362.62;411.08
619;731844.71;6298373.3;411.95
619;731845.84;6298377.44;415.8
619;731846.44;6298374.44;416.29
619;731844.95;6298364.9;412.72
619;731845.29;6298364.55;411.21
619;731843.18;6298357.34;410.67
619;731843.31;6298358.36;411.72
619;731843.11;6298359.71;413.12
619;731841.88;6298360.21;414.26
619;731841.16;6298359.13;412.18
619;731840.74;6298357.64;410.06
619;731841.63;6298356.8;409.22
619;731839.77;6298354.89;409.38
619;731840.11;6298355.82;410.81
619;731839.88;6298355.11;411.06
619;731838.28;6298353.71;411.41
619;731838.41;6298353.5;412.97
619;731839.39;6298354.06;413.14
619;731840.33;6298354.07;412.63
619;731839.94;6298353.8;411.89
619;731839.26;6298353.78;411.45
619;731838.65;6298353.8;411.53
619;731840.07;6298353.15;411.33
619;731839.61;6298349.34;411.66
619;731836.16;6298333.03;413.0
619;731837.59;6298336.35;410.19
619;731838.88;6298340.15;408.91
619;731839.73;6298343.06;408.33
619;731839.82;6298346.86;408.29
619;731840.1;6298349.08;408.34
619;731841.31;6298352.55;408.36
619;731841.47;6298354.06;408.6
619;731841.4;6298355.5;409.14
619;731842.66;6298355.42;410.37
619;731842.61;6298353.5;410.28
619;731842.47;6298351.72;410.19
619;731842.02;6298350.37;410.15
1178;731843.12;6298365.68;410.75
1178;731845.41;6298365.23;410.79
1178;731843.99;6298365.43;409.74
1178;731842.36;6298362.64;410.99
1178;731842.92;6298364.73;410.79
1178;731843.15;6298365.63;410.8
1178;731843.33;6298367.16;411.25
1178;731843.81;6298370.88;412.38
1178;731845.02;6298374.0;412.59
1178;731846.14;6298378.62;414.85
1178;731847.07;6298371.72;412.9
1178;731845.88;6298367.81;412.15
1178;731845.57;6298366.49;411.98
1178;731845.35;6298365.5;411.89
1178;731845.87;6298372.02;415.88
1178;731845.07;6298368.96;416.53
1178;731844.46;6298367.25;416.53
1178;731843.66;6298365.52;416.79
1178;731843.4;6298364.46;416.33
1178;731843.19;6298365.75;412.64
1178;731843.66;6298367.15;413.24
1178;731844.02;6298370.01;414.07
1178;731844.19;6298373.86;416.2
1178;731844.82;6298376.18;415.53
1178;731848.84;6298378.26;415.96
1178;731845.21;6298373.79;412.13
1178;731846.44;6298374.58;411.84
1178;731847.09;6298374.21;411.65
1178;731845.83;6298370.81;410.76
1178;731844.52;6298369.96;410.58
1178;731843.65;6298367.67;410.53
1178;731845.68;6298366.75;410.49
1178;731844.92;6298367.75;409.96
1178;731844.44;6298367.08;409.86
1178;731842.81;6298364.08;410.46
1178;731841.59;6298360.12;409.94
1178;731842.1;6298359.97;409.7
1178;731842.61;6298357.66;409.57
1178;731843.71;6298359.76;410.04
1178;731844.62;6298361.91;410.46
1178;731844.56;6298363.07;412.33
1178;731842.34;6298360.19;417.16
1178;731842.61;6298361.65;415.02
1178;731843.84;6298362.42;413.82
1178;731842.59;6298362.71;413.39
1178;731842.52;6298362.91;411.71
998;731844.85;6298378.34;415.24
998;731849.24;6298374.2;414.5
998;731846.65;6298376.98;415.77
998;731846.73;6298376.57;412.31
998;731843.27;6298376.35;415.11
998;731842.54;6298375.2;415.21
998;731842.95;6298373.71;416.07
998;731843.02;6298373.32;416.8
998;731843.53;6298372.5;415.7
998;731844.17;6298372.56;414.66
998;731843.38;6298370.4;413.95
998;731843.62;6298370.26;413.86
998;731843.75;6298369.32;413.62
998;731843.6;6298366.49;412.54
998;731843.18;6298363.9;415.3
998;731842.96;6298363.09;415.9
