id;cswidth;csheight
3623;4.2;4.2
5176;1.15;1.8
8621;1.65;1.65
6668;2.02;2.27
752;7.12;5.86
1519;1.56;2.89
3016;6.95;6.95
9128;4.97;23.02
506;0.65;1.9
1396;1.19;0.91
3090;0.55;1.66
1528;5.66;5.33
3697;2.05;1.87
2938;1.83;2.26
5262;0.41;1.76
9421;0.33;1.79
1289;2.4;1.77
5100;1.68;2.03
3595;6.42;1.98
7838;1.73;1.6
5384;2.68;1.24
9038;1.13;1.39
232;1.2;1.2
1340;1.57;1.96
7337;0.21;1.96
4501;0.99;1.76
7679;0.24;1.93
7977;1.1;1.1
5052;1.19;1.71
3414;2.7;2.01
2764;10.38;1.64
748;9.78;1.52
7688;7.42;1.59
9093;3.77;3.77
7217;9.72;2.31
6584;0.18;2.0
1647;3.14;4.21
5670;1.51;2.88
8755;1.27;1.62
1839;1.47;1.79
4411;1.07;2.07
10054;8.1;1.67
10145;1.92;1.62
7771;1.08;1.51
5086;6.92;1.5
5099;1.02;1.61
9744;1.08;2.1
1552;0.63;1.09
2019;1.99;6.32
5158;2.3;2.11
517;3.81;2.98
2160;0.83;0.83
6103;1.74;1.09
8442;1.16;1.16
4370;3.08;3.08
813;1.04;3.3
3044;1.39;14.95
7268;1.06;3.66
4718;2.27;2.27
3247;7.53;13.43
6900;1.35;14.61
2559;1.93;3.91
7568;1.01;0.53
9395;1.51;1.22
5549;0.66;2.19
3749;9.83;2.52
6361;1.5;1.29
5790;2.44;2.44
9347;0.28;2.27
4212;1.38;1.43
9819;5.39;3.44
1510;1.53;0.95
5493;0.8;0.8
802;1.29;1.29
8112;3.87;2.1
798;1.19;2.15
10042;0.19;1.67
2887;2.8;2.8
2028;1.88;1.42
8785;2.37;2.37
1175;0.49;1.77
8746;1.64;1.64
2894;1.2;1.28
4354;1.93;1.93
1365;0.49;2.96
2428;1.27;1.27
6662;2.64;3.87
4310;1.11;1.99
3714;0.88;2.05
2137;3.38;2.04
4639;0.97;4.58
2796;2.59;2.59
5337;1.22;0.7
2729;1.09;2.62
691;1.04;2.49
6034;0.63;0.63
5123;0.21;1.26
6778;6.55;6.55
6935;1.82;9.08
4255;1.51;16.11
1044;2.46;13.54
7416;1.42;9.0
2379;1.05;5.47
1802;1.53;3.05
8165;4.53;3.82
9530;1.12;2.1
7815;2.68;5.47
9310;0.83;1.44
181;0.38;1.6
2269;1.11;1.11
3844;2.53;4.63
2723;1.29;3.66
3971;1.21;2.06
5995;0.3;4.37
2175;0.58;2.92
6652;1.49;11.79
7757;1.41;1.41
5405;0.67;4.86
10037;1.08;3.68
5120;1.65;1.65
586;0.04;4.02
7142;3.46;6.23
8914;1.37;1.53
9931;2.13;1.74
977;1.99;6.42
8581;0.89;0.89
2656;1.65;1.82
754;0.47;0.68
4715;1.69;1.69
7651;1.15;0.47
7389;0.22;2.04
3597;0.23;0.64
414;0.37;3.12
2141;11.29;4.51
8258;0.35;2.49
8411;1.85;1.5
7124;0.57;1.84
3624;1.76;1.76
872;1.92;1.88
2297;1.45;1.77
9274;0.59;1.1
1863;3.73;2.17
5858;2.16;3.4
7789;7.15;11.91
3771;5.32;22.54
9654;4.81;4.81
3638;1.64;3.16
3203;1.16;3.32
9521;2.6;5.82
9015;2.54;3.14
7147;2.78;3.96
1546;2.2;2.2
3578;2.53;2.53
10246;2.98;3.23
5446;2.51;3.27
1361;0.36;1.62
3974;0.42;0.95
9162;0.47;3.37
3544;7.57;7.57
5684;3.04;1.93
9125;5.46;1.56
9480;9.22;5.04
6753;0.15;3.45
2666;3.88;4.51
485;4.34;4.8
5420;2.39;2.39
3887;2.79;2.23
2208;1.43;16.5
4796;8.62;8.62
8985;4.43;13.68
1058;4.81;10.47
3424;2.0;8.75
6521;7.56;25.3
8933;1.22;17.34
7990;5.44;13.6
6126;1.9;1.9
170;0.33;3.91
9490;1.49;1.75
8698;3.32;5.33
9762;1.06;1.06
3402;0.42;1.82
5676;0.02;2.25
6487;0.69;0.69
5688;3.86;4.33
4702;2.92;6.96
5844;0.31;2.9
5240;0.45;5.4
928;1.62;1.62
1017;4.66;5.0
6717;0.26;2.04
934;0.21;5.39
6131;2.88;2.88
5926;4.58;10.28
694;1.12;1.12
97;1.29;0.78
1639;6.0;37.4
952;2.85;41.27
8889;7.03;24.42
697;9.32;2.39
2747;4.83;9.19
6044;2.72;2.69
6183;3.29;3.29
1899;1.58;2.78
7064;4.49;4.45
2120;0.91;6.63
4315;5.34;4.98
4360;3.54;2.54
0;3.08;2.38
2009;2.5;2.32
1147;1.64;16.66
898;8.48;6.16
9524;3.37;2.49
9610;1.3;5.11
9949;3.17;7.77
5955;6.74;19.36
493;0.8;13.4
6773;0.09;1.69
999;0.63;14.31
9950;5.08;15.91
4160;1.65;2.55
3493;1.26;1.72
8997;5.41;5.41
9182;0.53;6.28
2589;9.97;11.72
854;6.41;6.41
1170;0.77;5.03
2071;1.86;6.43
1587;1.38;4.94
6774;0.87;4.88
7451;1.37;9.48
2631;1.39;9.4
1243;0.88;1.76
6497;10.33;9.16
9222;8.36;3.66
2187;2.6;3.29
1594;3.19;10.14
7321;6.52;6.52
319;3.37;6.85
1196;8.71;14.0
1541;2.12;2.12
4498;1.22;4.43
3507;0.06;1.94
7724;0.51;2.97
5894;11.03;14.19
4591;0.95;2.36
6359;0.43;3.06
8033;0.19;1.9
8766;1.71;6.62
8459;1.67;5.18
7973;0.37;1.75
2189;0.22;1.9
2308;5.56;5.56
7669;0.41;2.32
