id;cswidth;csheight
8196;0.65;0.94
8214;2.53;2.04
8247;2.56;2.56
8259;0.76;1.24
77;3.82;2.58
8276;0.33;4.04
8281;2.39;2.39
8298;3.67;3.64
8316;0.79;4.82
8320;2.27;3.63
8334;0.47;1.22
146;2.49;0.76
159;0.94;3.85
8367;2.96;5.57
8374;0.57;1.53
8375;1.67;10.58
188;0.37;1.14
8385;3.0;4.7
8404;2.88;3.74
8421;0.33;2.52
289;0.63;4.84
315;0.28;0.1
317;3.3;1.71
320;6.3;1.76
8538;0.53;1.63
373;0.41;1.23
8569;2.69;3.58
388;3.19;1.77
8636;6.22;5.99
470;0.43;4.79
489;0.78;2.35
516;0.85;4.78
8712;8.47;9.06
8718;11.71;5.68
8723;7.41;10.5
553;0.99;2.75
566;8.66;3.12
617;4.09;5.46
8816;1.63;1.36
625;8.27;28.58
629;2.17;3.62
654;5.04;6.48
720;1.71;1.39
8912;1.68;1.28
8940;13.74;20.51
8944;4.45;4.45
755;16.46;1.76
8991;2.81;1.01
808;25.68;6.94
9002;0.84;1.63
9003;1.87;0.28
9037;0.35;1.91
9060;0.37;1.13
868;5.87;6.02
880;2.95;2.8
914;0.84;2.66
9112;0.61;2.46
9115;0.87;0.87
9119;4.17;2.16
9144;1.23;2.47
966;2.83;4.65
9189;6.9;3.22
1011;10.34;6.03
9221;1.22;7.93
9223;2.14;4.36
9228;12.9;12.9
9233;4.16;2.59
1061;1.16;1.16
1063;0.6;1.57
9267;0.71;1.93
1080;1.24;7.05
1089;0.47;0.85
9291;8.91;11.07
1116;3.55;4.34
1143;0.73;4.31
9348;1.34;3.38
9352;1.29;4.43
1188;2.55;0.49
9384;0.32;2.56
1232;0.67;2.67
1244;1.06;1.56
1260;3.27;5.74
1277;0.46;1.35
1284;0.36;0.96
9486;0.79;8.81
1297;4.32;3.31
9495;0.26;1.42
9509;0.53;2.23
9514;0.43;0.75
9516;7.83;13.18
1342;2.58;2.58
1363;4.12;4.12
1369;12.47;3.76
1375;2.37;2.33
1393;1.87;1.87
1403;6.29;1.07
9603;3.67;3.67
9614;0.39;0.84
1443;6.41;4.21
1456;0.43;0.7
1477;0.37;1.25
9671;11.14;3.89
1498;0.36;1.23
9692;3.53;1.16
9718;0.32;1.25
9737;4.93;4.93
1560;0.85;1.3
9767;0.63;0.69
9768;0.51;2.36
9780;0.28;1.11
9816;3.85;3.85
1669;17.17;3.64
1696;1.83;4.56
1706;1.09;1.16
1710;1.9;1.45
9935;0.95;0.95
9940;0.13;1.13
9976;25.83;8.25
9984;4.75;5.62
1810;3.67;1.18
1815;3.48;3.48
1823;0.55;4.51
10023;0.47;2.61
1862;1.16;5.81
1865;0.24;2.51
10078;2.69;10.91
10081;5.6;1.16
1922;0.56;4.09
1927;0.25;0.92
1947;2.89;2.89
10144;3.26;4.97
1954;1.57;4.58
10167;2.66;3.83
1990;1.73;1.45
1998;1.25;1.25
2014;2.02;3.74
2044;7.92;7.25
2050;4.44;4.44
2072;8.22;2.04
2073;3.24;5.09
10268;7.48;2.2
2077;1.73;1.89
2109;2.37;10.64
2136;2.28;9.48
2152;5.48;1.64
2168;0.75;1.81
2278;1.19;4.09
2289;0.93;1.12
2326;0.66;3.61
2331;0.29;1.94
2341;0.61;1.2
2372;1.28;1.63
2388;0.15;1.02
2429;27.33;31.73
2446;0.49;1.39
2449;0.15;1.53
2491;3.94;3.94
2528;5.82;1.01
2545;0.29;2.15
2595;2.01;5.62
2597;1.16;0.96
2629;0.87;5.97
2644;2.27;2.55
2648;7.88;3.68
2651;7.09;2.65
2683;1.75;0.72
2703;3.32;3.52
2776;0.18;1.55
2788;3.73;2.46
2805;4.16;1.54
2825;2.68;0.83
2833;0.23;1.08
2839;0.72;4.86
2944;0.34;2.75
2948;0.5;1.61
3011;3.3;4.5
3037;0.78;3.87
3039;2.25;6.97
3064;0.46;1.79
3070;0.69;1.85
3106;0.8;6.89
3127;3.11;1.9
3141;6.07;3.01
3146;1.21;0.51
3198;3.13;12.81
3199;0.54;0.27
3206;1.33;6.93
3216;7.45;3.57
3226;3.87;1.37
3255;1.01;6.82
3286;0.54;2.17
3287;5.94;13.52
3301;5.35;2.58
3311;0.84;1.79
3334;6.5;2.49
3389;1.91;0.86
3399;0.77;8.84
3420;3.49;5.99
3489;1.39;2.68
3511;0.31;1.63
3539;0.37;0.84
3579;15.93;43.91
3594;0.82;4.1
3599;2.1;1.35
3609;1.93;2.18
3647;0.81;5.46
3667;0.71;1.11
3670;2.04;10.35
3683;4.38;8.13
3684;4.1;4.1
3730;2.88;9.62
3733;8.67;5.29
3736;1.32;1.98
3811;1.61;0.94
3860;0.86;1.9
3999;0.91;3.02
4009;4.42;2.96
4024;0.76;3.0
4025;3.34;12.28
4204;1.81;5.62
4236;7.73;7.3
4242;8.03;3.21
4263;11.86;4.41
4285;5.93;15.55
4300;0.73;2.65
4306;3.8;3.8
4338;1.09;2.71
4378;2.15;2.15
4463;7.83;2.29
4485;1.22;1.69
4557;8.86;7.65
4590;4.37;3.64
4602;0.58;2.69
4623;6.78;5.51
4645;10.56;5.01
4664;2.65;12.95
4723;2.02;3.25
4765;13.23;1.76
4769;5.21;4.5
4800;0.09;1.4
4819;3.47;7.34
4887;0.64;2.68
4919;1.85;1.58
4923;3.37;3.37
4996;12.75;4.13
5039;0.3;3.45
5062;0.31;1.64
5064;2.12;2.43
5144;1.75;10.68
5190;1.13;3.76
5217;1.39;10.49
5312;0.73;3.97
5355;6.55;0.43
5367;3.45;4.19
5452;21.07;7.65
5453;6.19;11.29
5458;0.26;0.26
5470;0.25;2.38
5498;2.93;0.65
5499;5.48;5.48
5543;2.98;1.72
5563;0.34;1.71
5565;0.63;1.59
5584;1.1;1.62
5624;0.87;1.89
5666;0.58;2.33
5719;17.39;7.56
5746;2.13;1.24
5750;0.34;1.93
5793;0.2;1.36
5825;0.91;2.18
5837;1.89;1.89
5843;2.02;16.38
5917;0.72;0.98
5921;0.13;1.05
5997;0.43;1.44
6054;0.89;6.75
6065;0.78;1.76
6104;0.75;1.54
6173;14.16;30.35
6182;20.59;20.59
6271;1.77;1.72
6276;3.87;3.87
6283;0.48;1.96
6299;6.23;6.23
6396;0.93;1.35
6400;10.19;6.34
6410;2.07;0.92
6525;2.07;10.01
6535;1.7;2.47
6566;0.8;2.19
6567;8.57;1.59
6571;0.15;2.74
6596;17.53;12.6
6656;2.28;3.02
6669;5.96;7.93
6683;8.88;1.72
6740;1.66;1.09
6809;0.42;2.52
6817;6.16;1.15
6821;1.63;2.02
6825;0.1;3.0
6846;1.76;1.6
6854;5.88;5.88
6925;9.09;1.45
6944;4.83;4.83
6951;1.32;0.68
6963;2.07;2.02
6967;18.8;12.07
7007;2.05;2.1
7038;5.2;3.47
7099;0.46;3.12
7114;0.7;5.07
7146;0.5;1.73
7162;5.15;8.11
7165;9.95;4.02
7193;12.4;7.57
7201;0.69;2.61
7215;1.72;1.72
7270;0.56;2.11
7277;5.4;1.47
7286;0.51;1.7
7289;1.42;2.42
7316;0.29;1.43
7352;7.76;6.38
7353;0.58;0.03
7355;1.8;3.76
7356;2.89;2.89
7381;2.56;1.28
7423;0.58;1.89
7518;2.08;3.06
7523;4.52;8.37
7525;0.2;0.89
7554;0.42;1.49
7582;1.26;7.28
7656;2.66;2.85
7668;3.86;3.86
7738;0.26;1.18
7746;0.88;1.43
7817;0.72;0.37
7823;4.94;2.02
7865;3.42;2.59
7912;1.87;1.41
7920;3.68;3.36
7937;3.54;0.67
7974;0.45;2.41
7979;2.56;2.56
7997;14.03;14.03
8184;3.22;2.34
