from_id;to_id
4096;2984
2057;2393
2057;3400
10250;7723
6155;9836
6155;2622
2059;4233
2059;2896
2061;2413
2061;9750
4110;5524
10255;350
10255;7323
8205;9730
6160;7376
6160;2016
6162;2984
2067;9432
2067;769
2067;4943
2067;9315
2067;862
2067;5354
2067;7374
10260;7805
10260;9230
8211;5698
6169;6447
27;2233
27;6814
2076;9432
2076;9699
2076;769
2076;4950
2076;2892
2076;3838
2076;8533
2076;5266
2076;6432
4131;2984
4135;9455
2089;5265
2089;3024
4146;4426
4146;5455
4148;4434
4148;318
53;3963
8245;9699
6199;6847
6199;4693
54;8019
8248;467
8248;6500
8248;6504
8248;10067
8248;7478
8248;6996
8248;3510
8248;9229
52;5698
6203;9919
6203;8591
8252;4943
8253;5242
8253;6294
4158;2868
2105;9770
2105;2393
6209;5524
6210;9432
6210;7274
6210;2868
6210;2514
6210;7029
6210;374
6210;4336
2115;7553
6213;4647
8264;769
73;3252
73;8051
72;5524
8266;1631
8266;6096
2124;4722
2124;3586
4173;6447
8270;8591
8270;6031
8272;9432
8272;7553
8272;4647
8272;339
8272;305
8272;8653
8272;6511
8272;4650
8272;4325
2133;5524
6232;3586
6232;3339
4185;3605
4185;5082
4185;8948
4192;1935
4192;4823
6240;5795
6240;4458
6240;5251
6240;3695
6240;125
6240;6872
8293;645
8293;3668
4199;2017
4199;6143
107;6887
8301;9432
8301;3963
8301;7723
8301;2694
8301;8954
8301;2711
8301;9154
8301;4459
6259;9319
6259;4434
116;2853
116;1031
6261;1948
2058;8585
2058;9334
2169;7295
2169;1475
8322;1117
8322;8989
8322;1608
132;5381
132;3337
4233;671
8331;5524
4237;5278
4237;9867
4237;7384
4237;651
4237;687
4237;8911
4237;2550
4237;9096
4237;926
4237;5448
143;3321
143;3012
6294;2859
8343;4570
8343;3321
154;2299
154;9624
8349;6447
4258;8486
4258;9951
4258;2413
8355;8996
2217;9624
2217;3091
6318;3963
6322;475
6322;869
2227;2632
4278;3527
4278;9326
2232;7848
2232;4288
2233;279
2233;7118
186;9730
4283;8996
4283;2853
2236;2896
2236;2739
4280;8386
4280;677
4288;1919
2240;9432
2240;4943
2240;7553
2240;5219
2240;8796
2240;2763
2240;8452
8386;9410
195;3847
195;8679
8393;394
8393;7986
8393;1671
8393;6658
8393;897
6346;1023
6346;392
2251;2984
2253;3807
2253;8750
6355;6550
6355;1638
6358;8055
6358;4515
6360;2632
8413;4675
8413;6754
8418;2660
6371;8948
229;1070
2279;5251
4333;9387
4333;10203
2287;4816
2287;5381
4343;1549
2299;8516
2299;10076
253;9699
6398;5711
6398;3081
256;7777
256;3669
8450;9792
8450;3807
8451;7723
2323;2931
279;6022
8474;5401
8474;5032
8486;358
296;5111
2345;2660
6442;9288
2347;1549
301;3954
301;501
6447;2984
6447;5884
6447;9980
6447;2026
6447;3927
6447;1395
6447;5502
6447;3761
6447;5430
6447;2934
6448;8123
6448;6974
6461;3082
6461;6094
318;358
8516;7563
8516;3005
8517;7715
4426;331
331;1530
8522;5524
333;8019
4430;5524
2382;5698
2382;3463
2382;8579
2382;3799
2382;5991
2384;8019
6485;1517
6485;1238
349;9894
349;3955
350;1308
8548;5836
8548;9921
357;3192
357;822
6500;1948
6500;4635
6500;4625
6500;1242
6500;3603
8553;5278
8553;3707
4458;5795
4458;1805
4458;8984
4458;5376
363;5251
4461;1192
4461;7828
6514;5269
6514;519
2423;3605
2423;4503
2423;6921
375;2984
376;2679
8570;1825
8576;394
392;5242
8585;3406
394;9455
394;7769
394;5308
394;3305
8587;9200
8587;8747
