id;x;y;z
4096;361261.66;4785314.59;1865.27
2057;361132.99;4785444.39;1345.51
10250;361284.14;4785291.04;1842.6
6155;361327.74;4785282.64;1569.81
2059;361341.95;4785325.98;1837.07
2061;361352.53;4785335.23;1536.68
4110;361252.91;4785304.46;1876.46
10255;361299.04;4785539.86;1320.63
8205;361254.88;4785295.09;1869.86
6160;361187.92;4785260.71;1851.16
6162;361245.12;4785297.02;1871.4
2067;361272.18;4785311.28;1867.06
10260;361230.49;4785580.45;1287.11
8211;361193.92;4785262.24;1865.84
6169;361249.8;4785300.09;1877.35
27;361165.62;4785235.33;1824.65
2076;361271.82;4785306.72;1867.31
4131;361260.89;4785308.14;1872.58
4135;361217.58;4785291.87;1866.46
2089;361153.01;4785255.02;1501.68
4146;361291.62;4785232.39;1527.54
4148;361382.65;4785356.06;1530.34
53;361271.39;4785311.14;1864.19
8245;361272.33;4785312.06;1862.96
6199;361320.53;4785447.27;1500.28
54;361269.25;4785312.41;1876.68
8248;361249.55;4785318.05;1863.32
52;361192.26;4785260.58;1867.4
6203;361219.44;4785253.77;1516.25
8252;361272.2;4785312.61;1867.15
8253;361077.69;4785364.35;1368.21
4158;361272.89;4785313.54;1872.12
2105;361121.71;4785435.91;1346.03
6209;361250.06;4785303.81;1873.38
6210;361268.61;4785314.11;1864.99
2115;361272.39;4785310.18;1866.68
6213;361271.53;4785312.14;1864.86
8264;361273.58;4785309.38;1868.77
73;361350.13;4785345.04;1556.45
72;361244.95;4785300.02;1875.18
8266;361129.85;4785522.28;1295.34
2124;361272.08;4785472.79;1477.62
4173;361249.82;4785292.88;1864.07
8270;361210.66;4785260.61;1515.03
8272;361272.21;4785313.13;1864.26
2133;361251.18;4785300.42;1880.83
6232;361306.34;4785462.02;1485.12
4185;361329.61;4785276.77;1837.08
4192;361324.63;4785285.49;1840.4
6240;361188.02;4785254.28;1867.5
8293;361163.89;4785272.29;1833.23
4199;361186.91;4785552.06;1307.58
107;361272.28;4785312.76;1866.16
8301;361264.86;4785291.47;1846.6
6259;361371.68;4785368.89;1510.54
116;361335.93;4785337.65;1619.36
6261;361230.82;4785310.19;1865.43
2058;361149.92;4785233.35;1793.11
2169;361339.72;4785336.63;1835.34
125;361189.36;4785253.34;1867.38
8322;361398.17;4785245.32;1822.48
132;361332.8;4785336.28;1802.96
4233;361341.18;4785331.6;1837.08
8331;361252.9;4785303.01;1878.4
4237;361306.46;4785288.9;1843.58
143;361350.17;4785412.08;1504.54
6294;361073.64;4785366.6;1370.08
8343;361351.92;4785435.92;1504.54
154;361125.75;4785525.4;1275.86
8349;361244.87;4785299.35;1871.93
4258;361361.39;4785331.29;1536.33
8355;361345.64;4785345.75;1575.06
2217;361109.75;4785518.69;1268.79
6318;361270.47;4785310.67;1862.67
6322;361315.24;4785318.29;1714.26
2227;361248.48;4785281.42;1864.69
4278;361101.45;4785320.71;1419.27
2232;361304.85;4785298.49;1812.59
2233;361167.19;4785234.42;1824.65
186;361255.46;4785304.72;1874.22
4283;361337.97;4785337.44;1612.2
2236;361329.05;4785318.94;1831.48
4280;361087.42;4785333.17;1413.3
4288;361301.29;4785299.91;1812.04
2240;361273.54;4785310.84;1865.02
8386;361090.22;4785330.37;1412.75
195;361086.8;4785399.7;1361.98
8393;361196.67;4785321.54;1866.09
6346;361076.92;4785351.27;1368.66
2251;361261.72;4785315.35;1866.1
2253;361288.07;4785518.54;1370.93
6355;361043.48;4785370.35;1384.28
6358;361160.54;4785524.63;1298.88
6360;361248.46;4785281.25;1866.86
8413;361170.37;4785242.58;1512.36
8418;361273.04;4785315.24;1863.05
6371;361323.81;4785280.44;1835.22
4325;361272.01;4785312.39;1864.46
229;361195.55;4785263.93;1867.69
2279;361188.0;4785253.12;1857.61
4333;361135.45;4785451.98;1340.95
2287;361335.27;4785333.39;1802.84
4336;361268.94;4785314.06;1864.13
4343;361258.74;4785295.2;1864.48
2299;361134.4;4785532.0;1277.45
253;361272.15;4785313.03;1862.97
6398;361295.17;4785319.86;1882.02
256;361293.58;4785529.33;1341.63
8450;361293.58;4785525.33;1369.63
8451;361283.69;4785290.2;1844.01
8452;361273.8;4785311.95;1864.92
2323;361208.24;4785235.87;1868.88
279;361167.19;4785234.42;1838.65
8474;361274.07;4785323.71;1888.35
6432;361271.95;4785308.15;1866.47
8486;361364.33;4785328.73;1535.43
296;361450.02;4785241.24;1818.71
2345;361272.52;4785313.57;1863.13
6442;361263.49;4785311.55;1864.33
2347;361259.05;4785295.47;1862.61
301;361242.97;4785573.32;1298.16
6447;361243.83;4785298.43;1872.06
6448;361183.06;4785561.95;1275.61
305;361273.01;4785314.27;1865.23
6461;361128.7;4785248.46;1758.52
318;361374.64;4785351.8;1534.56
