id;cswidth;csheight
0;4.51;5.41
4;23.98;3.17
19;2.51;3.82
22;0.82;4.41
25;1.67;10.58
29;13.42;6.26
33;8.49;14.45
44;6.96;3.75
46;28.01;11.69
52;12.27;5.41
53;23.63;7.42
67;14.91;6.46
72;17.74;4.5
73;19.15;10.2
74;20.57;8.06
78;18.74;8.11
83;22.39;11.73
84;11.09;4.27
93;2.88;6.07
99;23.25;5.4
103;22.65;10.41
112;6.49;17.27
114;5.47;3.34
119;15.87;3.34
132;26.57;14.87
135;7.53;24.02
139;12.3;5.37
143;5.59;6.16
148;13.97;13.97
149;12.75;5.61
152;2.59;2.59
154;12.47;3.58
163;4.15;3.35
165;7.5;7.5
168;15.02;3.04
179;1.63;0.51
183;13.49;4.55
185;12.22;12.22
193;9.22;3.1
204;47.02;73.97
207;25.14;17.31
218;7.49;4.31
219;7.61;2.83
222;20.21;3.73
225;7.95;4.51
237;17.19;5.06
243;13.95;13.95
250;5.1;2.98
254;1.07;3.6
262;6.09;6.09
269;4.46;1.65
271;38.5;8.96
275;14.72;14.72
278;6.74;6.74
281;32.75;14.73
283;3.75;15.88
298;11.49;11.49
304;16.8;10.67
305;5.31;5.31
308;18.54;14.8
318;6.96;6.96
323;13.79;13.79
324;3.21;3.21
328;4.56;2.59
330;18.84;15.73
334;8.51;6.85
338;3.67;6.06
341;22.09;19.35
354;7.45;7.45
355;20.52;0.7
357;32.08;20.01
362;31.5;6.65
371;20.62;5.63
372;17.33;4.45
373;2.66;13.61
376;42.35;18.88
382;4.49;12.9
383;8.04;4.08
384;13.63;13.63
387;6.86;7.23
388;4.69;10.16
391;10.55;10.55
403;3.42;7.3
404;30.54;13.99
405;9.09;9.09
407;16.85;5.88
419;10.82;6.15
424;32.18;13.11
429;5.26;5.26
431;13.64;7.47
433;5.67;5.67
435;17.3;3.64
437;18.77;6.27
439;26.1;7.1
442;17.49;6.01
444;11.26;1.09
446;27.17;3.78
460;7.11;7.11
473;9.33;9.33
480;36.91;11.89
490;13.12;4.69
491;25.81;8.36
492;19.18;3.09
497;11.2;11.2
502;0.73;4.98
510;2.16;4.03
523;3.06;0.72
530;10.73;8.02
544;4.26;4.26
546;9.73;9.73
548;5.45;5.45
564;6.87;6.87
565;1.59;8.09
570;7.43;7.43
571;22.47;22.47
577;6.72;12.1
582;4.45;3.74
589;0.86;0.29
590;37.78;8.83
593;8.19;2.48
594;2.02;3.77
596;8.81;8.81
597;6.2;6.2
599;5.52;5.52
600;11.83;11.69
605;19.64;19.64
610;14.84;6.8
611;13.42;3.9
617;28.95;11.65
622;3.14;2.87
623;7.91;1.82
631;23.56;3.14
646;1.52;4.63
650;5.9;5.9
653;4.43;2.15
658;5.63;3.64
660;18.54;4.37
661;4.77;3.16
662;17.82;8.82
667;38.33;8.32
668;7.26;2.51
681;18.82;3.82
682;9.15;5.18
685;0.63;2.66
708;19.72;3.03
716;36.04;17.44
721;12.01;13.21
725;3.03;3.54
729;12.06;14.39
731;6.2;6.2
737;13.8;13.8
740;8.47;6.58
744;8.49;5.87
745;12.82;40.38
753;2.88;2.27
755;11.49;5.32
760;18.74;3.05
775;10.41;5.15
781;8.43;8.43
783;12.37;9.21
786;7.3;3.06
787;67.13;45.72
793;14.1;4.97
794;10.71;4.92
801;27.77;3.65
803;29.7;14.54
806;17.02;12.01
813;22.77;15.35
827;2.9;47.96
833;0.95;4.65
844;8.37;8.37
845;1.76;2.83
848;8.95;8.95
850;15.07;15.07
856;30.8;12.84
859;34.5;21.35
860;9.18;9.18
864;4.73;1.06
869;10.41;4.23
870;33.21;22.33
873;7.27;7.27
882;8.18;8.18
885;5.19;13.06
888;5.13;5.17
889;25.45;15.96
890;16.23;24.64
892;7.01;1.9
898;10.82;19.46
903;15.44;4.14
905;25.53;18.49
906;10.27;4.55
909;10.0;10.0
911;23.47;3.94
918;24.28;15.05
923;24.81;12.96
925;11.19;11.19
931;6.81;6.81
934;5.44;3.44
937;12.28;3.44
941;2.21;12.69
948;8.09;8.09
959;18.33;3.27
960;7.79;3.91
969;42.67;5.01
977;24.1;5.49
985;11.27;22.64
986;19.27;11.31
990;11.62;11.62
991;18.51;2.71
1002;17.55;7.75
1007;3.75;2.78
1012;42.13;30.58
1013;9.72;5.15
1016;2.83;10.22
1026;12.16;1.76
1031;12.12;12.12
1032;8.34;8.34
1033;17.31;8.26
1035;6.04;3.84
1036;25.12;3.79
1043;11.18;11.18
1045;8.32;2.31
1053;11.65;5.95
1057;27.83;40.26
1062;17.63;17.63
1065;10.68;4.44
1084;3.76;2.93
1087;13.23;14.81
1096;11.52;3.66
1111;16.64;8.88
1112;12.6;13.38
1113;6.08;1.52
1116;5.69;12.07
1117;14.19;11.78
1122;21.92;3.99
1139;1.2;1.38
1146;14.93;7.43
1148;9.32;9.32
1149;12.58;12.58
1157;10.82;3.07
1159;1.16;6.45
1165;7.68;10.53
1168;12.79;2.58
1172;7.72;7.72
1178;5.92;3.39
1179;12.03;12.03
1181;21.76;25.79
1182;7.6;7.6
1189;13.05;13.05
1190;14.48;5.56
1195;11.61;4.6
1200;16.56;8.98
1213;9.99;9.99
1214;8.5;3.87
1220;23.91;28.21
1224;15.74;3.06
1225;1.48;2.69
1229;4.22;10.93
1230;16.93;3.41
1238;17.16;4.76
1239;6.59;1.08
1248;29.74;8.39
1254;5.58;2.71
1262;2.96;1.86
1269;31.28;7.67
1274;12.68;12.68
1282;11.3;9.5
1285;22.15;6.11
1288;12.92;12.92
1291;11.04;11.04
1307;11.16;11.16
1308;12.67;0.97
1310;28.62;8.85
1313;11.41;11.41
1314;3.77;0.96
1315;0.52;2.18
1325;8.67;1.67
1328;22.07;14.91
1352;11.08;11.08
1358;39.53;12.11
1359;16.94;5.0
1361;13.91;13.96
1366;13.83;9.78
1374;17.9;3.92
1378;8.21;27.38
1382;12.92;4.13
1386;11.8;11.8
1387;13.71;7.97
1389;10.82;3.48
1397;20.36;21.73
