id;x;y;z
509;270778.8;4172481.35;811.91
5;270929.63;4172424.89;820.85
517;270553.42;4172625.46;809.67
6;270676.07;4172695.69;810.07
1030;270878.62;4172430.5;819.89
521;270885.33;4172419.17;824.07
11;270621.64;4172697.92;801.49
1020;270504.11;4172686.2;818.22
525;270373.31;4172597.52;821.11
1040;270529.86;4172729.24;806.84
18;270490.45;4172585.3;815.04
20;270719.63;4172686.87;811.91
1044;270622.07;4172576.72;807.03
1048;270811.31;4172594.85;817.57
1049;270461.95;4172655.77;807.98
538;270721.29;4172694.76;811.17
1051;270466.74;4172510.96;814.0
1050;270591.23;4172654.09;810.1
539;270368.65;4172664.46;841.3
542;270575.0;4172613.5;811.57
30;270394.81;4172481.03;809.93
1052;270623.17;4172556.66;808.95
28;270640.83;4172577.01;809.33
543;270698.85;4172791.36;797.97
1055;270865.79;4172461.62;819.19
37;270652.74;4172658.74;810.75
38;270633.61;4172648.07;817.68
39;270455.49;4172652.98;808.62
550;270902.34;4172379.03;820.3
556;270633.0;4172683.44;809.51
49;270788.85;4172472.75;810.93
1079;270380.99;4172471.36;810.66
568;270507.81;4172679.6;816.92
1080;270576.16;4172634.15;817.28
58;270352.75;4172489.14;812.2
59;270611.75;4172591.08;800.93
61;270894.17;4172401.34;821.88
62;270727.03;4172680.49;814.09
1089;270263.08;4172751.61;863.24
76;270660.47;4172521.09;819.24
77;270825.71;4172496.89;820.6
1102;270770.18;4172501.06;811.92
81;270752.46;4172617.86;812.78
82;270938.0;4172414.57;820.44
85;270441.46;4172573.21;810.59
86;270820.88;4172500.7;823.08
88;270438.39;4172653.7;809.43
1114;270417.7;4172634.03;820.05
602;270550.37;4172649.61;812.67
1121;270719.83;4172539.87;817.31
98;270442.16;4172555.12;810.41
97;270828.75;4172597.93;811.76
1124;270616.65;4172700.1;802.63
612;270674.87;4172775.58;802.01
1126;270467.25;4172515.91;816.34
615;270376.51;4172587.38;816.94
1128;270320.37;4172470.89;801.21
1129;270867.89;4172519.39;821.76
1130;270811.81;4172564.41;817.26
614;270892.04;4172410.0;821.8
628;270691.98;4172775.96;798.24
117;270695.38;4172540.1;822.11
118;270379.33;4172496.88;812.23
121;270701.34;4172730.61;808.98
635;270821.68;4172595.46;811.84
639;270512.86;4172703.41;798.55
128;270268.12;4172731.76;856.28
1153;270256.32;4172752.55;865.07
1154;270415.1;4172593.63;815.38
1155;270376.55;4172486.91;816.87
644;270811.04;4172684.69;812.22
129;270797.18;4172518.06;818.93
1158;270557.81;4172618.88;811.1
1156;270917.23;4172415.41;819.68
1160;270354.43;4172683.88;841.01
1161;270421.69;4172629.13;821.59
136;270512.41;4172678.48;817.49
651;270764.6;4172591.89;806.34
142;270775.68;4172514.07;815.72
144;270358.15;4172474.46;809.47
657;270767.08;4172568.92;815.69
147;270645.82;4172697.37;810.96
150;270392.4;4172506.35;809.17
1177;270754.16;4172664.94;813.61
156;270485.25;4172585.83;813.75
1180;270554.53;4172637.53;812.47
158;270393.75;4172489.57;811.96
1151;270617.7;4172692.92;806.66
157;270739.29;4172635.0;812.85
672;270627.0;4172709.22;807.29
674;270518.93;4172744.79;805.41
675;270803.54;4172538.14;818.76
677;270669.84;4172515.85;823.36
166;270559.34;4172619.52;823.13
167;270441.98;4172576.06;811.56
679;270494.18;4172679.93;815.3
170;270293.98;4172711.27;847.76
171;270253.48;4172752.71;867.56
1197;270617.6;4172686.73;805.23
686;270419.37;4172575.44;809.52
175;270818.9;4172591.26;814.33
690;270589.94;4172671.99;813.23
181;270342.19;4172481.99;803.15
693;270576.89;4172620.47;818.29
