id;x;y;z
2;419647.0;5455460.67;1149.56
7;418859.54;5455644.1;1190.53
9;419697.33;5455413.17;1255.67
10;419430.04;5455410.12;1239.13
14;419261.0;5455424.4;1198.92
17;419585.63;5455448.56;1215.13
20;419194.53;5455509.06;1192.93
22;419609.13;5455453.87;1225.87
23;419876.73;5455439.2;1229.2
25;419666.17;5455439.17;1160.81
34;419814.46;5455397.77;1237.31
36;419457.63;5455447.52;1234.9
44;419703.72;5455413.85;1251.14
54;419768.89;5455412.5;1226.91
59;419834.26;5455435.58;1269.22
62;419391.8;5455424.88;1229.52
63;419264.26;5455473.63;1189.42
64;419471.5;5455431.42;1225.01
67;419709.15;5455394.37;1199.05
88;419669.92;5455454.62;1156.75
94;419291.85;5455424.78;1196.1
95;418865.18;5455644.89;1191.9
98;419619.5;5455451.75;1202.35
101;419716.9;5455404.18;1198.54
105;419360.24;5455445.09;1202.42
108;419473.87;5455430.19;1224.86
110;419508.26;5455423.24;1216.36
115;419832.4;5455375.33;1243.27
126;419670.52;5455424.1;1262.14
131;419218.28;5455499.1;1178.16
134;419488.51;5455411.6;1227.08
137;419752.73;5455395.3;1210.23
138;419200.46;5455557.91;1187.65
147;419718.65;5455403.3;1201.0
149;419444.39;5455443.84;1236.14
152;419667.88;5455448.49;1158.53
158;419078.43;5455599.75;1205.05
159;419626.76;5455460.26;1159.46
161;419272.31;5455464.63;1193.99
171;419402.08;5455421.37;1230.9
178;419709.32;5455414.05;1245.45
185;419459.65;5455408.22;1241.54
191;418903.39;5455639.83;1199.25
192;419161.97;5455586.65;1193.45
193;419802.94;5455429.18;1249.03
196;419248.75;5455491.44;1184.14
199;418993.74;5455641.1;1189.0
200;419508.01;5455399.79;1217.89
201;419803.91;5455411.92;1229.52
204;419714.53;5455405.41;1200.57
207;419204.1;5455502.55;1188.01
210;419384.94;5455446.7;1216.7
211;419643.41;5455461.32;1151.42
215;419836.52;5455375.33;1242.78
217;419615.99;5455453.88;1189.58
218;419520.18;5455421.85;1215.28
222;419807.38;5455429.14;1253.34
226;419592.97;5455455.59;1222.23
235;419830.59;5455378.1;1249.21
237;419468.23;5455429.87;1225.63
246;419630.68;5455463.04;1152.1
247;419458.77;5455443.92;1236.6
254;419380.53;5455449.97;1212.99
259;419764.68;5455408.35;1224.0
264;419325.94;5455420.95;1200.49
265;419455.9;5455414.59;1244.79
266;419672.68;5455407.3;1260.69
273;419438.1;5455437.47;1234.75
274;419793.37;5455393.3;1228.77
284;419392.04;5455434.44;1227.05
285;419515.07;5455383.76;1220.04
294;419503.77;5455423.65;1218.99
299;419493.37;5455345.55;1258.01
311;419660.3;5455458.87;1145.16
312;419713.88;5455392.98;1201.93
323;419679.63;5455413.42;1173.58
325;419571.41;5455421.35;1212.04
331;419269.05;5455422.48;1199.62
333;419270.78;5455451.98;1198.39
340;419725.63;5455398.22;1196.76
347;419576.89;5455433.45;1208.79
350;419651.08;5455424.98;1258.57
354;418850.62;5455642.99;1191.38
366;419824.79;5455430.03;1228.2
367;419456.23;5455434.61;1239.23
368;419691.37;5455397.97;1184.08
376;419396.13;5455421.37;1230.44
387;419754.44;5455390.05;1204.88
388;419614.6;5455454.52;1219.44
391;418811.01;5455641.72;1194.8
395;418965.87;5455659.46;1194.8
400;419507.3;5455388.34;1219.18
405;418914.67;5455645.84;1198.4
412;419667.23;5455456.99;1146.51
421;419391.88;5455429.95;1228.13
424;419516.91;5455380.47;1220.47
425;419060.58;5455602.6;1205.05
432;419714.78;5455400.1;1205.14
433;419273.65;5455487.04;1187.31
438;419913.1;5455453.68;1231.95
449;419491.87;5455353.76;1256.14
451;419719.27;5455403.04;1196.76
460;419485.26;5455378.07;1248.64
468;419223.07;5455500.63;1174.12
479;419189.16;5455516.72;1194.86
482;419792.3;5455403.05;1224.51
493;419516.04;5455417.76;1227.59
496;419855.78;5455435.7;1226.62
497;419686.8;5455398.79;1180.44
500;419669.05;5455410.13;1261.56
502;419738.62;5455394.96;1201.07
511;419684.03;5455403.12;1174.77
515;419693.99;5455409.55;1257.79
518;419600.4;5455456.65;1229.93
520;419792.83;5455422.07;1243.87
