id;x;y;z
511;725986.0;5029628.0;0.0
54;725984.41;5029628.21;-0.99
9;725983.87;5029626.31;-9.77
277;725984.31;5029624.25;-9.52
388;725983.34;5029624.73;-10.03
42;725987.55;5029622.79;-13.19
139;725996.07;5029624.59;-22.33
220;725997.09;5029623.29;-22.32
426;725998.62;5029621.37;-28.63
363;726000.98;5029620.42;-30.78
360;725995.16;5029620.96;-30.18
322;726000.09;5029620.7;-35.56
324;725998.67;5029619.0;-35.85
181;725997.94;5029618.32;-41.11
248;725999.54;5029616.52;-42.61
24;726000.24;5029613.54;-55.28
524;726000.05;5029611.49;-57.12
345;726002.58;5029609.31;-72.68
6;726005.68;5029607.98;-72.88
410;726009.79;5029612.73;-73.72
33;726003.35;5029603.68;-72.51
504;726008.81;5029614.92;-73.68
48;726009.43;5029615.89;-78.12
144;726013.45;5029618.75;-74.08
286;726008.85;5029616.06;-79.52
71;726006.16;5029613.87;-79.03
89;726004.0;5029615.0;-78.27
407;726002.53;5029612.64;-78.61
63;726001.61;5029612.13;-78.42
436;725998.58;5029608.94;-78.14
190;725995.16;5029602.26;-77.97
134;725995.93;5029602.05;-77.65
391;725994.1;5029599.88;-77.48
258;725999.56;5029603.2;-77.0
509;725991.06;5029601.02;-78.35
201;725994.22;5029600.52;-76.41
301;725991.39;5029597.49;-81.16
97;725989.26;5029597.42;-82.39
138;725988.07;5029595.22;-81.8
462;725986.72;5029595.39;-84.39
21;725992.28;5029591.87;-84.37
191;725981.75;5029593.19;-83.88
62;725998.28;5029591.23;-85.19
323;725999.24;5029587.73;-85.42
437;725994.37;5029586.37;-84.68
39;725999.8;5029585.42;-94.59
438;725997.05;5029584.52;-93.65
422;725995.84;5029585.87;-93.33
259;725991.92;5029583.6;-93.2
102;725989.81;5029580.62;-91.38
197;725986.4;5029578.38;-91.38
297;725984.67;5029578.29;-90.92
118;725980.09;5029576.67;-90.47
417;725977.29;5029576.83;-90.15
341;725972.53;5029575.86;-90.98
330;725966.33;5029575.69;-90.31
489;725965.46;5029574.87;-90.22
423;725964.4;5029575.29;-96.37
84;725960.13;5029575.16;-93.61
233;725966.56;5029575.36;-95.19
386;725958.51;5029573.73;-92.33
111;725956.15;5029573.17;-91.32
237;725957.21;5029573.9;-79.46
289;725956.88;5029576.67;-89.11
177;725954.83;5029574.46;-79.45
40;725949.9;5029573.52;-78.21
153;725947.98;5029574.53;-78.79
362;725945.65;5029574.49;-78.49
309;725945.3;5029575.83;-78.08
497;725943.48;5029574.95;-77.87
257;725940.33;5029574.17;-79.0
245;725939.29;5029575.26;-74.94
492;725936.2;5029576.45;-72.77
321;725934.23;5029575.47;-72.22
403;725937.76;5029575.32;-73.25
452;725928.67;5029573.77;-72.51
508;725929.45;5029574.21;-72.74
66;725923.86;5029573.85;-69.25
29;725920.3;5029573.85;-69.61
481;725919.7;5029573.57;-64.77
456;725917.71;5029574.73;-60.5
528;725916.45;5029573.49;-60.94
123;725914.6;5029576.38;-57.2
470;725911.63;5029577.85;-51.96
83;725910.14;5029579.69;-45.31
428;725916.1;5029573.24;-68.46
137;725911.7;5029574.18;-67.24
202;725915.38;5029574.29;-67.6
476;725903.87;5029574.77;-64.01
85;725918.16;5029578.54;-69.9
204;725911.24;5029579.71;-66.7
365;725895.49;5029573.62;-60.94
36;725889.56;5029575.66;-57.65
379;725886.86;5029579.83;-56.57
49;725902.05;5029583.43;-62.87
0;725882.86;5029582.96;-53.58
361;725910.86;5029583.98;-66.42
230;725867.05;5029582.5;-46.04
198;725861.02;5029585.32;-41.48
346;725869.03;5029578.89;-46.6
485;725856.32;5029584.48;-39.13
154;725851.77;5029584.13;-35.91
494;725868.8;5029574.17;-47.42
303;725866.94;5029577.15;-47.22
334;725868.75;5029563.76;-47.47
14;725861.23;5029554.57;-44.11
325;725851.26;5029556.34;-38.88
160;725853.55;5029560.54;-38.49
464;725857.67;5029566.1;-38.4
444;725867.47;5029575.0;-57.52
445;725864.86;5029575.91;-57.59
28;725869.34;5029572.12;-57.89
370;725860.75;5029575.04;-55.24
477;725860.17;5029574.67;-53.4
188;725854.87;5029573.12;-50.74
402;725850.02;5029574.2;-46.86
502;725841.01;5029574.3;-46.57
401;725873.84;5029572.42;-59.69
408;725866.57;5029570.74;-57.4
32;725875.43;5029575.03;-60.91
488;725879.13;5029576.66;-62.4
68;725880.51;5029579.21;-62.89
461;725889.06;5029577.04;-67.42
17;725878.96;5029580.8;-62.5
326;725866.55;5029580.49;-55.78
400;725864.1;5029581.17;-53.58
166;725855.44;5029581.98;-49.43
119;725845.32;5029582.03;-42.55
516;725832.54;5029582.21;-35.02
383;725865.26;5029573.62;-60.88
55;725867.23;5029575.09;-67.65
108;725871.59;5029580.1;-83.1
58;725878.61;5029579.12;-86.65
395;725883.98;5029579.61;-88.43
499;725893.95;5029577.71;-91.11
131;725892.74;5029578.42;-90.91
157;725899.05;5029578.07;-88.77
