from_id;to_id
2048;3591
2048;4112
2049;1053
2049;4206
4097;807
4097;358
3;2492
3;1688
4099;2227
4096;4163
4096;2374
6;802
6;2275
7;1991
7;2795
4104;3666
4104;1187
2056;1767
2056;409
4105;358
4105;1641
4105;1741
4105;875
11;1496
11;706
2057;2164
2057;3145
9;1645
14;390
14;2771
4110;3970
4110;982
2058;3065
2058;3628
2066;706
2066;2794
2067;313
2067;3162
4117;1780
4117;2508
23;3094
23;3121
2073;153
2073;2283
26;3851
26;1208
4124;592
4124;91
2077;3083
2077;1513
29;560
29;854
31;566
31;2236
32;3518
32;3204
4129;1171
4129;821
4131;1245
4131;3191
2088;1164
2088;237
40;1666
40;3853
8;3464
8;271
4139;1264
4139;4149
43;894
43;2756
4141;2532
4141;475
4142;3158
4142;359
47;1156
47;2634
2092;1100
2092;2877
45;1074
45;2625
2091;3375
2091;1375
51;1586
51;2921
4147;2136
4147;3165
4149;1772
53;2438
53;2174
55;3792
55;1603
2101;1789
2101;2201
2101;2556
54;3535
54;2932
54;4064
58;3191
58;1164
4153;405
4153;1476
4156;1304
4156;3073
2109;3122
2109;2701
4158;3901
4158;2620
2111;3827
2111;149
4151;3883
4151;3619
65;2978
65;630
59;4044
59;1069
67;3283
67;1239
2116;1555
2116;3896
2117;2814
2117;680
68;639
68;3516
4167;1790
4167;2200
72;641
72;544
4164;2664
4164;1874
4164;3750
2120;1068
2120;981
75;1521
75;3528
76;1051
76;2757
77;2378
77;3477
77;999
78;3415
78;2550
78;3395
78;381
2127;2146
2127;3970
4175;3468
4175;2851
4177;2830
4177;3722
81;2454
81;639
2129;3873
2129;2890
4180;3901
4178;3817
4178;1986
86;1197
86;3492
2134;327
2134;4006
4183;4021
4183;2621
2136;4019
95;2910
96;774
96;1477
97;4006
97;3788
2145;3068
2145;101
2146;655
4193;3328
101;3034
4198;3042
4198;2368
4201;243
4201;1076
4202;3383
4202;4023
107;558
107;3356
4205;1125
4205;2558
4206;1550
2158;1040
2158;974
4207;1852
4207;509
2160;2172
2160;3375
2162;1567
2162;3042
4211;680
4211;3698
116;2368
116;1296
116;2164
115;3796
115;2825
2163;523
2163;3113
2168;382
2168;1829
2170;160
2170;2990
124;1645
2172;551
4222;3323
4222;1212
2175;4020
2175;870
2174;2581
129;2352
129;1195
4226;4021
131;1358
131;3092
131;3658
4228;758
4228;2300
4229;3606
133;948
133;4234
127;2738
127;3503
136;3792
136;2317
137;731
137;3958
137;592
138;3084
138;3647
139;3020
139;1992
4234;4163
4238;299
4238;1227
2190;3386
143;507
143;1243
2193;2263
2193;2590
2193;354
4242;612
4242;2263
145;3322
145;3511
2196;3522
